analysis,cut1,cut2,group1,group2,group3,sum_std_log,stdlog_g1,stdlog_g2,stdlog_g3
"Combined fleets (aggregate by time), objective = sum SD[log(abundance)]",7,11,1-7,8-11,12-15,3.032625196909165,1.112781577262444,0.9813112652309053,0.9385323544158152
"Fleet 1 (aggregate by time), objective = sum SD[log(abundance)]",8,12,1-8,9-12,13-15,3.0067481634864697,1.0613480226869538,1.000507047379729,0.9448930934197869
"Fleet 2 (aggregate by time), objective = sum SD[log(abundance)]",8,11,1-8,9-11,12-15,1.7133245404500554,0.20913346370945307,0.8840953868863473,0.620095689854255
