year,month,fleet,Nsamp,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,total_fish
1995,7,2,69,0,20.48,3.26,1.06,19.33,1.03,4.03,16.37,1.44,0.72,24.86,0.24,1.67,0.21,5.32,100
1998,7,2,105,0,6.83,8.03,17.03,17.25,1.77,11.37,10.79,1.73,4.19,7.6,1.27,0.34,9.74,2.06,100
2001,7,2,57,0,50.62,10.95,15.12,7.86,3.64,3.84,2.6,1.3,1.34,0.65,0.68,0.87,0.15,0.39,100
2003,7,2,71,0,23.06,1.63,43.4,13.07,2.71,5.14,3.43,1.82,2.44,1.44,0.49,0.43,0.42,0.52,100
2005,7,2,47,0,19.07,1.23,5.1,4.78,50.67,6.99,2.5,3.99,2.45,1.71,0.74,0.48,0.14,0.16,100
2007,7,2,69,0,28.29,2.16,11.64,1.38,5.01,3.25,38.64,3.92,1.94,1.7,0.83,0.77,0.34,0.12,100
2009,7,2,72,0,0.55,29.33,40.21,2.29,8.22,1.25,1.79,1.93,8.32,3.63,1.44,0.28,0.48,0.26,100
2011,7,2,46,0,27.62,56.32,3.71,2.64,2.94,0.7,0.78,0.38,0.66,0.97,2.1,0.76,0.31,0.11,100
2012,7,2,94,0,62.12,9.78,16.7,2.26,2.92,1.94,1.01,0.5,0.23,0.27,0.66,0.98,0.51,0.12,100
2013,7,2,67,0,2.17,74.97,5.63,8.68,0.95,2.2,2.59,0.71,0.35,0.1,0.13,0.36,0.77,0.38,100
2015,7,2,78,0,7.45,9.19,4.38,58.98,4.88,7.53,1.69,1.68,1.64,0.95,0.16,0.29,0.24,0.92,100
2017,7,2,58,0,0.49,52.73,2.8,3.7,3.31,26.02,4.13,2.91,1.14,0.91,0.87,0.42,0.33,0.25,100
2019,7,2,75,0,10.72,27.23,1.51,31.31,2.5,3.18,2.68,16.12,2.28,0.96,0.36,0.38,0.47,0.28,100
2021,7,2,65,0,8.02567,5.77987,14.0423,28.2364,3.4929,20.9045,3.06214,2.0468,1.9549,9.92085,1.49972,0.311041,0.219409,0.503519,100
2023,7,2,64,0,50.5802,24.6599,1.0311,1.1722,2.9196,8.0851,0.8808,5.3789,0.7693,0.5831,0.6698,2.2987,0.4084,0.5628,100
1975,7,1,13,4.608,33.846,7.432,1.248,25.397,5.546,8.031,10.537,0.953,0.603,0.871,0.451,0,0.476,0,100
1976,7,1,142,0.085,1.337,14.474,6.742,4.097,24.582,9.766,8.899,12.099,5.431,4.303,4.075,1.068,2.355,0.687,100
1977,7,1,320,0,8.448,3.683,27.473,3.594,9.106,22.682,7.599,6.544,4.016,3.55,2.308,0.572,0.308,0.119,100
1978,7,1,341,0.472,1.11,6.511,6.31,26.416,6.091,8.868,21.505,9.776,4.711,4.68,2.339,0.522,0.353,0.337,100
1979,7,1,116,0,6.492,10.241,9.382,5.721,17.666,10.256,17.37,12.762,4.18,2.876,0.963,1.645,0,0.445,100
1980,7,1,221,0.148,0.544,30.087,1.855,4.488,8.165,11.227,5.012,8.941,11.076,9.46,2.628,3.785,1.516,1.068,100
