comparison,metric,complete_paired_rows,mean_log_difference,error_ratio,percent_error_change,Hotelling_T2,Pillai,approx_F,p_value
ii_vs_i,rmse,637997,0.0574842096237798,1.05916854585287,5.91685458528675,11971.429206627,0.0184185063261396,3990.46389280014,0
ii_vs_i,L1,637997,0.0590067515255097,1.06078240261543,6.07824026154338,11971.429206627,0.0184185063261396,3990.46389280014,0
ii_vs_i,Linf,637997,0.0552151767695553,1.05676798213308,5.67679821330844,11971.429206627,0.0184185063261396,3990.46389280014,0
iii_vs_i,rmse,637997,-0.0453592159133614,0.955654133996187,-4.43458660038125,5806.15430534037,0.0090185381743638,1935.37870137186,0
iii_vs_i,L1,637997,-0.0406923939244832,0.96012442463452,-3.98755753654797,5806.15430534037,0.0090185381743638,1935.37870137186,0
iii_vs_i,Linf,637997,-0.0515378892577007,0.9497676632887,-5.02323367113005,5806.15430534037,0.0090185381743638,1935.37870137186,0
iv_vs_i,rmse,637997,-0.0181051344931921,0.982057778783782,-1.7942221216218,7034.34381371505,0.010905446357957,2344.77392078076,0
iv_vs_i,L1,637997,-0.00959497791588845,0.990450907012489,-0.954909298751083,7034.34381371505,0.010905446357957,2344.77392078076,0
iv_vs_i,Linf,637997,-0.0270980910273825,0.973265768202756,-2.6734231797244,7034.34381371505,0.010905446357957,2344.77392078076,0
v_vs_i,rmse,637997,-0.0664828280304254,0.935678983169407,-6.43210168305927,13619.3955407949,0.0209009726197333,4539.78428216576,0
v_vs_i,L1,637997,-0.0607768685565709,0.94103319044594,-5.89668095540604,13619.3955407949,0.0209009726197333,4539.78428216576,0
v_vs_i,Linf,637997,-0.0750647111505689,0.927683452922556,-7.2316547077444,13619.3955407949,0.0209009726197333,4539.78428216576,0
iii_vs_ii,rmse,637997,-0.102843425537141,0.902268234586472,-9.77317654135279,85691.0889340324,0.118409033744477,28563.606769415,0
iii_vs_ii,L1,637997,-0.0996991454499929,0.905109683444282,-9.48903165557178,85691.0889340324,0.118409033744477,28563.606769415,0
iii_vs_ii,Linf,637997,-0.106753066027256,0.898747576901029,-10.1252423098971,85691.0889340324,0.118409033744477,28563.606769415,0
iv_vs_ii,rmse,637997,-0.0755893441169719,0.927196887246124,-7.28031127538763,41180.9499019006,0.0606336094118752,13726.9402690681,0
iv_vs_ii,L1,637997,-0.0686017294413981,0.933698470648139,-6.63015293518607,41180.9499019006,0.0606336094118752,13726.9402690681,0
iv_vs_ii,Linf,637997,-0.0823132677969378,0.920983399060048,-7.90166009399521,41180.9499019006,0.0606336094118752,13726.9402690681,0
v_vs_ii,rmse,637997,-0.123967037654205,0.883408959634443,-11.6591040365557,123635.963323896,0.162330323932739,41211.8585826379,0
v_vs_ii,L1,637997,-0.119783620082081,0.88711236925288,-11.288763074712,123635.963323896,0.162330323932739,41211.8585826379,0
v_vs_ii,Linf,637997,-0.130279887920124,0.877849697007312,-12.2150302992688,123635.963323896,0.162330323932739,41211.8585826379,0
iv_vs_iii,rmse,637997,0.0272540814201693,1.02762887099874,2.76288709987413,66018.9252418142,0.0937748943591474,22006.2394282127,0
iv_vs_iii,L1,637997,0.0310974160085947,1.03158599198173,3.15859919817298,66018.9252418142,0.0937748943591474,22006.2394282127,0
iv_vs_iii,Linf,637997,0.0244397982303182,1.02474089803467,2.47408980346742,66018.9252418142,0.0937748943591474,22006.2394282127,0
v_vs_iii,rmse,637997,-0.021123612117064,0.979097928721083,-2.09020712789172,23544.2312356806,0.0355900217764575,7848.05247628346,0
v_vs_iii,L1,637997,-0.0200844746320876,0.980115874881687,-1.98841251183126,23544.2312356806,0.0355900217764575,7848.05247628346,0
v_vs_iii,Linf,637997,-0.0235268218928682,0.976747776093288,-2.3252223906712,23544.2312356806,0.0355900217764575,7848.05247628346,0
v_vs_iv,rmse,637997,-0.0483776935372333,0.952773862580864,-4.72261374191363,83891.230112171,0.116210990599093,27963.6557095366,0
v_vs_iv,L1,637997,-0.0511818906406824,0.950105839454871,-4.98941605451288,83891.230112171,0.116210990599093,27963.6557095366,0
v_vs_iv,Linf,637997,-0.0479666201231865,0.953165603096909,-4.68343969030913,83891.230112171,0.116210990599093,27963.6557095366,0
