comparison,term,rows_analyzed,residual_response_rank,manova_responses,dropped_responses,Df,Pillai,approx F,num Df,den Df,Pr(>F)
iv_vs_ii,G,637997,3,rmse;L1;Linf,"",2,0.00684605772981969,730.442786162549,6,1275962,0
iv_vs_ii,theta_true,637997,3,rmse;L1;Linf,"",2,0.000432303738549065,45.9768665561947,6,1275962,1.225684665717e-56
iv_vs_ii,theta_CV,637997,3,rmse;L1;Linf,"",2,0.000105411866299079,11.2090520957759,6,1275962,1.49423319161527e-12
iv_vs_ii,sigma,637997,3,rmse;L1;Linf,"",2,0.00193163738766087,205.589887926567,6,1275962,3.54420673474251e-263
iv_vs_ii,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.00671396988036697,716.302151910987,6,1275962,0
iv_vs_ii,p1,637997,3,rmse;L1;Linf,"",1,1.7084405188715e-06,0.363317581449689,3,637980,0.779500086752845
iv_vs_ii,p2,637997,3,rmse;L1;Linf,"",1,1.1424981520866e-05,2.42966432909742,3,637980,0.0632363468750895
iv_vs_ii,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
v_vs_ii,design_block,637997,3,rmse;L1;Linf,"",2,0.00065708076556961,69.8904691579677,6,1275962,2.00323669248702e-87
v_vs_ii,G,637997,3,rmse;L1;Linf,"",2,0.00894563657508346,955.464647717464,6,1275962,0
v_vs_ii,theta_true,637997,3,rmse;L1;Linf,"",2,0.00283516842879772,301.891888738063,6,1275962,0
v_vs_ii,theta_CV,637997,3,rmse;L1;Linf,"",2,1.64284108311737e-05,1.74685001073199,6,1275962,0.105800719917255
v_vs_ii,sigma,637997,3,rmse;L1;Linf,"",2,0.0201672934577317,2166.23522531994,6,1275962,0
v_vs_ii,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.00534161429731962,569.495751828158,6,1275962,0
v_vs_ii,p1,637997,3,rmse;L1;Linf,"",1,1.59967535103223e-06,0.340187504340079,3,637980,0.796276608232539
v_vs_ii,p2,637997,3,rmse;L1;Linf,"",1,2.45006980994149e-06,0.52103312234968,3,637980,0.667785583361398
v_vs_ii,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
iv_vs_iii,design_block,637997,3,rmse;L1;Linf,"",2,0.00514733306385208,548.72902810296,6,1275962,0
iv_vs_iii,G,637997,3,rmse;L1;Linf,"",2,0.0464758460937977,5059.35332434608,6,1275962,0
iv_vs_iii,theta_true,637997,3,rmse;L1;Linf,"",2,0.0349939817173315,3787.18016506236,6,1275962,0
iv_vs_iii,theta_CV,637997,3,rmse;L1;Linf,"",2,7.38931450234869e-05,7.85736072841943,6,1275962,1.75188824944817e-08
iv_vs_iii,sigma,637997,3,rmse;L1;Linf,"",2,0.00433062984896516,461.475834123021,6,1275962,0
iv_vs_iii,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.037860027664213,4103.33932165718,6,1275962,0
iv_vs_iii,p1,637997,3,rmse;L1;Linf,"",1,3.85978720183095e-06,0.820825514553185,3,637980,0.482111111076931
iv_vs_iii,p2,637997,3,rmse;L1;Linf,"",1,2.62047719070416e-06,0.557272139694078,3,637980,0.643217916866957
iv_vs_iii,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
v_vs_iii,design_block,637997,3,rmse;L1;Linf,"",2,0.000142254020316416,15.1269696253701,6,1275962,2.10772137429889e-17
v_vs_iii,G,637997,3,rmse;L1;Linf,"",2,0.0274572456820064,2960.17260278324,6,1275962,0
v_vs_iii,theta_true,637997,3,rmse;L1;Linf,"",2,0.00360457238704487,383.96680074029,6,1275962,0
v_vs_iii,theta_CV,637997,3,rmse;L1;Linf,"",2,0.00100575146540741,106.995526395747,6,1275962,2.22111864460042e-135
v_vs_iii,sigma,637997,3,rmse;L1;Linf,"",2,0.138140466408629,15778.3103952077,6,1275962,0
v_vs_iii,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.0162316393522961,1740.03472566661,6,1275962,0
v_vs_iii,p1,637997,3,rmse;L1;Linf,"",1,2.35764803475612e-06,0.501378613145539,3,637980,0.681316247310839
v_vs_iii,p2,637997,3,rmse;L1;Linf,"",1,1.32996502669592e-05,2.82834124172089,3,637980,0.0369832372872765
v_vs_iii,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
v_vs_iv,design_block,637997,3,rmse;L1;Linf,"",2,0.00314602448875125,335.044337070956,6,1275962,0
v_vs_iv,G,637997,3,rmse;L1;Linf,"",2,0.00258984446655153,275.735649992851,6,1275962,0
v_vs_iv,theta_true,637997,3,rmse;L1;Linf,"",2,0.0064051056650114,683.244078136,6,1275962,0
v_vs_iv,theta_CV,637997,3,rmse;L1;Linf,"",2,0.000607928817083287,64.6608270319801,6,1275962,1.11171784976205e-80
v_vs_iv,sigma,637997,3,rmse;L1;Linf,"",2,0.09002659805485,10023.745006979,6,1275962,0
v_vs_iv,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.000901932856648425,95.9459393671585,6,1275962,4.38236512598389e-121
v_vs_iv,p1,637997,3,rmse;L1;Linf,"",1,6.09219241280886e-06,1.29557353139117,3,637980,0.273959920865741
v_vs_iv,p2,637997,3,rmse;L1;Linf,"",1,1.12055287419927e-05,2.3829944449849,3,637980,0.0672987896924348
v_vs_iv,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
