"method","metric_1","metric_2","n_complete","spearman_rho","spearman_S","p_value","p_value_holm","significant_at_0.05","significant_holm_at_0.05"
"(i)","RMSE","L1",729,0.991587261347988,543210.198250853,0,0,TRUE,TRUE
"(i)","RMSE","Linf",729,0.988143867124164,765550.025547407,0,0,TRUE,TRUE
"(i)","L1","Linf",729,0.96150571494717,2485574.44608983,0,0,TRUE,TRUE
"(ii)","RMSE","L1",729,0.999444307177099,35881.063347006,0,0,TRUE,TRUE
"(ii)","RMSE","Linf",729,0.999524298119822,30716.0513750242,0,0,TRUE,TRUE
"(ii)","L1","Linf",729,0.998201327319466,116140.223035146,0,0,TRUE,TRUE
"(iii)","RMSE","L1",729,0.999298008362497,45327.5719539073,0,0,TRUE,TRUE
"(iii)","RMSE","Linf",729,0.999274197049223,46865.0674995499,0,0,TRUE,TRUE
"(iii)","L1","Linf",729,0.997363739118454,170223.259670997,0,0,TRUE,TRUE
"(iv)","RMSE","L1",729,0.999372029061176,40548.0584010171,0,0,TRUE,TRUE
"(iv)","RMSE","Linf",729,0.999441759561247,36045.56280064,0,0,TRUE,TRUE
"(iv)","L1","Linf",729,0.997840230503279,139456.230012519,0,0,TRUE,TRUE
"(v)","RMSE","L1",729,0.99933211859713,43125.0754680882,0,0,TRUE,TRUE
"(v)","RMSE","Linf",729,0.999386819108929,39593.0656092322,0,0,TRUE,TRUE
"(v)","L1","Linf",729,0.997705639173467,148146.786794824,0,0,TRUE,TRUE
"All methods (experiment mean)","RMSE","L1",729,0.996679383189374,214412.09463742,0,0,TRUE,TRUE
"All methods (experiment mean)","RMSE","Linf",729,0.992430014823542,488793.640044494,0,0,TRUE,TRUE
"All methods (experiment mean)","L1","Linf",729,0.980020779639304,1290057.45952131,0,0,TRUE,TRUE
