"example_id","design_block","G","theta_true","theta_CV","sigma","mean_nsamp","N_h","n_h","requested_rate","realized_rate","inclusion_probability"
37,"Poisson","2","1","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
38,"Poisson","4","1","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
39,"Poisson","8","1","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
40,"Poisson","2","1","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
41,"Poisson","4","1","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
42,"Poisson","8","1","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
43,"Poisson","2","1","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
44,"Poisson","4","1","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
45,"Poisson","8","1","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
46,"Poisson","2","2","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
47,"Poisson","4","2","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
48,"Poisson","8","2","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
49,"Poisson","2","2","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
50,"Poisson","4","2","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
51,"Poisson","8","2","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
52,"Poisson","2","2","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
53,"Poisson","4","2","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
54,"Poisson","8","2","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
55,"Poisson","2","0.5","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
56,"Poisson","4","0.5","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
57,"Poisson","8","0.5","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
58,"Poisson","2","0.5","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
59,"Poisson","4","0.5","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
60,"Poisson","8","0.5","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
61,"Poisson","2","0.5","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
62,"Poisson","4","0.5","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
63,"Poisson","8","0.5","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
64,"Poisson","2","1","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
65,"Poisson","4","1","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
66,"Poisson","8","1","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
67,"Poisson","2","1","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
68,"Poisson","4","1","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
69,"Poisson","8","1","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
70,"Poisson","2","1","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
71,"Poisson","4","1","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
72,"Poisson","8","1","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
73,"Poisson","2","2","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
74,"Poisson","4","2","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
75,"Poisson","8","2","0","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
76,"Poisson","2","2","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
77,"Poisson","4","2","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
78,"Poisson","8","2","0.2","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
79,"Poisson","2","2","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
80,"Poisson","4","2","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
81,"Poisson","8","2","0.6","1","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
82,"Poisson","2","0.5","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
83,"Poisson","4","0.5","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
84,"Poisson","8","0.5","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
85,"Poisson","2","0.5","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
86,"Poisson","4","0.5","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
87,"Poisson","8","0.5","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
88,"Poisson","2","0.5","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
89,"Poisson","4","0.5","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
90,"Poisson","8","0.5","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
91,"Poisson","2","1","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
92,"Poisson","4","1","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
93,"Poisson","8","1","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
94,"Poisson","2","1","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
95,"Poisson","4","1","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
96,"Poisson","8","1","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
97,"Poisson","2","1","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
98,"Poisson","4","1","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
99,"Poisson","8","1","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
100,"Poisson","2","2","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
101,"Poisson","4","2","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
102,"Poisson","8","2","0","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
103,"Poisson","2","2","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
104,"Poisson","4","2","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
105,"Poisson","8","2","0.2","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
106,"Poisson","2","2","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
107,"Poisson","4","2","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
108,"Poisson","8","2","0.6","0.25","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
109,"Poisson","2","0.5","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
110,"Poisson","4","0.5","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
111,"Poisson","8","0.5","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
112,"Poisson","2","0.5","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
113,"Poisson","4","0.5","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
114,"Poisson","8","0.5","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
115,"Poisson","2","0.5","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
116,"Poisson","4","0.5","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
117,"Poisson","8","0.5","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
118,"Poisson","2","1","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
119,"Poisson","4","1","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
120,"Poisson","8","1","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
121,"Poisson","2","1","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
122,"Poisson","4","1","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
123,"Poisson","8","1","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
124,"Poisson","2","1","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
125,"Poisson","4","1","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
126,"Poisson","8","1","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
127,"Poisson","2","2","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
128,"Poisson","4","2","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
129,"Poisson","8","2","0","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
130,"Poisson","2","2","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
131,"Poisson","4","2","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
132,"Poisson","8","2","0.2","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
133,"Poisson","2","2","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
134,"Poisson","4","2","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
135,"Poisson","8","2","0.6","0.5","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
136,"Poisson","2","0.5","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
137,"Poisson","4","0.5","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
