"method","metric","emmean","SE","df","asymp.LCL","asymp.UCL"
"i","rmse",0.0978937140111064,0.000264349642713762,Inf,0.0973755982320614,0.0984118297901514
"ii","rmse",0.112654298929419,0.000264349642713762,Inf,0.112136183150374,0.113172414708464
"iii","rmse",0.0993274273141746,0.000264349642713762,Inf,0.0988093115351296,0.0998455430932196
"iv","rmse",0.110417477070622,0.000264349642713762,Inf,0.109899361291577,0.110935592849667
"v","rmse",0.11017336433467,0.000264349642713762,Inf,0.109655248555625,0.110691480113715
"i","L1_norm",0.349966164597077,0.000264349642713762,Inf,0.349448048818032,0.350484280376122
"ii","L1_norm",0.374301079137758,0.000264349642713762,Inf,0.373782963358713,0.374819194916803
"iii","L1_norm",0.339922935246336,0.000264349642713762,Inf,0.339404819467291,0.340441051025381
"iv","L1_norm",0.357907388820326,0.000264349642713762,Inf,0.357389273041281,0.358425504599371
"v","L1_norm",0.346720938792254,0.000264349642713762,Inf,0.346202823013209,0.347239054571299
"i","Linf_norm",0.153284359348015,0.000264349642713762,Inf,0.15276624356897,0.15380247512706
"ii","Linf_norm",0.166656157293587,0.000264349642713762,Inf,0.166138041514542,0.167174273072632
"iii","Linf_norm",0.147533203307868,0.000264349642713762,Inf,0.147015087528823,0.148051319086913
"iv","Linf_norm",0.159673414906398,0.000264349642713762,Inf,0.159155299127353,0.160191530685444
"v","Linf_norm",0.157097762195756,0.000264349642713762,Inf,0.156579646416711,0.157615877974801
