"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"MN",25,16,"MN",TRUE,0.0432049379893857,NA,0.24,0.24,0.52
"MN",25,16,"DM",TRUE,0.0442739050689019,7.1862330705691,0.240470417173368,0.238389956000527,0.521139626826105
"DMstrong",25,16,"MN",TRUE,0.114309521329882,NA,0.34,0.3,0.36
"DMstrong",25,16,"DM",TRUE,0.0823807120181274,0.166099397082581,0.315654449605144,0.254334550718253,0.430010999676604
"MN",125,16,"MN",TRUE,0.00864098759787716,NA,0.188,0.304,0.508
"MN",125,16,"DM",TRUE,0.00864093996980724,16851.094521109,0.187999808443165,0.304001266798197,0.507998924758638
"DMstrong",125,16,"MN",TRUE,0.101561147426891,NA,0.228,0.408,0.364
"DMstrong",125,16,"DM",TRUE,0.108487842738917,0.163886413288707,0.21965297854608,0.421948843619412,0.358398177834508
"MN",250,16,"MN",TRUE,0.00711805216802088,NA,0.196,0.31,0.494
"MN",250,16,"DM",TRUE,0.00711825294470353,11625.9482517381,0.196000375666048,0.310000220992006,0.493999403341946
"DMstrong",250,16,"MN",TRUE,0.145721194980918,NA,0.298,0.408,0.294
"DMstrong",250,16,"DM",TRUE,0.151654374418404,0.0247062093494139,0.341772006014628,0.368484358451992,0.28974363553338
"MN",25,17,"MN",TRUE,0.0653197264742181,NA,0.2,0.22,0.58
"MN",25,17,"DM",FALSE,0.0653437522501224,9521.58096165324,0.199995051158866,0.219973049089506,0.580031899751627
"DMstrong",25,17,"MN",TRUE,0.101980390271856,NA,0.16,0.2,0.64
"DMstrong",25,17,"DM",TRUE,0.101980665951081,158067.873694674,0.160002559663521,0.199997728853016,0.639999711483463
"MN",125,17,"MN",TRUE,0.0284722086720835,NA,0.184,0.34,0.476
"MN",125,17,"DM",TRUE,0.0284738173524427,5684.82530916153,0.183998609450375,0.340002320816169,0.475999069733456
"DMstrong",125,17,"MN",TRUE,0.207383702349052,NA,0.104,0.108,0.788
"DMstrong",125,17,"DM",TRUE,0.210512593425222,0.213118248935302,0.120159206048097,0.0915408211212392,0.788299972830664
"MN",250,17,"MN",TRUE,0.0188325958557674,NA,0.222,0.302,0.476
"MN",250,17,"DM",TRUE,0.0188335000219647,188189.053079177,0.22200038964811,0.302001275327991,0.4759983350239
"DMstrong",250,17,"MN",TRUE,0.0762627038597505,NA,0.21,0.202,0.588
"DMstrong",250,17,"DM",TRUE,0.0809295627182269,0.0418235043123717,0.237271005885426,0.187649262047916,0.575079732066657
"MN",25,18,"MN",TRUE,0.058878405775519,NA,0.18,0.24,0.58
"MN",25,18,"DM",FALSE,0.0588440559091421,1265.50585589099,0.179998290474304,0.240044560651491,0.579957148874204
"DMstrong",25,18,"MN",TRUE,0.0432049379893857,NA,0.16,0.36,0.48
"DMstrong",25,18,"DM",TRUE,0.0389352088727265,0.853264629672724,0.176156875550157,0.354904754257345,0.468938370192497
"MN",125,18,"MN",TRUE,0.0489897948556636,NA,0.2,0.24,0.56
"MN",125,18,"DM",TRUE,0.0489902094898155,10138.9456235781,0.200000396266826,0.239999294046517,0.560000309686656
"DMstrong",125,18,"MN",TRUE,0.0545527267879434,NA,0.188,0.24,0.572
"DMstrong",125,18,"DM",TRUE,0.0720700876145426,0.0882347298593075,0.216343546805746,0.204702956718015,0.578953496476239
"MN",250,18,"MN",TRUE,0.0279045993819418,NA,0.232,0.264,0.504
"MN",250,18,"DM",TRUE,0.0275341747150853,0.70741244585725,0.230719858210817,0.26391776649832,0.505362375290864
"DMstrong",250,18,"MN",TRUE,0.182698294098951,NA,0.114,0.554,0.332
"DMstrong",250,18,"DM",TRUE,0.183371284835373,0.10848574032848,0.128517527249223,0.551623691012951,0.319858781737826
