"GEN","Nsamp","FIT","conv_rate_mean","conv_rate_sd","rmse_p_mean","rmse_p_sd","theta_hat_mean","theta_hat_sd","bias_p1","bias_p2","bias_p3","theta_upper_hit_rate","theta_fit_truth"
"DMpure",25,"DM",0.985,0.121857483279263,0.0668262698584219,0.03468802869674,7700.88210628862,4217.26787102737,-0.00235299522895866,-0.00439222191129443,0.00674521714025309,0.77,2.5
"DMstrong",25,"DM",0.995,0.0707106781186548,0.139022353385076,0.0763920113714264,3151.71633180571,4655.66337683503,0.0283019674979126,0.00858904135162892,-0.0368910088495415,0.315,2.5
"MN",25,"DM",0.995,0.0707106781186548,0.0542796349000139,0.0281872935732387,8601.67033919133,3474.45642001735,0.000176680796346162,-0.000850377941214847,0.000673697144868687,0.86,2.5
"DMpure",125,"DM",1,0,0.0301244843625506,0.016444463049578,7295.30189713127,4403.70138848361,-8.27570595143623e-05,-0.00263917577856541,0.00272193283807977,0.715,2.5
"DMstrong",125,"DM",1,0,0.113238503257031,0.0623621948278402,654.827391512834,2470.86734618866,0.0127554532572528,0.0109948560763479,-0.0237503093336007,0.065,2.5
"MN",125,"DM",0.995,0.0707106781186548,0.0288608081553447,0.0146164944044651,8237.10770118571,3743.83676057397,0.000297213053029633,-0.00298197336003272,0.00268476030700309,0.81,2.5
"DMpure",250,"DM",0.995,0.0707106781186548,0.0204470761259657,0.0105644282091784,7663.1520213234,4096.53895357107,-0.000117037031191044,-0.000494705566380133,0.000611742597571176,0.74,2.5
"DMstrong",250,"DM",1,0,0.111471153890572,0.0602814170399547,286.2164611874,1640.50568055478,0.0279279911323366,0.0172130938441703,-0.0451410849765069,0.025,2.5
"MN",250,"DM",0.985,0.121857483279263,0.0180795056194864,0.00958647856706727,8041.15750140097,3827.05509818845,0.00118538229605862,-0.00134381937378638,0.000158437077727761,0.785,2.5
