"mesh_id","sim_id","p1","p2","p3","rmse_i","L1_norm_i","Linf_norm_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","L1_norm_ii","Linf_norm_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","L1_norm_iii","Linf_norm_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","L1_norm_iv","Linf_norm_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","L1_norm_v","Linf_norm_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3","N3","X3_1","X3_2","X3_3","N4","X4_1","X4_2","X4_3"
1,1,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0463894735110114,0.119096087238707,0.0595480436193535,0.859426265499185,0.103026304488919,0.0375474300118965,0.0264450263635785,0.0663236039583186,0.0331618019791593,0.881488256045377,0.0766400628487245,0.041871681105898,0.052323410757962,0.128970616250683,0.0644853081253417,0.849370858448863,0.107963568994907,0.0426655725562302,0.0527211384257964,0.13984760197221,0.0699238009861049,0.855670103092783,0.11340206185567,0.0309278350515464,0.0480449080684175,0.122880380587972,0.0614401902939862,0.857197757759806,0.104918451163551,0.0378837910766427,24,21,3,0,22,21,0,1,26,19,7,0,25,22,1,2
1,2,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0339428626244082,0.0951526498575512,0.0475763249287756,0.883728394011903,0.0910545857983408,0.0252170201897558,0.118963236963967,0.324007581714857,0.162003790857428,0.751039687403441,0.163779729251231,0.0851805833453279,0.0285977498275785,0.080854742225665,0.0404273711128325,0.893813505813104,0.0839056319823978,0.0222808622044979,0.0187545415629803,0.0530434782608695,0.0265217391304348,0.9,0.07,0.03,0.0264204133523571,0.0742756362494186,0.0371378181247093,0.898030439171689,0.0806160789942745,0.0213534818340365,30,30,0,0,18,12,3,3,31,29,2,0,21,19,2,0
1,3,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0566863829348539,0.153593829880303,0.0767969149401514,0.836246563320718,0.101793907074794,0.061959529604488,0.124717389032688,0.330512605118134,0.165256302559067,0.747787175701803,0.179486244849061,0.072726579449136,0.0511617470828194,0.129390151460984,0.0646950757304921,0.852638910456248,0.108173336600057,0.0391877529436943,0.0860725338889853,0.224970083765457,0.112485041882728,0.81651376146789,0.155963302752294,0.0275229357798165,0.0677836805839392,0.183462072981446,0.0917310364907228,0.821312441770147,0.113447798250986,0.0652397599788677,23,23,0,0,24,19,3,2,34,19,14,1,28,28,0,0
1,4,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0262902524485951,0.073239941931117,0.0366199709655586,0.949663449226428,0.0307359818784692,0.0196005688951028,0.0129975567613336,0.0367035168561608,0.0183517584280804,0.923121823315908,0.0517516742426069,0.0251265024414849,0.0227036292776229,0.0620658541675295,0.0310329270837648,0.944076405344634,0.035096238512801,0.0208273561425647,0.0245630837924153,0.0634271099744246,0.0317135549872123,0.941176470588235,0.0470588235294118,0.0117647058823529,0.0219603769888658,0.0600096760249031,0.0300048380124516,0.943048316273321,0.035416267507676,0.0215354162190029,21,21,0,0,20,19,0,1,15,15,0,0,29,25,4,0
1,5,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0150928409350112,0.0387104516443101,0.019355225822155,0.914928646352485,0.0241230350474102,0.060948318600105,0.0198869224334064,0.0528909274515462,0.0264454637257731,0.886598014535096,0.0484116856410781,0.0649902998238254,0.0162742028601066,0.0451658962843762,0.022582948142188,0.920490169112679,0.0208953127273772,0.0586145181599434,0.0236907778149198,0.0639868744872846,0.0319934372436423,0.905660377358491,0.0188679245283019,0.0754716981132075,0.0167223749542525,0.0448051580943073,0.0224025790471536,0.908403444348297,0.0257157157349837,0.0658808399167189,25,25,0,0,29,26,2,1,30,23,0,7,22,22,0,0
2,1,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0229727090061872,0.0647900156551593,0.0323950078275796,0.901960225218884,0.0686281401862624,0.0294116345948536,0.0221233178842006,0.0619929923050627,0.0309964961525313,0.900561713543836,0.0751426611299569,0.0242956253262074,0.00482530145372038,0.0135749262179593,0.00678746310897971,0.876352680500284,0.084173576224997,0.0394737432747191,0.0229731285449385,0.0647911338448423,0.0323955669224212,0.901960784313726,0.0686274509803922,0.0294117647058824,0.022972442607202,0.0647892526744918,0.0323946263372459,0.90195984372855,0.0686282891998022,0.0294118670716475,26,23,3,0,26,24,2,0,27,24,2,1,23,21,0,2
2,2,0.869565217391304,0.0869565217391304,0.0434782608695652,0.111137759532474,0.300777541987163,0.150388770993582,0.719176446397723,0.201708656920742,0.0791148966815354,0.00628109246803222,0.016950944625677,0.00847547231283857,0.863024665416439,0.0850216014011577,0.0519537331824038,0.0983652017485072,0.24480503405722,0.12240251702861,0.747162700362694,0.205401009034946,0.0474362906023593,0.136378614387319,0.337261275904104,0.168630637952052,0.700934579439252,0.252336448598131,0.0467289719626168,0.112876880301217,0.301949712395389,0.150974856197695,0.71859036119361,0.207351964232594,0.0740576745737958,36,24,12,0,23,9,14,0,23,19,0,4,25,23,1,1
2,3,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0214415093976525,0.0531857463201613,0.0265928731600806,0.870243341457647,0.0603636485790498,0.0693930099633027,0.0311027369448275,0.0879082643045931,0.0439541321522965,0.892990063921299,0.0430023895868339,0.0640075464918669,0.0253155406777536,0.0714930006128202,0.0357465003064101,0.885719256506457,0.0512100214327204,0.063070722060823,0.0138933441958687,0.036379769299024,0.018189884649512,0.887755102040816,0.0714285714285714,0.0408163265306122,0.0251146078779473,0.0707476813070526,0.0353738406535263,0.884489197009551,0.0515826810856042,0.0639281219048449,25,23,1,1,18,11,6,1,26,26,0,0,29,27,0,2
2,4,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0380846713667836,0.0989813317960845,0.0494906658980422,0.820074551493262,0.0932988989092522,0.0866265495974858,0.0719943182942803,0.200819565804565,0.100409782902282,0.769155434489022,0.15176207835062,0.0790824871603585,0.0206226177449744,0.0526475490508796,0.0263237745254398,0.845529843335777,0.0846681212692178,0.069802035395005,0.0472142810882868,0.123745819397993,0.0618729096989966,0.807692307692308,0.0961538461538462,0.0961538461538462,0.0363592620781983,0.0964289563167411,0.0482144781583705,0.821350739232934,0.095587424680726,0.0830618360863402,31,25,6,0,24,16,0,8,24,18,4,2,25,25,0,0
2,5,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0193170047670234,0.0538861268419726,0.0269430634209863,0.896508280812291,0.0695768562190882,0.0339148629686211,0.00718776430022373,0.020121478171788,0.010060739085894,0.86579265555923,0.080668344485311,0.0535389999554592,0.00535410436776686,0.0151429327028461,0.00757146635142314,0.877136683742727,0.0831050364656487,0.0397582797916239,0.018784755647559,0.0521739130434783,0.0260869565217392,0.895652173913044,0.0695652173913043,0.0347826086956522,0.01868641439637,0.0522752185472017,0.0261376092736009,0.895702826664905,0.0705124896159633,0.0337846837191315,21,20,1,0,20,19,0,1,30,24,3,3,44,40,4,0
