"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","p_lbound","p_ubound"
26,"hake_ex26.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
27,"hake_ex27.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
28,"hake_ex28.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
29,"hake_ex29.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
30,"hake_ex30.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
31,"hake_ex31.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
32,"hake_ex32.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
33,"hake_ex33.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
34,"hake_ex34.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
35,"hake_ex35.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
36,"hake_ex36.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.25,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
37,"hake_ex37.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
38,"hake_ex38.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
39,"hake_ex39.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
40,"hake_ex40.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
41,"hake_ex41.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
42,"hake_ex42.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
43,"hake_ex43.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
44,"hake_ex44.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
45,"hake_ex45.inp","Poisson",1,"mean_nsamp",0,"sigma",0,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.5,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
46,"hake_ex46.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
47,"hake_ex47.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
48,"hake_ex48.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
49,"hake_ex49.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
50,"hake_ex50.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
51,"hake_ex51.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
52,"hake_ex52.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
53,"hake_ex53.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
54,"hake_ex54.inp","Poisson",1,"mean_nsamp",0,"sigma",1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,1,50,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
55,"hake_ex55.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
56,"hake_ex56.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
57,"hake_ex57.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
58,"hake_ex58.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
59,"hake_ex59.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
60,"hake_ex60.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
