"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
1,"hake_ex1.lst","Poisson","(ii)","(ii)","(ii)",NA,0.0063,1,0.9018,0.8278,NA,0.0057,1,0.8921,1,NA,0.0057,1,0.8921,1,11.914,4,NA,NA,NA,NA,11.655,4,NA,NA,NA,NA,11.655,4,NA,NA,NA,NA
2,"hake_ex2.lst","Poisson","(iv)","(iv)","(iv)",NA,1,1,0.371,0.996,NA,1,1,0.383,0.514,NA,1,1,0.383,0.514,11.102,4,NA,NA,NA,NA,11.569,4,NA,NA,NA,NA,11.569,4,NA,NA,NA,NA
3,"hake_ex3.lst","Poisson","(ii)","(ii)","(ii)",NA,0.8,0.8,1,1,NA,0.91,0.91,1,1,NA,0.91,0.91,1,1,6.56,4,NA,NA,NA,NA,4.4554,4,NA,NA,NA,NA,4.4554,4,NA,NA,NA,NA
4,"hake_ex4.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.7815,4,NA,NA,NA,NA,4.1846,4,NA,NA,NA,NA,4.1846,4,NA,NA,NA,NA
5,"hake_ex5.lst","Poisson","(iii)","(iii)","(iii)",NA,0.498,0.3496,1,1,NA,0.5185,0.3659,1,1,NA,0.5185,0.3659,1,1,10.068,4,NA,NA,NA,NA,14.092,4,NA,NA,NA,NA,14.092,4,NA,NA,NA,NA
6,"hake_ex6.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,0.78769,4,NA,NA,NA,NA,1.8215,4,NA,NA,NA,NA,1.8215,4,NA,NA,NA,NA
7,"hake_ex7.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,0.54,1,1,1,NA,0.54,1,1,1,6.2769,4,NA,NA,NA,NA,7.5446,4,NA,NA,NA,NA,7.5446,4,NA,NA,NA,NA
8,"hake_ex8.lst","Poisson","(iii)","(iii)","(iii)",NA,0.6562,0.2396,0.9067,0.9018,NA,0.6392,0.1238,1,0.5584,NA,0.6392,0.1238,1,0.5584,14.658,4,NA,NA,NA,NA,13.391,4,NA,NA,NA,NA,13.391,4,NA,NA,NA,NA
9,"hake_ex9.lst","Poisson","(iii)","(iii)","(iii)",NA,1,0.56,1,1,NA,1,0.51,1,1,NA,1,0.51,1,1,2.3631,4,NA,NA,NA,NA,1.6738,4,NA,NA,NA,NA,1.6738,4,NA,NA,NA,NA
10,"hake_ex10.lst","Poisson","(iii)","(iii)","(iii)",NA,0.566,0.2358,1,1,NA,0.5358,0.3016,0.7434,1,NA,0.5358,0.3016,0.7434,1,11.975,4,NA,NA,NA,NA,10.929,4,NA,NA,NA,NA,10.929,4,NA,NA,NA,NA
