"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","p_lbound","p_ubound"
1,"hake_ex1.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
2,"hake_ex2.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
3,"hake_ex3.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
4,"hake_ex4.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
5,"hake_ex5.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
6,"hake_ex6.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
7,"hake_ex7.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
8,"hake_ex8.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
9,"hake_ex9.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,847682131,1,0.25,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
10,"hake_ex10.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,847682131,1,0.5,25,1,25,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
