"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
11,"hake_ex11.lst","Poisson","(ii)","(ii)","(ii)",NA,0.02785,0.53041,1,1,NA,0.033,0.5565,0.8974,0.8974,NA,0.033,0.5565,0.8974,0.8974,22.228,4,NA,NA,NA,NA,19.583,4,NA,NA,NA,NA,19.583,4,NA,NA,NA,NA
12,"hake_ex12.lst","Poisson","(ii)","(ii)","(ii)",NA,2e-07,1,1,1,NA,3.3e-07,1,1,1,NA,3.3e-07,1,1,1,42.958,4,NA,NA,NA,NA,41.161,4,NA,NA,NA,NA,41.161,4,NA,NA,NA,NA
13,"hake_ex13.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00337,0.01208,1,1,NA,0.0038,0.0207,1,1,NA,0.0038,0.0207,1,1,22.201,4,NA,NA,NA,NA,24.701,4,NA,NA,NA,NA,24.701,4,NA,NA,NA,NA
14,"hake_ex14.lst","Poisson","(ii)","(ii)","(ii)",NA,0.282,0.507,0.507,0.421,NA,0.258,0.7,0.7,0.7,NA,0.258,0.7,0.7,0.7,15.125,4,NA,NA,NA,NA,10.08,4,NA,NA,NA,NA,10.08,4,NA,NA,NA,NA
15,"hake_ex15.lst","Poisson","(ii)","(ii)","(ii)",NA,3.7e-11,0.383,0.088,0.15,NA,2e-11,0.84,0.5,0.36,NA,2e-11,0.84,0.5,0.36,73.423,4,NA,NA,NA,NA,68.945,4,NA,NA,NA,NA,68.945,4,NA,NA,NA,NA
16,"hake_ex16.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00049,0.01597,0.73074,0.83198,NA,0.00098,0.01353,1,1,NA,0.00098,0.01353,1,1,36.873,4,NA,NA,NA,NA,32.053,4,NA,NA,NA,NA,32.053,4,NA,NA,NA,NA
17,"hake_ex17.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00011,0.81533,1,1,NA,0.00018,0.77267,0.95289,0.77267,NA,0.00018,0.77267,0.95289,0.77267,57.195,4,NA,NA,NA,NA,57.139,4,NA,NA,NA,NA,57.139,4,NA,NA,NA,NA
18,"hake_ex18.lst","Poisson","(ii)","(ii)","(ii)",NA,1.6e-07,0.093,0.745,0.745,NA,2.6e-07,0.033,0.507,0.581,NA,2.6e-07,0.033,0.507,0.581,54.759,4,NA,NA,NA,NA,52.718,4,NA,NA,NA,NA,52.718,4,NA,NA,NA,NA
19,"hake_ex19.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00012,0.03796,0.03796,0.15832,NA,0.00018,0.03379,0.03379,0.08732,NA,0.00018,0.03379,0.03379,0.08732,36.625,4,NA,NA,NA,NA,47.319,4,NA,NA,NA,NA,47.319,4,NA,NA,NA,NA
20,"hake_ex20.lst","Poisson","(ii)","(ii)","(ii)",NA,4.6e-09,0.7736,0.0238,0.0476,NA,6.4e-09,0.837,0.022,0.123,NA,6.4e-09,0.837,0.022,0.123,60.555,4,NA,NA,NA,NA,54.25,4,NA,NA,NA,NA,54.25,4,NA,NA,NA,NA
21,"hake_ex21.lst","Poisson","(ii)","(ii)","(ii)",NA,1.2e-05,0.34143,1,1,NA,6e-05,0.11688,1,1,NA,6e-05,0.11688,1,1,30.856,4,NA,NA,NA,NA,34.679,4,NA,NA,NA,NA,34.679,4,NA,NA,NA,NA
22,"hake_ex22.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00076,0.43756,0.01112,0.43756,NA,0.00081,0.44649,0.0254,0.44649,NA,0.00081,0.44649,0.0254,0.44649,44.584,4,NA,NA,NA,NA,38.701,4,NA,NA,NA,NA,38.701,4,NA,NA,NA,NA
23,"hake_ex23.lst","Poisson","(ii)","(ii)","(ii)",NA,1.7e-09,0.00021,1.2e-06,0.03181,NA,1.5e-09,0.0025,1.3e-05,0.0808,NA,1.5e-09,0.0025,1.3e-05,0.0808,73.782,4,NA,NA,NA,NA,70.332,4,NA,NA,NA,NA,70.332,4,NA,NA,NA,NA
24,"hake_ex24.lst","Poisson","(iii)","(ii)","(ii)",NA,NA,0.916,0.916,0.916,NA,2.9e-16,0.6,0.97,0.97,NA,2.9e-16,0.6,0.97,0.97,98.64,4,NA,NA,NA,NA,96.655,4,NA,NA,NA,NA,96.655,4,NA,NA,NA,NA
25,"hake_ex25.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00018,1,1,1,NA,0.00021,1,0.9521,1,NA,0.00021,1,0.9521,1,24.593,4,NA,NA,NA,NA,26.088,4,NA,NA,NA,NA,26.088,4,NA,NA,NA,NA
26,"hake_ex26.lst","Poisson","(ii)","(ii)","(ii)",NA,1.9e-09,1,1,1,NA,4.7e-09,1,1,1,NA,4.7e-09,1,1,1,71.19,4,NA,NA,NA,NA,68.293,4,NA,NA,NA,NA,68.293,4,NA,NA,NA,NA
27,"hake_ex27.lst","Poisson","(ii)","(ii)","(ii)",NA,2.9e-07,0.5729,1,0.5729,NA,4.3e-07,0.3319,0.9476,0.3319,NA,4.3e-07,0.3319,0.9476,0.3319,52.383,4,NA,NA,NA,NA,54.795,4,NA,NA,NA,NA,54.795,4,NA,NA,NA,NA
28,"hake_ex28.lst","Poisson","(iii)","(iii)","(iii)",NA,0.12738,0.01292,1,1,NA,0.0418,0.0286,1,1,NA,0.0418,0.0286,1,1,20.555,4,NA,NA,NA,NA,17.467,4,NA,NA,NA,NA,17.467,4,NA,NA,NA,NA
29,"hake_ex29.lst","Poisson","(iii)","(iii)","(iii)",NA,0.023,6.7e-14,2.2e-07,2.5e-08,NA,0.011,1.2e-15,2.4e-08,7.7e-08,NA,0.011,1.2e-15,2.4e-08,7.7e-08,37.83,4,NA,NA,NA,NA,46.034,4,NA,NA,NA,NA,46.034,4,NA,NA,NA,NA
30,"hake_ex30.lst","Poisson","(ii)","(ii)","(ii)",NA,4.5e-07,0.901,0.901,0.969,NA,3e-07,0.788,0.377,0.788,NA,3e-07,0.788,0.377,0.788,59.425,4,NA,NA,NA,NA,75.207,4,NA,NA,NA,NA,75.207,4,NA,NA,NA,NA
