"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
81,"hake_ex81.lst","Poisson","(iii)","(iii)","(iii)",NA,NA,0.25,1,1,NA,NA,0.1561,1,1,NA,NA,0.1561,1,1,132.97,4,NA,NA,NA,NA,134.79,4,NA,NA,NA,NA,134.79,4,NA,NA,NA,NA
82,"hake_ex82.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.2952,0.0032,0.971,0.2952,NA,0.1114,0.0059,0.8927,0.2405,NA,0.1114,0.0059,0.8927,0.2405,24.332,4,NA,NA,NA,NA,29.13,4,NA,NA,NA,NA,29.13,4,NA,NA,NA,NA
83,"hake_ex83.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.05863,0.08927,1,1,NA,0.05667,0.16364,1,1,NA,0.05667,0.16364,1,1,28.936,4,NA,NA,NA,NA,26.165,4,NA,NA,NA,NA,26.165,4,NA,NA,NA,NA
84,"hake_ex84.lst","Lognormal","(ii)","(ii)","(ii)",NA,4.1e-05,1,1,1,NA,4e-05,1,1,1,NA,4e-05,1,1,1,43.37,4,NA,NA,NA,NA,42.766,4,NA,NA,NA,NA,42.766,4,NA,NA,NA,NA
85,"hake_ex85.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.0013,1,0.7622,NA,1,0.001,1,0.8856,NA,1,0.001,1,0.8856,29.573,4,NA,NA,NA,NA,34.225,4,NA,NA,NA,NA,34.225,4,NA,NA,NA,NA
86,"hake_ex86.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.05618,0.02226,1,1,NA,0.10358,0.0669,1,1,NA,0.10358,0.0669,1,1,33.998,4,NA,NA,NA,NA,23.261,4,NA,NA,NA,NA,23.261,4,NA,NA,NA,NA
87,"hake_ex87.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00018,1,1,1,NA,0.00028,1,1,1,NA,0.00028,1,1,1,37.365,4,NA,NA,NA,NA,38.119,4,NA,NA,NA,NA,38.119,4,NA,NA,NA,NA
88,"hake_ex88.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.0041,1,1,NA,1,0.0018,1,1,NA,1,0.0018,1,1,24.969,4,NA,NA,NA,NA,43.172,4,NA,NA,NA,NA,43.172,4,NA,NA,NA,NA
89,"hake_ex89.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.18273,7.6e-05,0.84188,0.4489,NA,0.18552,6.3e-05,0.77137,0.64611,NA,0.18552,6.3e-05,0.77137,0.64611,42.415,4,NA,NA,NA,NA,47.772,4,NA,NA,NA,NA,47.772,4,NA,NA,NA,NA
90,"hake_ex90.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00027,1,1,1,NA,0.00034,1,1,1,NA,0.00034,1,1,1,25.535,4,NA,NA,NA,NA,24.575,4,NA,NA,NA,NA,24.575,4,NA,NA,NA,NA
91,"hake_ex91.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.0292,1.6e-05,0.2031,0.6249,NA,0.0142,3.4e-05,0.3572,0.4725,NA,0.0142,3.4e-05,0.3572,0.4725,65.385,4,NA,NA,NA,NA,64.073,4,NA,NA,NA,NA,64.073,4,NA,NA,NA,NA
92,"hake_ex92.lst","Lognormal","(ii)","(ii)","(ii)",NA,6e-05,0.6912,0.008,0.0824,NA,1e-04,0.61271,0.00763,0.1077,NA,1e-04,0.61271,0.00763,0.1077,49.193,4,NA,NA,NA,NA,40.528,4,NA,NA,NA,NA,40.528,4,NA,NA,NA,NA
93,"hake_ex93.lst","Lognormal","(iv)","(iv)","(iv)",NA,3e-08,2e-04,1.7e-09,2.7e-07,NA,3.5e-08,0.00016,2.3e-09,2.8e-07,NA,3.5e-08,0.00016,2.3e-09,2.8e-07,63.823,4,NA,NA,NA,NA,63.387,4,NA,NA,NA,NA,63.387,4,NA,NA,NA,NA
94,"hake_ex94.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.30356,0.00034,0.23477,0.30356,NA,0.1738,0.001,0.1233,0.1738,NA,0.1738,0.001,0.1233,0.1738,79.382,4,NA,NA,NA,NA,69.653,4,NA,NA,NA,NA,69.653,4,NA,NA,NA,NA
95,"hake_ex95.lst","Lognormal","(ii)","(ii)","(ii)",NA,5e-06,1,1,1,NA,2.7e-06,1,1,1,NA,2.7e-06,1,1,1,35.922,4,NA,NA,NA,NA,39.149,4,NA,NA,NA,NA,39.149,4,NA,NA,NA,NA
96,"hake_ex96.lst","Lognormal","(ii)","(ii)","(ii)",NA,5.2e-10,0.0159,0.0061,0.0033,NA,6.8e-10,0.0226,0.0091,0.0091,NA,6.8e-10,0.0226,0.0091,0.0091,53.583,4,NA,NA,NA,NA,54.383,4,NA,NA,NA,NA,54.383,4,NA,NA,NA,NA
97,"hake_ex97.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.00971,0.00045,0.22388,0.70656,NA,0.036,4.4e-05,0.326,0.598,NA,0.036,4.4e-05,0.326,0.598,58.376,4,NA,NA,NA,NA,74.407,4,NA,NA,NA,NA,74.407,4,NA,NA,NA,NA
98,"hake_ex98.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.001,0.4777,0.0063,0.0212,NA,0.0022,0.5517,0.0183,0.0183,NA,0.0022,0.5517,0.0183,0.0183,36.853,4,NA,NA,NA,NA,33.307,4,NA,NA,NA,NA,33.307,4,NA,NA,NA,NA
99,"hake_ex99.lst","Lognormal","(ii)","(ii)","(ii)",NA,2.9e-10,0.00039,0.00018,0.00049,NA,5.6e-10,0.00102,0.00053,0.0018,NA,5.6e-10,0.00102,0.00053,0.0018,69.135,4,NA,NA,NA,NA,63.813,4,NA,NA,NA,NA,63.813,4,NA,NA,NA,NA
100,"hake_ex100.lst","Lognormal","(ii)","(iv)","(iv)",NA,0.0031,0.0592,0.0036,0.0575,NA,0.0018,0.0834,0.0012,0.0834,NA,0.0018,0.0834,0.0012,0.0834,55.62,4,NA,NA,NA,NA,72.493,4,NA,NA,NA,NA,72.493,4,NA,NA,NA,NA
101,"hake_ex101.lst","Lognormal","(ii)","(ii)","(ii)",NA,9.6e-08,0.00519,2.5e-05,0.00104,NA,1.2e-07,0.00904,1.1e-05,0.00098,NA,1.2e-07,0.00904,1.1e-05,0.00098,51.656,4,NA,NA,NA,NA,49.678,4,NA,NA,NA,NA,49.678,4,NA,NA,NA,NA
102,"hake_ex102.lst","Lognormal","(iv)","(iv)","(iv)",NA,3.2e-07,1.3e-06,5e-08,2.4e-06,NA,1.3e-07,2.1e-06,6.9e-08,8.3e-07,NA,1.3e-07,2.1e-06,6.9e-08,8.3e-07,53.792,4,NA,NA,NA,NA,51.394,4,NA,NA,NA,NA,51.394,4,NA,NA,NA,NA
103,"hake_ex103.lst","Lognormal","(iv)","(iv)","(iv)",NA,0.21177,0.59746,0.00075,0.59746,NA,0.25254,0.89951,0.00025,0.71653,NA,0.25254,0.89951,0.00025,0.71653,48.903,4,NA,NA,NA,NA,62.608,4,NA,NA,NA,NA,62.608,4,NA,NA,NA,NA
104,"hake_ex104.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.3e-08,0.0016,0.00054,0.00589,NA,2.8e-08,0.00188,0.00064,0.00813,NA,2.8e-08,0.00188,0.00064,0.00813,55.202,4,NA,NA,NA,NA,55.648,4,NA,NA,NA,NA,55.648,4,NA,NA,NA,NA
105,"hake_ex105.lst","Lognormal","(ii)","(ii)","(ii)",NA,8.4e-16,0.00086,5.9e-05,0.0046,NA,1.4e-15,0.00171,0.00017,0.00865,NA,1.4e-15,0.00171,0.00017,0.00865,84.245,4,NA,NA,NA,NA,81.821,4,NA,NA,NA,NA,81.821,4,NA,NA,NA,NA
106,"hake_ex106.lst","Lognormal","(ii)","(ii)","(ii)",NA,9.9e-06,1,5.8e-05,0.6239,NA,2e-05,1,0.0018,1,NA,2e-05,1,0.0018,1,84.482,4,NA,NA,NA,NA,85.387,4,NA,NA,NA,NA,85.387,4,NA,NA,NA,NA
107,"hake_ex107.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.5e-08,9.4e-05,4.1e-05,0.0083,NA,2.1e-08,0.00024,8.6e-05,0.01438,NA,2.1e-08,0.00024,8.6e-05,0.01438,60.512,4,NA,NA,NA,NA,59.144,4,NA,NA,NA,NA,59.144,4,NA,NA,NA,NA
108,"hake_ex108.lst","Lognormal","(ii)","(ii)","(ii)",NA,8.3e-16,1.3e-05,8.8e-06,0.0017,NA,7e-16,1.4e-05,8.2e-06,0.0026,NA,7e-16,1.4e-05,8.2e-06,0.0026,98.979,4,NA,NA,NA,NA,96.764,4,NA,NA,NA,NA,96.764,4,NA,NA,NA,NA
109,"hake_ex109.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.044,0.015,1,1,NA,0.019,0.014,1,1,NA,0.019,0.014,1,1,27.755,4,NA,NA,NA,NA,24.47,4,NA,NA,NA,NA,24.47,4,NA,NA,NA,NA
110,"hake_ex110.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.41084,1,1,NA,1,0.30647,1,1,NA,1,0.30647,1,1,18.25,4,NA,NA,NA,NA,20.138,4,NA,NA,NA,NA,20.138,4,NA,NA,NA,NA
111,"hake_ex111.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.8e-06,0.24,0.23,0.52,NA,2.7e-06,0.29,0.31,0.44,NA,2.7e-06,0.29,0.31,0.44,40.812,4,NA,NA,NA,NA,40.284,4,NA,NA,NA,NA,40.284,4,NA,NA,NA,NA
112,"hake_ex112.lst","Lognormal","(iii)","(ii)","(ii)",NA,0.00468,0.00092,1,1,NA,0.00155,0.00155,0.74426,0.74426,NA,0.00155,0.00155,0.74426,0.74426,47.639,4,NA,NA,NA,NA,50.909,4,NA,NA,NA,NA,50.909,4,NA,NA,NA,NA
113,"hake_ex113.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.131,0.018,1,1,NA,0.15,0.012,1,0.404,NA,0.15,0.012,1,0.404,54.514,4,NA,NA,NA,NA,58.162,4,NA,NA,NA,NA,58.162,4,NA,NA,NA,NA
114,"hake_ex114.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.1e-05,0.4,1,1,NA,1.7e-05,0.24,1,1,NA,1.7e-05,0.24,1,1,69.132,4,NA,NA,NA,NA,60.395,4,NA,NA,NA,NA,60.395,4,NA,NA,NA,NA
115,"hake_ex115.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.49997,0.003,0.80418,1,NA,0.69823,0.00235,1,1,NA,0.69823,0.00235,1,1,30.352,4,NA,NA,NA,NA,31.91,4,NA,NA,NA,NA,31.91,4,NA,NA,NA,NA
116,"hake_ex116.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.19792,0.00041,0.19792,0.04497,NA,0.17841,0.00074,0.15398,0.04674,NA,0.17841,0.00074,0.15398,0.04674,42.941,4,NA,NA,NA,NA,36.192,4,NA,NA,NA,NA,36.192,4,NA,NA,NA,NA
117,"hake_ex117.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00035,0.05857,0.00981,0.02207,NA,0.00029,0.07428,0.02202,0.03531,NA,0.00029,0.07428,0.02202,0.03531,45.091,4,NA,NA,NA,NA,46.322,4,NA,NA,NA,NA,46.322,4,NA,NA,NA,NA
118,"hake_ex118.lst","Lognormal","(ii)","(ii)","(ii)",NA,7.4e-05,0.00398,0.23777,0.5272,NA,9.2e-05,0.0139,0.1655,0.7443,NA,9.2e-05,0.0139,0.1655,0.7443,49.952,4,NA,NA,NA,NA,43.731,4,NA,NA,NA,NA,43.731,4,NA,NA,NA,NA
119,"hake_ex119.lst","Lognormal","(ii)","(ii)","(ii)",NA,6.8e-06,0.38209,0.00962,0.10394,NA,7.9e-06,0.44183,0.00992,0.13761,NA,7.9e-06,0.44183,0.00992,0.13761,49.421,4,NA,NA,NA,NA,50.514,4,NA,NA,NA,NA,50.514,4,NA,NA,NA,NA
120,"hake_ex120.lst","Lognormal","(ii)","(ii)","(ii)",NA,2.1e-11,0.00508,0.00076,0.00501,NA,2e-11,0.0053,0.0015,0.0053,NA,2e-11,0.0053,0.0015,0.0053,74.621,4,NA,NA,NA,NA,67.413,4,NA,NA,NA,NA,67.413,4,NA,NA,NA,NA
121,"hake_ex121.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00051,0.12192,0.1,0.12192,NA,0.00015,0.14156,0.02845,0.14156,NA,0.00015,0.14156,0.02845,0.14156,41.064,4,NA,NA,NA,NA,46.242,4,NA,NA,NA,NA,46.242,4,NA,NA,NA,NA
122,"hake_ex122.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.7e-07,0.00187,2.4e-05,9.2e-05,NA,1.5e-07,0.00251,4.4e-05,2e-04,NA,1.5e-07,0.00251,4.4e-05,2e-04,59.345,4,NA,NA,NA,NA,61.83,4,NA,NA,NA,NA,61.83,4,NA,NA,NA,NA
123,"hake_ex123.lst","Lognormal","(ii)","(ii)","(ii)",NA,7.4e-09,5.9e-05,6.8e-05,2.7e-05,NA,8.3e-09,0.00012,0.00025,4.1e-05,NA,8.3e-09,0.00012,0.00025,4.1e-05,59.219,4,NA,NA,NA,NA,56.107,4,NA,NA,NA,NA,56.107,4,NA,NA,NA,NA
124,"hake_ex124.lst","Lognormal","(ii)","(ii)","(ii)",NA,1e-04,0.48469,0.02056,0.02056,NA,6e-04,0.29776,0.08834,0.04923,NA,6e-04,0.29776,0.08834,0.04923,53.29,4,NA,NA,NA,NA,55.634,4,NA,NA,NA,NA,55.634,4,NA,NA,NA,NA
125,"hake_ex125.lst","Lognormal","(ii)","(ii)","(ii)",NA,8.1e-07,0.0399,0.0021,0.0399,NA,9.7e-07,0.03029,0.00093,0.03963,NA,9.7e-07,0.03029,0.00093,0.03963,61.375,4,NA,NA,NA,NA,66.053,4,NA,NA,NA,NA,66.053,4,NA,NA,NA,NA
126,"hake_ex126.lst","Lognormal","(ii)","(ii)","(ii)",NA,2.2e-06,0.08123,0.08476,0.08476,NA,1.7e-06,0.13312,0.14018,0.14018,NA,1.7e-06,0.13312,0.14018,0.14018,25.993,4,NA,NA,NA,NA,31.023,4,NA,NA,NA,NA,31.023,4,NA,NA,NA,NA
127,"hake_ex127.lst","Lognormal","(ii)","(ii)","(ii)",NA,6.2e-07,1,0.0024,0.0085,NA,4.5e-07,1,0.00157,0.01478,NA,4.5e-07,1,0.00157,0.01478,60.866,4,NA,NA,NA,NA,61.05,4,NA,NA,NA,NA,61.05,4,NA,NA,NA,NA
128,"hake_ex128.lst","Lognormal","(ii)","(ii)","(ii)",NA,3.1e-13,2.5e-08,2.7e-09,7.1e-06,NA,5.2e-13,4e-08,1.9e-09,1.4e-05,NA,5.2e-13,4e-08,1.9e-09,1.4e-05,101.46,4,NA,NA,NA,NA,101.85,4,NA,NA,NA,NA,101.85,4,NA,NA,NA,NA
129,"hake_ex129.lst","Lognormal","(iv)","(iv)","(iv)",NA,NA,6.4e-12,8.9e-14,3.1e-09,NA,NA,1.9e-11,3.5e-13,6.5e-09,NA,NA,1.9e-11,3.5e-13,6.5e-09,108.59,4,NA,NA,NA,NA,95.91,4,NA,NA,NA,NA,95.91,4,NA,NA,NA,NA
130,"hake_ex130.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00012,0.96291,0.00517,0.96291,NA,8.3e-05,0.98252,0.00363,0.53811,NA,8.3e-05,0.98252,0.00363,0.53811,63.224,4,NA,NA,NA,NA,64.056,4,NA,NA,NA,NA,64.056,4,NA,NA,NA,NA
131,"hake_ex131.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.2e-14,2.5e-07,1.4e-06,3.2e-05,NA,1.1e-14,2.1e-07,1.4e-06,2.8e-05,NA,1.1e-14,2.1e-07,1.4e-06,2.8e-05,87.993,4,NA,NA,NA,NA,86.252,4,NA,NA,NA,NA,86.252,4,NA,NA,NA,NA
132,"hake_ex132.lst","Lognormal","(iv)","(iv)","(iv)",NA,9.9e-11,5.8e-11,1.8e-11,1.8e-09,NA,2.7e-10,2.8e-10,9.1e-11,1.6e-09,NA,2.7e-10,2.8e-10,9.1e-11,1.6e-09,92.255,4,NA,NA,NA,NA,85.326,4,NA,NA,NA,NA,85.326,4,NA,NA,NA,NA
133,"hake_ex133.lst","Lognormal","(iv)","(iv)","(iv)",NA,5.8e-08,6.2e-05,4.9e-09,2.7e-05,NA,2.2e-08,0.00013,6.3e-09,6.8e-05,NA,2.2e-08,0.00013,6.3e-09,6.8e-05,67.624,4,NA,NA,NA,NA,77.758,4,NA,NA,NA,NA,77.758,4,NA,NA,NA,NA
134,"hake_ex134.lst","Lognormal","(ii)","(ii)","(ii)",NA,4.6e-14,1.8e-10,3e-10,2.8e-07,NA,2.4e-14,3.7e-10,5.4e-10,5.7e-07,NA,2.4e-14,3.7e-10,5.4e-10,5.7e-07,112.93,4,NA,NA,NA,NA,112.1,4,NA,NA,NA,NA,112.1,4,NA,NA,NA,NA
135,"hake_ex135.lst","Lognormal","(iv)","(iv)","(iv)",NA,NA,1.7e-11,6.6e-12,6.3e-09,NA,NA,7.7e-11,1.9e-11,1.6e-08,NA,NA,7.7e-11,1.9e-11,1.6e-08,140.63,4,NA,NA,NA,NA,126.07,4,NA,NA,NA,NA,126.07,4,NA,NA,NA,NA
136,"hake_ex136.lst","Lognormal","(iii)","(ii)","(ii)",NA,0.0062,0.0044,0.7536,0.7536,NA,0.0087,0.0088,0.6806,0.9238,NA,0.0087,0.0088,0.6806,0.9238,63.617,4,NA,NA,NA,NA,60.371,4,NA,NA,NA,NA,60.371,4,NA,NA,NA,NA
137,"hake_ex137.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.3587,0.0099,0.0727,0.0727,NA,0.6567,0.0072,0.0353,0.0475,NA,0.6567,0.0072,0.0353,0.0475,54.669,4,NA,NA,NA,NA,53.738,4,NA,NA,NA,NA,53.738,4,NA,NA,NA,NA
138,"hake_ex138.lst","Lognormal","(ii)","(ii)","(ii)",NA,3e-04,1,0.825,0.825,NA,3e-04,1,0.8379,0.8379,NA,3e-04,1,0.8379,0.8379,39.956,4,NA,NA,NA,NA,44.994,4,NA,NA,NA,NA,44.994,4,NA,NA,NA,NA
139,"hake_ex139.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.0788,0.0034,0.8901,0.8901,NA,0.027,0.011,1,1,NA,0.027,0.011,1,1,65.505,4,NA,NA,NA,NA,62.509,4,NA,NA,NA,NA,62.509,4,NA,NA,NA,NA
140,"hake_ex140.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.2711,0.00019,0.01911,0.0028,NA,0.28347,0.00044,0.01695,0.00687,NA,0.28347,0.00044,0.01695,0.00687,18.805,4,NA,NA,NA,NA,19.668,4,NA,NA,NA,NA,19.668,4,NA,NA,NA,NA
141,"hake_ex141.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.7e-05,0.02345,0.01214,0.01214,NA,3.1e-05,0.01468,0.0055,0.00718,NA,3.1e-05,0.01468,0.0055,0.00718,41.227,4,NA,NA,NA,NA,40.999,4,NA,NA,NA,NA,40.999,4,NA,NA,NA,NA
142,"hake_ex142.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.1642,0.017,0.9151,0.8057,NA,0.2305,0.0074,0.8096,0.3855,NA,0.2305,0.0074,0.8096,0.3855,36.046,4,NA,NA,NA,NA,40.781,4,NA,NA,NA,NA,40.781,4,NA,NA,NA,NA
143,"hake_ex143.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.00062,0.01821,0.00528,NA,1,0.00039,0.01624,0.00355,NA,1,0.00039,0.01624,0.00355,62.792,4,NA,NA,NA,NA,45.775,4,NA,NA,NA,NA,45.775,4,NA,NA,NA,NA
144,"hake_ex144.lst","Lognormal","(ii)","(ii)","(ii)",NA,4.5e-06,0.52,0.52,0.52,NA,8.2e-06,0.57,0.57,0.57,NA,8.2e-06,0.57,0.57,0.57,79.488,4,NA,NA,NA,NA,77.36,4,NA,NA,NA,NA,77.36,4,NA,NA,NA,NA
145,"hake_ex145.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.1e-05,0.3401,0.2363,0.7001,NA,0.00019,0.45582,0.30691,0.80108,NA,0.00019,0.45582,0.30691,0.80108,66.327,4,NA,NA,NA,NA,50.55,4,NA,NA,NA,NA,50.55,4,NA,NA,NA,NA
146,"hake_ex146.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00082,0.42899,0.06712,0.11672,NA,0.00083,0.53811,0.05478,0.13163,NA,0.00083,0.53811,0.05478,0.13163,41.013,4,NA,NA,NA,NA,42.776,4,NA,NA,NA,NA,42.776,4,NA,NA,NA,NA
147,"hake_ex147.lst","Lognormal","(ii)","(ii)","(ii)",NA,1e-13,9.1e-09,6.8e-10,1.7e-09,NA,1.6e-13,1.3e-08,7.5e-10,1.4e-09,NA,1.6e-13,1.3e-08,7.5e-10,1.4e-09,66.432,4,NA,NA,NA,NA,62.196,4,NA,NA,NA,NA,62.196,4,NA,NA,NA,NA
148,"hake_ex148.lst","Lognormal","(ii)","(ii)","(ii)",NA,2.2e-07,0.81896,4.8e-05,0.09689,NA,1.5e-06,0.89086,0.00018,0.08026,NA,1.5e-06,0.89086,0.00018,0.08026,76.133,4,NA,NA,NA,NA,66.839,4,NA,NA,NA,NA,66.839,4,NA,NA,NA,NA
149,"hake_ex149.lst","Lognormal","(ii)","(ii)","(ii)",NA,4.2e-06,0.0439,0.0102,0.0512,NA,2.4e-06,0.0504,0.0172,0.0504,NA,2.4e-06,0.0504,0.0172,0.0504,60.075,4,NA,NA,NA,NA,57.067,4,NA,NA,NA,NA,57.067,4,NA,NA,NA,NA
150,"hake_ex150.lst","Lognormal","(iv)","(iv)","(iv)",NA,1e-07,1.3e-07,5.7e-08,3.5e-07,NA,4.3e-07,6.1e-07,1.6e-07,8.8e-07,NA,4.3e-07,6.1e-07,1.6e-07,8.8e-07,62.383,4,NA,NA,NA,NA,57.358,4,NA,NA,NA,NA,57.358,4,NA,NA,NA,NA
151,"hake_ex151.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.1e-05,0.711,0.14,0.697,NA,4.7e-06,1,0.0712,1,NA,4.7e-06,1,0.0712,1,70.72,4,NA,NA,NA,NA,74.882,4,NA,NA,NA,NA,74.882,4,NA,NA,NA,NA
152,"hake_ex152.lst","Lognormal","(ii)","(ii)","(ii)",NA,2.9e-07,0.00073,0.00027,0.00207,NA,2.1e-07,6e-04,0.00023,0.00106,NA,2.1e-07,6e-04,0.00023,0.00106,74.606,4,NA,NA,NA,NA,70.604,4,NA,NA,NA,NA,70.604,4,NA,NA,NA,NA
153,"hake_ex153.lst","Lognormal","(ii)","(ii)","(ii)",NA,5.7e-14,0.00052,0.00052,0.00101,NA,6e-14,0.00084,0.00084,0.00169,NA,6e-14,0.00084,0.00084,0.00169,58.722,4,NA,NA,NA,NA,52.899,4,NA,NA,NA,NA,52.899,4,NA,NA,NA,NA
154,"hake_ex154.lst","Lognormal","(iv)","(iv)","(iv)",NA,0.00012,0.03318,2.9e-05,0.03318,NA,6.2e-05,0.05218,3.1e-05,0.06303,NA,6.2e-05,0.05218,3.1e-05,0.06303,54.441,4,NA,NA,NA,NA,57.571,4,NA,NA,NA,NA,57.571,4,NA,NA,NA,NA
155,"hake_ex155.lst","Lognormal","(ii)","(ii)","(ii)",NA,5.9e-09,0.00023,8e-04,0.02105,NA,1.1e-08,0.00045,0.00161,0.03121,NA,1.1e-08,0.00045,0.00161,0.03121,54.349,4,NA,NA,NA,NA,55.891,4,NA,NA,NA,NA,55.891,4,NA,NA,NA,NA
156,"hake_ex156.lst","Lognormal","(iv)","(iv)","(iv)",NA,NA,2.5e-08,5.9e-09,1e-06,NA,NA,1.5e-07,4.2e-08,4.2e-06,NA,NA,1.5e-07,4.2e-08,4.2e-06,89.874,4,NA,NA,NA,NA,85.326,4,NA,NA,NA,NA,85.326,4,NA,NA,NA,NA
157,"hake_ex157.lst","Lognormal","(iv)","(iv)","(iv)",NA,2.5e-05,0.00161,2.2e-05,0.01757,NA,6.7e-05,0.0046,4.2e-05,0.028,NA,6.7e-05,0.0046,4.2e-05,0.028,43.038,4,NA,NA,NA,NA,36.104,4,NA,NA,NA,NA,36.104,4,NA,NA,NA,NA
158,"hake_ex158.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.2e-09,1.9e-08,4.3e-07,7.9e-06,NA,9.3e-10,2e-08,4.4e-07,7e-06,NA,9.3e-10,2e-08,4.4e-07,7e-06,89.918,4,NA,NA,NA,NA,87.219,4,NA,NA,NA,NA,87.219,4,NA,NA,NA,NA
159,"hake_ex159.lst","Lognormal","(ii)","(ii)","(ii)",NA,3.3e-12,7.3e-09,7.3e-09,3.4e-07,NA,1.2e-11,4.3e-08,3.1e-08,1e-06,NA,1.2e-11,4.3e-08,3.1e-08,1e-06,71.372,4,NA,NA,NA,NA,65.862,4,NA,NA,NA,NA,65.862,4,NA,NA,NA,NA
160,"hake_ex160.lst","Lognormal","(iv)","(iv)","(iv)",NA,0.0032,0.03766,0.00295,0.00953,NA,0.00416,0.03196,0.00127,0.01487,NA,0.00416,0.03196,0.00127,0.01487,24.046,4,NA,NA,NA,NA,22.364,4,NA,NA,NA,NA,22.364,4,NA,NA,NA,NA
161,"hake_ex161.lst","Lognormal","(ii)","(ii)","(ii)",NA,4.5e-14,2.3e-09,2.6e-09,6e-06,NA,3.1e-14,1.6e-09,1.6e-09,3.3e-06,NA,3.1e-14,1.6e-09,1.6e-09,3.3e-06,121.47,4,NA,NA,NA,NA,123.87,4,NA,NA,NA,NA,123.87,4,NA,NA,NA,NA
162,"hake_ex162.lst","Lognormal","(ii)","(ii)","(ii)",NA,2.2e-09,1.9e-07,1.9e-07,4.8e-06,NA,6.9e-09,2.5e-06,2.2e-06,1.8e-05,NA,6.9e-09,2.5e-06,2.2e-06,1.8e-05,60.507,4,NA,NA,NA,NA,61.881,4,NA,NA,NA,NA,61.881,4,NA,NA,NA,NA
163,"hake_ex163.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.0803,0.0225,1,1,NA,0.2981,0.025,0.6899,0.585,NA,0.2981,0.025,0.6899,0.585,17.394,4,NA,NA,NA,NA,17.103,4,NA,NA,NA,NA,17.103,4,NA,NA,NA,NA
164,"hake_ex164.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.62,0.019,0.322,0.206,NA,0.617,0.067,0.28,0.278,NA,0.617,0.067,0.28,0.278,25.92,4,NA,NA,NA,NA,22.446,4,NA,NA,NA,NA,22.446,4,NA,NA,NA,NA
165,"hake_ex165.lst","Negative binomial","(ii)","(ii)","(ii)",NA,3e-06,0.1742,0.1725,0.3632,NA,2.1e-06,0.3598,0.6518,0.6518,NA,2.1e-06,0.3598,0.6518,0.6518,42.822,4,NA,NA,NA,NA,45.961,4,NA,NA,NA,NA,45.961,4,NA,NA,NA,NA
166,"hake_ex166.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.0951,0.0037,1,1,NA,0.0247,0.0055,1,1,NA,0.0247,0.0055,1,1,26.824,4,NA,NA,NA,NA,23.484,4,NA,NA,NA,NA,23.484,4,NA,NA,NA,NA
