"P.1","P.2","P.3"
0.945945945945946,0.027027027027027,0.027027027027027
0.918918918918919,0.0540540540540541,0.027027027027027
0.891891891891892,0.0810810810810811,0.027027027027027
0.864864864864865,0.108108108108108,0.027027027027027
0.837837837837838,0.135135135135135,0.027027027027027
0.810810810810811,0.162162162162162,0.027027027027027
0.783783783783784,0.189189189189189,0.027027027027027
0.756756756756757,0.216216216216216,0.027027027027027
0.72972972972973,0.243243243243243,0.027027027027027
0.702702702702703,0.27027027027027,0.027027027027027
0.675675675675676,0.297297297297297,0.027027027027027
0.648648648648649,0.324324324324324,0.027027027027027
0.621621621621622,0.351351351351351,0.027027027027027
0.594594594594595,0.378378378378378,0.027027027027027
0.567567567567568,0.405405405405405,0.027027027027027
0.540540540540541,0.432432432432432,0.027027027027027
0.513513513513513,0.459459459459459,0.027027027027027
0.486486486486487,0.486486486486487,0.027027027027027
0.459459459459459,0.513513513513513,0.027027027027027
0.432432432432432,0.540540540540541,0.027027027027027
0.405405405405405,0.567567567567568,0.027027027027027
0.918918918918919,0.027027027027027,0.0540540540540541
0.891891891891892,0.0540540540540541,0.0540540540540541
0.864864864864865,0.0810810810810811,0.0540540540540541
0.837837837837838,0.108108108108108,0.0540540540540541
0.810810810810811,0.135135135135135,0.0540540540540541
0.783783783783784,0.162162162162162,0.0540540540540541
0.756756756756757,0.189189189189189,0.0540540540540541
0.72972972972973,0.216216216216216,0.0540540540540541
0.702702702702703,0.243243243243243,0.0540540540540541
0.675675675675676,0.27027027027027,0.0540540540540541
0.648648648648649,0.297297297297297,0.0540540540540541
0.621621621621622,0.324324324324324,0.0540540540540541
0.594594594594595,0.351351351351351,0.0540540540540541
0.567567567567568,0.378378378378378,0.0540540540540541
0.540540540540541,0.405405405405405,0.0540540540540541
0.513513513513513,0.432432432432432,0.0540540540540541
0.486486486486487,0.459459459459459,0.0540540540540541
0.459459459459459,0.486486486486487,0.0540540540540541
0.432432432432432,0.513513513513513,0.0540540540540541
0.405405405405405,0.540540540540541,0.0540540540540541
0.378378378378378,0.567567567567568,0.0540540540540541
0.891891891891892,0.027027027027027,0.0810810810810811
0.864864864864865,0.0540540540540541,0.0810810810810811
0.837837837837838,0.0810810810810811,0.0810810810810811
0.810810810810811,0.108108108108108,0.0810810810810811
0.783783783783784,0.135135135135135,0.0810810810810811
0.756756756756757,0.162162162162162,0.0810810810810811
0.72972972972973,0.189189189189189,0.0810810810810811
0.702702702702703,0.216216216216216,0.0810810810810811
0.675675675675676,0.243243243243243,0.0810810810810811
