"method","metric","emmean","SE","df","asymp.LCL","asymp.UCL"
"i","rmse",0.0523252393570518,0.000832499089946962,Inf,0.0506935711235934,0.0539569075905102
"ii","rmse",0.0390791730536305,0.000832499089946962,Inf,0.0374475048201721,0.0407108412870889
"iii","rmse",0.0424642102978372,0.000832499089946962,Inf,0.0408325420643788,0.0440958785312956
"iv","rmse",0.0446863323876286,0.000832499089946962,Inf,0.0430546641541702,0.046318000621087
"v","rmse",0.0444047004839359,0.000832499089946962,Inf,0.0427730322504775,0.0460363687173943
"i","L1_norm",0.248569978812553,0.000832499089946962,Inf,0.246938310579095,0.250201647046012
"ii","L1_norm",0.254583992253194,0.000832499089946962,Inf,0.252952324019736,0.256215660486653
"iii","L1_norm",0.234755442632577,0.000832499089946962,Inf,0.233123774399119,0.236387110866036
"iv","L1_norm",0.240424483162623,0.000832499089946962,Inf,0.238792814929164,0.242056151396081
"v","L1_norm",0.233612582707055,0.000832499089946962,Inf,0.231980914473596,0.235244250940513
"i","Linf_norm",0.098853374423138,0.000832499089946962,Inf,0.0972217061896796,0.100485042656596
"ii","Linf_norm",0.0894958979649041,0.000832499089946962,Inf,0.0878642297314457,0.0911275661983625
"iii","Linf_norm",0.0864976368532678,0.000832499089946962,Inf,0.0848659686198094,0.0881293050867263
"iv","Linf_norm",0.0890344705610457,0.000832499089946962,Inf,0.0874028023275873,0.0906661387945041
"v","Linf_norm",0.0874664883650548,0.000832499089946962,Inf,0.0858348201315964,0.0890981565985132
