"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","factor5","level5_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","N_range_label","p_lbound","p_ubound"
36,"faces_ex36.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",1,"G",1,3,8,0.1,0.5,0.6,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
37,"faces_ex37.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",-1,"G",-1,3,2,0.1,1,0,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
38,"faces_ex38.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",-1,"G",0,3,4,0.1,1,0,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
39,"faces_ex39.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",-1,"G",1,3,8,0.1,1,0,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
40,"faces_ex40.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",0,"G",-1,3,2,0.1,1,0.2,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
41,"faces_ex41.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",0,"G",0,3,4,0.1,1,0.2,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
42,"faces_ex42.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",0,"G",1,3,8,0.1,1,0.2,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
43,"faces_ex43.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",1,"G",-1,3,2,0.1,1,0.6,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
44,"faces_ex44.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",1,"G",0,3,4,0.1,1,0.6,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
45,"faces_ex45.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",1,"G",1,3,8,0.1,1,0.6,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
46,"faces_ex46.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",-1,"G",-1,3,2,0.1,2,0,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
47,"faces_ex47.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",-1,"G",0,3,4,0.1,2,0,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
48,"faces_ex48.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",-1,"G",1,3,8,0.1,2,0,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
49,"faces_ex49.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",0,"G",-1,3,2,0.1,2,0.2,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
50,"faces_ex50.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",0,"G",0,3,4,0.1,2,0.2,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
51,"faces_ex51.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",0,"G",1,3,8,0.1,2,0.2,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
