"Block","Type","Definition"
"All blocks","Fixed baseline and common fifth factor","K=3, h=0.100000000000000, nsims=5, random.seed=1078526260, od_mult=1, p_lbound=(0,0,0), p_ubound=(1,1,1); common G factor: 2/4/8; Fixed distribution-specific spread parameters: Lognormal ln_sd=1; Negative binomial nb_size=25; Log-uniform Nmin=50, Nmax=100"
"Poisson","Factors","mean_nsamp: 25/50/100; sigma: 0.250000000000000/0.500000000000000/1; theta_true: 0.500000000000000/1/2; theta_CV: 0/0.200000000000000/0.600000000000000; G: 2/4/8"
"Lognormal","Factors","mean_nsamp: 25/50/100; sigma: 0.250000000000000/0.500000000000000/1; theta_true: 0.500000000000000/1/2; theta_CV: 0/0.200000000000000/0.600000000000000; G: 2/4/8; fixed ln_sd: 1"
"Negative binomial","Factors","mean_nsamp: 25/50/100; sigma: 0.250000000000000/0.500000000000000/1; theta_true: 0.500000000000000/1/2; theta_CV: 0/0.200000000000000/0.600000000000000; G: 2/4/8; fixed nb_size: 25"
"Log-uniform","Factors","mean_nsamp: 25/50/100; sigma: 0.250000000000000/0.500000000000000/1; theta_true: 0.500000000000000/1/2; theta_CV: 0/0.200000000000000/0.600000000000000; G: 2/4/8; fixed (Nmin,Nmax): (50,100)"
