fleet,window,start_age,end_age,MAD,IQR,SD,VAR,n_years
1,3,1,3,20.413165,48.313325,111.8640073,12513.55612,50
1,3,2,4,25.85971052,45.6158,102.4805228,10502.25755,50
1,3,3,5,26.03003833,42.40184375,104.3086042,10880.28492,50
1,3,4,6,26.69675333,52.99427755,99.91430473,9982.86829,50
1,3,5,7,22.60502333,42.31596588,79.1637505,6266.899393,50
1,3,6,8,23.88416667,46.69244167,59.69133307,3563.055243,50
1,3,7,9,10.725995,20.0738475,59.89907314,3587.898963,50
1,3,8,10,14.14398583,26.15238088,33.77719595,1140.898966,50
1,3,9,11,8.108516481,14.46798333,27.88418705,777.5278873,50
1,3,10,12,5.529742409,10.71535923,14.07229123,198.0293804,50
1,3,11,13,3.855431667,7.35978,9.503546078,90.31738806,50
1,3,12,14,3.193704283,6.681271575,8.329174625,69.37514993,50
1,3,13,15,2.399981667,4.7255875,4.077008522,16.62199849,50
2,3,1,3,6.874933333,13.19166667,11.30460145,127.7940139,15
2,3,2,4,10.23415,19.554371,13.0841177,171.194136,15
2,3,3,5,7.104875583,21.85327158,13.41775465,180.0361399,15
2,3,4,6,14.18466667,26.46207067,16.34658582,267.2108681,15
2,3,5,7,6.963633333,15.67802067,12.26889834,150.5258664,15
2,3,6,8,4.2733,11.87318333,6.479196024,41.97998111,15
2,3,7,9,3.549116667,6.462107667,7.117825908,50.66344565,15
2,3,8,10,3.1922,4.285244667,6.208436859,38.54468823,15
2,3,9,11,2.127907083,3.363773042,2.977853886,8.867613765,15
2,3,10,12,1.439133333,3.21625925,2.728192785,7.443035874,15
2,3,11,13,0.579833333,1.0624,2.033845425,4.136527212,15
2,3,12,14,0.266898333,0.41095,2.567106556,6.590036068,15
2,3,13,15,0.3885,0.615966667,2.332672751,5.441362162,15
