"mesh_id","sim_id","p1","p2","p3","rmse_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3"
1,1,0.91304347826087,0.0434782608695652,0.0434782608695652,0.108502664605637,0.761236383565654,0.13875180666667,0.100011809767676,0.153374833830297,0.696846999352459,0.136408396968012,0.166744603679529,0.102595289037961,0.768925435352185,0.130069394362501,0.101005170285314,0.103242990443005,0.767857142857143,0.129464285714286,0.102678571428571,0.104357953699554,0.767670586589512,0.138208198394817,0.0941212150156705,98,67,13,18,126,105,16,5
1,2,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0170795862654345,0.934164258591853,0.0430669041139784,0.0227688372941681,0.0358196153586105,0.963527703402702,0.0146202769610852,0.0218520196362133,0.0233802451376225,0.925415077876879,0.0638473370026914,0.0107375851204298,0.0234809445594488,0.923913043478261,0.0652173913043478,0.0108695652173913,0.0154937023408171,0.926381345673833,0.0518644986331931,0.0217541556929734,69,67,0,2,115,103,12,0
1,3,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0169262248675928,0.936609948494392,0.0280602296165881,0.0353298218890199,0.0381769371247434,0.868417610664379,0.0394735817767206,0.0921088075589007,0.033330269688492,0.959292805931471,0.012472601933745,0.0282345921347841,0.0315529580537352,0.956521739130435,0.0130434782608696,0.0304347826086957,0.0305662392720555,0.956220562170876,0.0200877634139896,0.0236916744151347,155,155,0,0,75,65,3,7
1,4,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0148376325455465,0.893447181347525,0.0597742451042502,0.0467785735482249,0.0499520677055798,0.865433882735986,0.022085620512552,0.112480496751462,0.0276853879859729,0.883852858329765,0.0354759638173579,0.0806711778528776,0.0289013442376925,0.882051282051282,0.0358974358974359,0.0820512820512821,0.0200665276411808,0.885267790912801,0.0523280799686124,0.0624041291185865,132,114,2,16,63,58,5,0
1,5,0.91304347826087,0.0434782608695652,0.0434782608695652,0.100603711086754,0.770808896062462,0.111653996806253,0.117537107131285,0.118300421042198,0.761131431098662,0.0587339395308703,0.180134629370468,0.10156370542003,0.769410868654114,0.11548025663879,0.115108874707096,0.10312990551467,0.767195767195767,0.116402116402116,0.116402116402116,0.10026129608029,0.771256920045239,0.115330794674316,0.113412285280445,102,79,18,5,87,66,4,17
1,6,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0254414430971513,0.888430082664979,0.0785123894116252,0.0330575279233955,0.0254418855983667,0.888429025975792,0.0785128024767556,0.0330581715474526,0.025695137748497,0.887978182066949,0.0787959556178851,0.0332258623151657,0.0254415089111288,0.888429752066116,0.0785123966942149,0.0330578512396694,0.0254427726452349,0.888427889173278,0.0785139369736562,0.0330581738530657,139,121,12,6,103,94,7,2
1,7,0.91304347826087,0.0434782608695652,0.0434782608695652,0.03082087923684,0.950550659272773,0.00549452671352532,0.0439548140137013,0.0308202504468565,0.950548082859541,0.00549355799636892,0.0439583591440904,0.030415914519315,0.949807685161026,0.00575742420551263,0.0444348906334611,0.0308204039903325,0.950549450549451,0.00549450549450549,0.043956043956044,0.0308201850255065,0.950549005490291,0.00549460341338134,0.0439563910963272,98,94,0,4,84,79,1,4
1,8,0.91304347826087,0.0434782608695652,0.0434782608695652,0.00921193745395679,0.902777432998713,0.0416653549457319,0.055557212055555,0.00922860337626681,0.90273622795602,0.0416985517750674,0.0555652202689126,0.00965791132444705,0.902343011464235,0.0414774477793263,0.0561795407564388,0.00921099934673713,0.902777777777778,0.0416666666666667,0.0555555555555556,0.00921062494880038,0.90277851763882,0.0416662213633511,0.0555552609978289,73,64,5,4,71,66,1,4
1,9,0.91304347826087,0.0434782608695652,0.0434782608695652,0.00749819802850288,0.904694748700219,0.0419906033473647,0.0533146479524167,0.0415368106483092,0.855234660267154,0.0814140252396391,0.0633513144932071,0.00163184533122521,0.910922153101238,0.043751926973595,0.0453259199251665,0.00221576743027508,0.90990990990991,0.045045045045045,0.045045045045045,0.00584458795310097,0.909501711984074,0.0387814758622771,0.0517168121536485,97,82,9,6,125,120,1,4
1,10,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0114212403043601,0.908586011224657,0.0322620943935951,0.059151894381748,0.00996038579721615,0.90351439230474,0.0392588560252865,0.0572267516699739,0.0117168366289725,0.908524705378295,0.0319314201067307,0.0595438745149742,0.0114149249458621,0.908602150537634,0.032258064516129,0.0591397849462366,0.0114202339321014,0.908597969807172,0.0322544279629825,0.0591476022298452,84,75,5,4,102,94,1,7
