"variant","dispersion","effective_sample_size","max_loglik","min_loglik","boundary_gradient_ratio","mean_gradient_norm","mean_abs_derivative_step"
"linear",1,112934.5,-170.279239273746,-89992.027857417,1.55621672679117,403005.856627022,40005.0237057158
"saturated",1,1.99999114530989,-25.4348472408019,-30.2246342112776,2.22570755699165,39.0639510336815,5.38632836890525
