"p1","p2","p3","loglik","delta_loglik","relative_likelihood","gradient_norm","max_abs_gradient","boundary_distance","l1_distance_from_observed","l2_distance_from_observed"
0.91304347826087,0.0434782608695652,0.0434782608695652,-88200.430933572,-88030.1516942983,0,692500.589081248,489138.216293234,0.0434782608695652,1.15509327879847,0.707363374847658
0.869565217391304,0.0869565217391304,0.0434782608695652,-73322.3523027116,-73152.0730634378,0,606839.170218673,485081.977556928,0.0434782608695652,1.06813675705934,0.65461296276806
0.826086956521739,0.130434782608696,0.0434782608695652,-62707.5432943439,-62537.2640550701,0,569177.980390265,485081.977556928,0.0434782608695652,0.981180235320206,0.603518644819739
0.782608695652174,0.173913043478261,0.0434782608695652,-54661.697406835,-54491.4181675613,0,548405.775631267,485081.977556928,0.0434782608695652,0.894223713581076,0.554538380041543
0.739130434782609,0.217391304347826,0.0434782608695652,-48422.1145137353,-48251.8352744615,0,535654.38474785,485081.977556928,0.0434782608695652,0.807267191841945,0.508283692347208
0.695652173913043,0.260869565217391,0.0434782608695652,-43567.6243881872,-43397.3451489134,0,527355.116727576,485081.977556928,0.0434782608695652,0.720310670102815,0.465567659471844
0.652173913043478,0.304347826086957,0.0434782608695652,-39841.0735007604,-39670.7942614866,0,521800.365057552,485081.977556928,0.0434782608695652,0.633354148363685,0.42745247204694
0.608695652173913,0.347826086956522,0.0434782608695652,-37077.2987678651,-36907.0195285913,0,518085.675218034,485081.977556928,0.0434782608695652,0.570799335664309,0.395271328134176
0.565217391304348,0.391304347826087,0.0434782608695652,-35168.8238887442,-34998.5446494705,0,515704.770099803,485081.977556928,0.0434782608695652,0.570799335664309,0.370573429300914
0.521739130434783,0.434782608695652,0.0434782608695652,-34047.9845787798,-33877.705339506,0,514372.67338472,485081.977556928,0.0434782608695652,0.570799335664309,0.354924424118278
0.478260869565217,0.478260869565217,0.0434782608695652,-33677.338230268,-33507.0589909942,0,513943.01688422,485081.977556928,0.0434782608695652,0.570799335664309,0.349541791264666
0.434782608695652,0.521739130434783,0.0434782608695652,-34044.8829796409,-33874.6037403671,0,514370.594750208,485081.977556928,0.0434782608695652,0.570799335664309,0.354892966284623
0.391304347826087,0.565217391304348,0.0434782608695652,-35162.6028492408,-34992.323609967,0,515700.520544864,485081.977556928,0.0434782608695652,0.570799335664309,0.37051316828023
0.347826086956522,0.608695652173913,0.0434782608695652,-37067.921982004,-36897.6427427302,0,518079.059618814,485081.977556928,0.0434782608695652,0.570799335664309,0.395186582379485
0.304347826086957,0.652173913043478,0.0434782608695652,-39828.4848951771,-39658.2056559033,0,521791.061996752,485081.977556928,0.0434782608695652,0.633097361213668,0.427347983017901
0.260869565217391,0.695652173913043,0.0434782608695652,-43551.7460200227,-43381.4667807489,0,527342.636530733,485081.977556928,0.0434782608695652,0.720053882952798,0.465447740309401
0.217391304347826,0.739130434782609,0.0434782608695652,-48402.8434619539,-48232.5642226802,0,535637.997777765,485081.977556928,0.0434782608695652,0.807010404691929,0.508151882808432
0.173913043478261,0.782608695652174,0.0434782608695652,-54638.9013231782,-54468.6220839045,0,548384.38836281,485081.977556928,0.0434782608695652,0.893966926431059,0.554397429392804
0.130434782608696,0.826086956521739,0.0434782608695652,-62681.0540811148,-62510.7748418411,0,569149.911205669,485081.977556928,0.0434782608695652,0.98092344817019,0.603370632452319
0.0869565217391304,0.869565217391304,0.0434782608695652,-73291.9570541718,-73121.6778148981,0,606801.706560563,485081.977556928,0.0434782608695652,1.06787996990932,0.654459446541527
0.0434782608695652,0.91304347826087,0.0434782608695652,-88165.8586994264,-87995.5794601527,0,692448.92094413,489061.706628111,0.0434782608695652,1.15483649164845,0.70720552239214
