"mesh_id","sim_id","p1","p2","p3","rmse_i","L1_norm_i","Linf_norm_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","L1_norm_ii","Linf_norm_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","L1_norm_iii","Linf_norm_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","L1_norm_iv","Linf_norm_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","L1_norm_v","Linf_norm_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3","N3","X3_1","X3_2","X3_3","N4","X4_1","X4_2","X4_3","N5","X5_1","X5_2","X5_3","N6","X6_1","X6_2","X6_3","N7","X7_1","X7_2","X7_3","N8","X8_1","X8_2","X8_3"
1,1,0.91304347826087,0.0434782608695652,0.0434782608695652,0.00245416278157426,0.00688252968178472,0.00344126484089236,0.909602213419977,0.0448081956334724,0.0455895909465504,0.0462223002633258,0.127856624455461,0.0639283122277307,0.849115166033139,0.0636259143606188,0.0872589196062423,0.0094879856611077,0.0267726384186592,0.0133863192093295,0.89965715905154,0.0493728897124377,0.0509699512360223,0.0031211952380779,0.00882807327300816,0.00441403663650408,0.908629441624365,0.0456852791878173,0.0456852791878173,0.00309770371673096,0.00855823682411307,0.00427911841205653,0.908764359848813,0.0448051013747675,0.0464305387764195,24,19,2,3,22,18,4,0,26,22,1,3,25,25,0,0,30,26,2,2,18,18,0,0,31,30,0,1,21,21,0,0
1,2,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0205239260351673,0.0518938258906586,0.0259469129453293,0.937282616750223,0.017531347924236,0.0451860353255407,0.0116861997312901,0.0328177960895446,0.0164088980447723,0.922954369475833,0.0270693628247929,0.0499762676993742,0.0173928120717738,0.0457999669112522,0.0228999834556261,0.932268940131709,0.0205782774139391,0.0471527824543516,0.021781832030153,0.0560286866875841,0.028014343343792,0.938144329896907,0.0154639175257732,0.0463917525773196,0.0206640879022958,0.0507678034245938,0.0253839017122969,0.938427379973166,0.0182463760564117,0.0433262439704219,23,22,1,0,24,24,0,0,34,31,2,1,28,28,0,0,21,18,0,3,20,16,0,4,15,15,0,0,29,28,0,1
1,3,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0178518834807125,0.0501064245823763,0.0250532122911881,0.928269534560273,0.0184250485783772,0.0533054168613501,0.0202984339704357,0.0511215706938463,0.0255607853469231,0.937138654264762,0.0179174755226421,0.044943870212596,0.0144490655650305,0.0361840942706626,0.0180920471353313,0.913863225854953,0.0253862137342339,0.0607505604108131,0.0205467125705405,0.0581103678929767,0.0290551839464883,0.927884615384615,0.0144230769230769,0.0576923076923077,0.0177515476937134,0.0499252525365599,0.0249626262682799,0.927832741920022,0.0185156346012853,0.0536516234786924,25,24,1,0,29,26,1,2,30,28,0,2,22,21,0,1,26,20,0,6,26,26,0,0,27,26,1,0,23,22,0,1
1,4,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0495171203227716,0.121481690143093,0.0607408450715464,0.852302633189323,0.0436687213015591,0.104028645509118,0.0843827673901643,0.207809831667462,0.103904915833731,0.809138562427138,0.0446025425667117,0.14625889500615,0.0458697778567356,0.115381601737926,0.057690800868963,0.858509882049677,0.0403210562117951,0.101169061738528,0.055210823972856,0.147189819724284,0.0735949098621421,0.853658536585366,0.0292682926829268,0.117073170731707,0.0476897187176844,0.117489779893938,0.0587448899469689,0.854978833373529,0.0427980158099367,0.102223150816534,36,35,1,0,23,21,0,2,23,19,0,4,25,18,1,6,25,25,0,0,18,16,2,0,26,17,0,9,29,24,2,3
1,5,0.91304347826087,0.0434782608695652,0.0434782608695652,0.01721192247777,0.0457267266872379,0.0228633633436189,0.917241531829549,0.0206148975259463,0.0621435706445048,0.0157503463345357,0.044446784113621,0.0222233920568106,0.900627654706607,0.0336706923670178,0.0657016529263758,0.0172876474421865,0.0464444330221444,0.0232222165110722,0.918033361073735,0.020256044358493,0.061710594567772,0.0146222625500119,0.0412944212825094,0.0206472106412547,0.922374429223744,0.0228310502283105,0.0547945205479452,0.0172656619284338,0.0483580854343911,0.0241790427171955,0.922185959969161,0.0192992181523697,0.0585148218784692,31,28,2,1,24,24,0,0,24,18,0,6,25,23,0,2,21,21,0,0,20,16,3,1,30,29,0,1,44,43,0,1
2,1,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0194186222727189,0.0548445329450415,0.0274222664725208,0.896987483863825,0.0719652273456905,0.0310472887904845,0.0136232964939243,0.0353452450849896,0.0176726225424948,0.85189259484881,0.102437388706204,0.0456700164449867,0.0100560742050631,0.0284192845600513,0.0142096422800256,0.88377485967133,0.0803531907105703,0.0358719496180997,0.020141773137023,0.0565684899485741,0.0282842449742871,0.897849462365591,0.0698924731182796,0.032258064516129,0.0199864670961734,0.0563670877949409,0.0281835438974705,0.897748761288775,0.0710062045221409,0.0312450341890842,21,20,1,0,22,20,1,1,23,23,0,0,22,16,4,2,27,23,1,3,28,28,0,0,26,22,4,0,17,15,2,0
2,2,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0424073295585729,0.119937993590972,0.0599689967954862,0.809596220595818,0.11633938242085,0.0740643969833321,0.150222491451947,0.424857915490344,0.212428957745172,0.657136259646132,0.190794271657768,0.1520694686961,0.042183894005789,0.119269061612554,0.059634530806277,0.809930686585027,0.118192738118824,0.0718765752961488,0.0552228335069945,0.155315405880875,0.0776577029404373,0.791907514450867,0.132947976878613,0.0751445086705202,0.0520368033630941,0.147174569764271,0.0735872848821354,0.795977932509169,0.124403604407433,0.0796184630833983,21,21,0,0,22,21,1,0,21,19,0,2,26,16,5,5,17,16,0,1,24,15,9,0,15,13,2,0,27,16,6,5
2,3,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0271704397724828,0.0698814026100987,0.0349407013050493,0.834624516086255,0.118272801048797,0.0471026828649479,0.0699938085443063,0.180841201972689,0.0904206009863445,0.77914461640496,0.167049282577822,0.0538061010172185,0.0422015992186673,0.115325875040426,0.0576629375202129,0.811902279871091,0.12911847032273,0.0589792498061789,0.0295557933560138,0.0759725400457665,0.0379862700228832,0.831578947368421,0.121052631578947,0.0473684210526316,0.0293410238841814,0.0765116660937017,0.0382558330468509,0.831309384344453,0.120002482387962,0.0486881332675843,25,20,4,1,22,21,1,0,24,20,3,1,21,21,0,0,29,23,2,4,25,19,5,1,27,18,7,2,17,16,1,0
2,4,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0171065904785054,0.0442934752833843,0.0221467376416922,0.891711955032996,0.0843149181884682,0.0239731267785353,0.0235812325075364,0.0666966995407792,0.0333483497703896,0.852725315153045,0.12030487150952,0.0269698133374354,0.00621981990338124,0.017473364195934,0.00873668209796696,0.874817882410925,0.0904405388174769,0.0347415787715983,0.0185155515864026,0.0473525613430909,0.0236762806715454,0.891089108910891,0.0891089108910891,0.0198019801980198,0.0165678244290145,0.0427269934558329,0.0213634967279165,0.890928714119221,0.0846078379454971,0.0244634479352821,27,24,2,1,26,24,1,1,23,22,1,0,20,17,3,0,21,21,0,0,32,31,0,1,33,25,7,1,20,16,4,0
2,5,0.869565217391304,0.0869565217391304,0.0434782608695652,0.055143960517669,0.145159589690335,0.0725797948451673,0.942145012236472,0.025960054187603,0.0318949335759254,0.0103538749429378,0.0291243481447709,0.0145621740723855,0.88412739146369,0.0783482556588173,0.0375243528774929,0.0561296295205274,0.14946073696295,0.074730368481475,0.944295585872779,0.0264109150446341,0.0292934990825867,0.0522668988253541,0.14264296423217,0.0713214821160848,0.940886699507389,0.0344827586206897,0.0246305418719212,0.0546342423614787,0.144566435353395,0.0722832176766975,0.941848435068002,0.0271780140063295,0.0309735509256686,29,24,4,1,31,28,3,0,26,26,0,0,29,29,0,0,19,19,0,0,23,22,0,1,19,16,0,3,27,27,0,0
3,1,0.826086956521739,0.130434782608696,0.0434782608695652,0.03993864492594,0.110805661973275,0.0554028309866377,0.844273237923516,0.075031951622058,0.0806948104544258,0.0471774238571577,0.126027668418724,0.0630138342093623,0.813567048301375,0.0799408566196977,0.106492095078927,0.0433435819187778,0.122128038505566,0.0610640192527829,0.851994216982336,0.0693707633559127,0.0786350196617513,0.0353007470753251,0.0997321244590975,0.0498660622295487,0.853080568720379,0.0805687203791469,0.0663507109004739,0.0433071171375461,0.1219960195042,0.0609980097521002,0.851822381141329,0.0694367728565955,0.0787408460020752,41,39,2,0,17,17,0,0,17,14,2,1,30,24,1,5,26,23,0,3,25,20,3,2,33,31,0,2,22,12,9,1
3,2,0.826086956521739,0.130434782608696,0.0434782608695652,0.00937415125681695,0.0235860256417975,0.0117930128208987,0.814945862030886,0.142227795429594,0.0428263425395196,0.123011800304832,0.34754254342321,0.173771271711605,0.652315684810134,0.210213142815372,0.137471172374493,0.0271706571140475,0.0747787310400165,0.0373893655200083,0.863476322041747,0.104065894904717,0.0324577830535357,0.0272966085617533,0.0689503732981994,0.0344751866490997,0.828282828282828,0.095959595959596,0.0757575757575758,0.00353724820405562,0.00982597309644498,0.0049129865482225,0.824446005808369,0.135347769156918,0.0402062250347125,22,13,4,5,23,9,4,10,18,17,1,0,30,28,2,0,30,30,0,0,22,20,2,0,24,18,6,0,29,29,0,0
3,3,0.826086956521739,0.130434782608696,0.0434782608695652,0.0104285457115259,0.0285329148289319,0.014266457414466,0.829982440162263,0.140805756382638,0.0292118034550992,0.0335537859236704,0.0940577268152595,0.0470288634076297,0.797095360436866,0.177463646016325,0.0254409935468082,0.0103231627620217,0.0268527662485514,0.0134263831242757,0.824338713223875,0.143861165732971,0.0318001210431539,0.00813539901972481,0.0224403927068723,0.0112201963534362,0.829493087557604,0.138248847926267,0.032258064516129,0.0103435824962469,0.0289610266653876,0.0144805133326938,0.831532610585487,0.139469641877641,0.0289977475368715,26,20,5,1,21,17,4,0,33,32,1,0,32,25,5,2,26,23,3,0,25,21,0,4,25,20,5,0,29,22,7,0
3,4,0.826086956521739,0.130434782608696,0.0434782608695652,0.0348256657756219,0.0893060781268186,0.0446530390634092,0.78143391745833,0.170756303442824,0.0478097790988464,0.0806650525833818,0.19790409853653,0.098952049268265,0.727134907253474,0.22907019110418,0.0437949016423454,0.034576174736235,0.087956782110608,0.043978391055304,0.782108565466435,0.170935964232552,0.0469554703010133,0.0423794184991963,0.107289638762708,0.0536448193813541,0.776119402985075,0.18407960199005,0.0398009950248756,0.0371582745999532,0.0963824644882177,0.0481912322441089,0.77789572427763,0.172677296756695,0.0494269789656744,27,22,2,3,26,23,3,0,29,25,1,3,18,15,3,0,21,21,0,0,28,20,7,1,26,14,12,0,26,16,9,1
3,5,0.826086956521739,0.130434782608696,0.0434782608695652,0.0578276926824027,0.14200136575278,0.0710006828763901,0.755086273645349,0.201081110087552,0.0438326162670991,0.112423884428791,0.309097000986732,0.154548500493366,0.671538456028373,0.240031864283431,0.0884296796881958,0.059655817396477,0.150012669397413,0.0750063346987064,0.751080621823033,0.201385851837867,0.0475335263391004,0.0552575318071818,0.144784750481902,0.072392375240951,0.753694581280788,0.192118226600985,0.0541871921182266,0.057837377504141,0.145154657041696,0.0725773285208479,0.753509628000891,0.199390584690139,0.0470997873089697,37,23,9,5,14,7,7,0,26,25,1,0,30,19,8,3,20,18,2,0,27,22,5,0,25,22,3,0,24,17,4,3
