"method","metric","emmean","SE","df","asymp.LCL","asymp.UCL"
"i","rmse",0.00873193996662174,0.000920704998296204,Inf,0.00692739132957516,0.0105364886036683
"ii","rmse",0.000757054616953848,0.000920704998296204,Inf,-0.00104749402009272,0.00256160325400042
"iii","rmse",-0.00949821044637518,0.000920704998296204,Inf,-0.0113027590834218,-0.00769366180932861
"iv","rmse",-0.00939283690243976,0.000920704998296204,Inf,-0.0111973855394863,-0.00758828826539319
"v","rmse",-0.0072914754145631,0.000920704998296204,Inf,-0.00909602405160967,-0.00548692677751653
"i","L1_norm",0.123374284826901,0.000920704998296204,Inf,0.121569736189855,0.125178833463948
"ii","L1_norm",0.132286415026867,0.000920704998296204,Inf,0.13048186638982,0.134090963663913
"iii","L1_norm",0.0998897337897949,0.000920704998296204,Inf,0.0980851851527484,0.101694282426842
"iv","L1_norm",0.10077200969084,0.000920704998296204,Inf,0.0989674610537936,0.102576558327887
"v","L1_norm",0.101770464741168,0.000920704998296204,Inf,0.099965916104121,0.103575013378214
"i","Linf_norm",0.0339556987826426,0.000920704998296204,Inf,0.032151150145596,0.0357602474196892
"ii","Linf_norm",0.0296940775894052,0.000920704998296204,Inf,0.0278895289523586,0.0314986262264517
"iii","Linf_norm",0.0142608396120118,0.000920704998296204,Inf,0.0124562909749653,0.0160653882490584
"iv","Linf_norm",0.0145775793062427,0.000920704998296204,Inf,0.0127730306691961,0.0163821279432892
"v","Linf_norm",0.0164420964922312,0.000920704998296204,Inf,0.0146375478551846,0.0182466451292778
