comparison,term,rows_analyzed,residual_response_rank,manova_responses,dropped_responses,Df,Pillai,approx F,num Df,den Df,Pr(>F)
ii_vs_i,design_block,48114,2,rmse;L1,Linf,2,0.000681016946560506,8.19184792178264,4,96198,1.33618187385087e-06
ii_vs_i,G,48114,2,rmse;L1,Linf,2,0.010661740118685,128.891865277659,4,96198,5.69522416215863e-110
ii_vs_i,theta_true,48114,2,rmse;L1,Linf,2,0.00455136580114247,54.8538659219968,4,96198,2.83132060034435e-46
ii_vs_i,theta_CV,48114,2,rmse;L1,Linf,2,0.000122044678908251,1.46764631191344,4,96198,0.209032959967641
ii_vs_i,sigma,48114,2,rmse;L1,Linf,2,0.095888967438021,1211.10674901025,4,96198,0
ii_vs_i,mean_nsamp,48114,2,rmse;L1,Linf,2,0.00132938031766612,15.9960984240579,4,96198,4.25319510474117e-13
ii_vs_i,p1,48114,2,rmse;L1,Linf,1,3.46237761023835e-05,0.832696022566868,2,48098,0.434881539982035
ii_vs_i,p2,48114,2,rmse;L1,Linf,1,4.99280121450801e-05,1.20077871657138,2,48098,0.300968780215968
ii_vs_i,Residuals,48114,2,rmse;L1,Linf,48099,,,,,
iii_vs_i,design_block,48114,2,rmse;L1,Linf,2,0.0186470645114054,226.336545062053,4,96198,9.519034604317e-194
iii_vs_i,G,48114,2,rmse;L1,Linf,2,0.0155280447977449,188.181905208787,4,96198,5.71257671685768e-161
iii_vs_i,theta_true,48114,2,rmse;L1,Linf,2,0.00197005396694978,23.7127641516215,4,96198,1.25359549289249e-19
iii_vs_i,theta_CV,48114,2,rmse;L1,Linf,2,0.000185284596194914,2.22820737434659,4,96198,0.063323925707523
iii_vs_i,sigma,48114,2,rmse;L1,Linf,2,0.0939771115976025,1185.76883788679,4,96198,0
iii_vs_i,mean_nsamp,48114,2,rmse;L1,Linf,2,0.0210539136154334,255.861490607567,4,96198,4.37222494497068e-219
iii_vs_i,p1,48114,2,rmse;L1,Linf,1,4.82776224479276e-06,0.116103414744703,2,48098,0.890383389330143
iii_vs_i,p2,48114,2,rmse;L1,Linf,1,4.95911390348009e-05,1.19267644883153,2,48098,0.303417093071711
iii_vs_i,Residuals,48114,2,rmse;L1,Linf,48099,,,,,
iv_vs_i,design_block,48114,2,rmse;L1,Linf,2,0.0205271202752824,249.393151134789,4,96198,1.54754717173416e-213
iv_vs_i,G,48114,2,rmse;L1,Linf,2,0.0179322502697386,217.581691100503,4,96198,3.13678281668476e-186
iv_vs_i,theta_true,48114,2,rmse;L1,Linf,2,0.00311850528618236,37.5578085522752,4,96198,1.92288538288147e-31
iv_vs_i,theta_CV,48114,2,rmse;L1,Linf,2,0.000111560431840811,1.34156113534759,4,96198,0.251747862653066
iv_vs_i,sigma,48114,2,rmse;L1,Linf,2,0.0847749643554276,1064.52007848764,4,96198,0
iv_vs_i,mean_nsamp,48114,2,rmse;L1,Linf,2,0.0265060247319089,323.009165357826,4,96198,1.28928894823264e-276
iv_vs_i,p1,48114,2,rmse;L1,Linf,1,2.25077231028452e-06,0.0541289451219634,2,48098,0.947310005335683
iv_vs_i,p2,48114,2,rmse;L1,Linf,1,4.59602271772325e-05,1.10534830544449,2,48098,0.331103950180068
iv_vs_i,Residuals,48114,2,rmse;L1,Linf,48099,,,,,
