"method","metric_1","metric_2","n_complete","spearman_rho","spearman_S","p_value","p_value_holm","significant_at_0.05","significant_holm_at_0.05"
"(i)","RMSE","L1",729,0.999740227425081,16773.5047716128,0,0,TRUE,TRUE
"(i)","RMSE","Linf",729,0.999748336789822,16249.8834146363,0,0,TRUE,TRUE
"(i)","L1","Linf",729,0.999944561844547,3579.63948009208,0,0,TRUE,TRUE
"(ii)","RMSE","L1",729,0.999940559651775,3838.0609072545,0,0,TRUE,TRUE
"(ii)","RMSE","Linf",729,0.99993002053796,4518.57106471662,0,0,TRUE,TRUE
"(ii)","L1","Linf",729,0.999979200411005,1343.02862942586,0,0,TRUE,TRUE
"(iii)","RMSE","L1",729,0.99995329790747,3015.5522465923,0,0,TRUE,TRUE
"(iii)","RMSE","Linf",729,0.999950928266756,3168.55985270861,0,0,TRUE,TRUE
"(iii)","L1","Linf",729,0.99997345440142,1714.04823849792,0,0,TRUE,TRUE
"(iv)","RMSE","L1",729,0.999951400717663,3138.05371650891,0,0,TRUE,TRUE
"(iv)","RMSE","Linf",729,0.999950308770351,3208.56071076068,0,0,TRUE,TRUE
"(iv)","L1","Linf",729,0.999977543152742,1450.03772919603,0,0,TRUE,TRUE
"(v)","RMSE","L1",729,0.999948024431683,3356.060367223,0,0,TRUE,TRUE
"(v)","RMSE","Linf",729,0.999943525264455,3646.57141514679,0,0,TRUE,TRUE
"(v)","L1","Linf",729,0.999972935605579,1747.54686516778,0,0,TRUE,TRUE
"All methods (experiment mean)","RMSE","L1",729,0.999961677146391,2474.50512465101,0,0,TRUE,TRUE
"All methods (experiment mean)","RMSE","Linf",729,0.999959841927841,2593.00511295951,0,0,TRUE,TRUE
"All methods (experiment mean)","L1","Linf",729,0.999993154694138,442.00112572807,0,0,TRUE,TRUE
