"experiment","folder","file","distribution_code","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
621,"ex621","faces_ex621.lst",3,"Negative binomial","(i)","(i)","(i)",0.0459,0.0614,0.0464,0.0465,0.0463,0.124,0.165,0.124,0.125,0.125,0.0618,0.0827,0.0622,0.0624,0.0623,70.514,4,"=1.768e-14",0.053,32.536,"<",63.486,4,"=5.362e-13",0.048,32.834,"<",63.486,4,"=5.362e-13",0.048,32.834,"<"
622,"ex622","faces_ex622.lst",3,"Negative binomial","(iv)","(iv)","(iv)",0.148,0.186,0.147,0.146,0.149,0.396,0.502,0.394,0.391,0.4,0.198,0.251,0.197,0.195,0.2,48.832,4,"=6.331e-10",0.037,34.152,"<",52.907,4,"=8.914e-11",0.04,35.429,"<",52.907,4,"=8.914e-11",0.04,35.429,"<"
623,"ex623","faces_ex623.lst",3,"Negative binomial","(i)","(i)","(i)",0.0995,0.1371,0.1054,0.1044,0.1017,0.268,0.368,0.283,0.28,0.274,0.134,0.184,0.141,0.14,0.137,93.525,4,"<2.2e-16",0.071,45.521,"<",101.19,4,"<2.2e-16",0.077,45.464,"<",101.19,4,"<2.2e-16",0.077,45.464,"<"
624,"ex624","faces_ex624.lst",3,"Negative binomial","(i)","(i)","(i)",0.0793,0.1114,0.0805,0.0812,0.0802,0.214,0.299,0.216,0.218,0.217,0.107,0.15,0.108,0.109,0.108,78.887,4,"=2.997e-16",0.06,66.811,"<",84.293,4,"<2.2e-16",0.064,66.848,"<",84.293,4,"<2.2e-16",0.064,66.848,"<"
625,"ex625","faces_ex625.lst",3,"Negative binomial","(iv)","(iv)","(iv)",0.144,0.18,0.145,0.143,0.144,0.387,0.483,0.389,0.384,0.387,0.193,0.242,0.194,0.192,0.194,28.201,4,"=1.135e-05",0.021,33.647,"<",27.503,4,"=1.573e-05",0.021,32.863,"<",27.503,4,"=1.573e-05",0.021,32.863,"<"
626,"ex626","faces_ex626.lst",3,"Negative binomial","(i)","(v)","(i)",0.104,0.134,0.109,0.107,0.104,0.281,0.362,0.293,0.287,0.28,0.14,0.181,0.147,0.144,0.14,85.072,4,"<2.2e-16",0.064,52.294,"<",80.664,4,"<2.2e-16",0.061,51.877,"<",80.664,4,"<2.2e-16",0.061,51.877,"<"
627,"ex627","faces_ex627.lst",3,"Negative binomial","(i)","(i)","(i)",0.0784,0.1091,0.0803,0.0804,0.0794,0.212,0.295,0.215,0.216,0.215,0.106,0.148,0.108,0.108,0.107,77.947,4,"=4.741e-16",0.059,48.069,"<",74.596,4,"=2.425e-15",0.057,48.513,"<",74.596,4,"=2.425e-15",0.057,48.513,"<"
628,"ex628","faces_ex628.lst",3,"Negative binomial","(i)","(i)","(i)",0.149,0.194,0.154,0.153,0.151,0.4,0.52,0.415,0.411,0.405,0.2,0.26,0.207,0.206,0.202,17.602,4,"=0.001476",0.013,34.228,"<",23.377,4,"=0.0001065",0.018,34.081,"<",23.377,4,"=0.0001065",0.018,34.081,"<"
629,"ex629","faces_ex629.lst",3,"Negative binomial","(i)","(i)","(i)",0.112,0.146,0.118,0.114,0.113,0.299,0.391,0.315,0.307,0.302,0.15,0.195,0.158,0.154,0.151,79.983,4,"<2.2e-16",0.061,46.943,"<",86.208,4,"<2.2e-16",0.065,47.931,"<",86.208,4,"<2.2e-16",0.065,47.931,"<"
630,"ex630","faces_ex630.lst",3,"Negative binomial","(i)","(i)","(i)",0.0803,0.1018,0.0819,0.0818,0.0814,0.217,0.273,0.22,0.219,0.22,0.108,0.136,0.11,0.11,0.11,57.297,4,"=1.072e-11",0.043,32.445,"<",49.001,4,"=5.835e-10",0.037,30.938,"<",49.001,4,"=5.835e-10",0.037,30.938,"<"
