"experiment","folder","file","distribution_code","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
1,"ex1","faces_ex1.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0928,0.1165,0.0898,0.0942,0.0934,0.25,0.315,0.242,0.254,0.252,0.125,0.157,0.121,0.127,0.126,87.792,4,"<2.2e-16",0.067,38.299,"<",85.845,4,"<2.2e-16",0.065,38.459,"<",85.845,4,"<2.2e-16",0.065,38.459,"<"
2,"ex2","faces_ex2.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0701,0.0774,0.0635,0.0659,0.0652,0.19,0.208,0.172,0.179,0.177,0.0952,0.1042,0.086,0.0895,0.0884,39.11,4,"=6.61e-08",0.03,18.345,"1.116e-14",35.973,4,"=2.93e-07",0.027,16.79,"1.969e-13",35.973,4,"=2.93e-07",0.027,16.79,"1.969e-13"
3,"ex3","faces_ex3.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0463,0.0609,0.046,0.0474,0.0465,0.125,0.164,0.124,0.128,0.126,0.0624,0.0819,0.0619,0.064,0.0628,58.805,4,"=5.171e-12",0.045,67.182,"<",53.278,4,"=7.455e-11",0.04,66.166,"<",53.278,4,"=7.455e-11",0.04,66.166,"<"
4,"ex4","faces_ex4.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0968,0.1117,0.0937,0.0969,0.097,0.261,0.303,0.253,0.263,0.262,0.131,0.151,0.127,0.131,0.131,36.623,4,"=2.154e-07",0.028,14.405,"1.623e-11",47.571,4,"=1.16e-09",0.036,14.453,"1.487e-11",47.571,4,"=1.16e-09",0.036,14.453,"1.487e-11"
5,"ex5","faces_ex5.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0686,0.0809,0.0637,0.0662,0.0653,0.185,0.218,0.172,0.179,0.176,0.0926,0.1088,0.086,0.0893,0.088,51.193,4,"=2.035e-10",0.039,24.127,"<",59.421,4,"=3.839e-12",0.045,22.468,"<",59.421,4,"=3.839e-12",0.045,22.468,"<"
6,"ex6","faces_ex6.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0507,0.0646,0.0447,0.0465,0.0456,0.137,0.173,0.121,0.126,0.123,0.0685,0.0867,0.0604,0.0628,0.0615,70.739,4,"=1.584e-14",0.054,25.948,"<",66.752,4,"=1.1e-13",0.051,24.305,"<",66.752,4,"=1.1e-13",0.051,24.305,"<"
7,"ex7","faces_ex7.lst",1,"Poisson","(iii)","(iii)","(iii)",0.105,0.114,0.102,0.104,0.105,0.284,0.306,0.274,0.281,0.284,0.142,0.153,0.137,0.14,0.142,30.645,4,"=3.617e-06",0.023,8.3926,"1.1e-06",33.743,4,"=8.413e-07",0.026,7.9456,"2.503e-06",33.743,4,"=8.413e-07",0.026,7.9456,"2.503e-06"
8,"ex8","faces_ex8.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0782,0.0841,0.0706,0.0726,0.0718,0.211,0.227,0.19,0.196,0.193,0.1054,0.1133,0.0951,0.0978,0.0966,55.886,4,"=2.119e-11",0.042,11.526,"3.366e-09",50.046,4,"=3.532e-10",0.038,11.243,"5.682e-09",50.046,4,"=3.532e-10",0.038,11.243,"5.682e-09"
9,"ex9","faces_ex9.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0585,0.0612,0.05,0.0506,0.051,0.158,0.165,0.135,0.136,0.137,0.0791,0.0823,0.0673,0.0682,0.0686,18.555,4,"=0.0009609",0.014,10.478,"2.342e-08",17.006,4,"=0.001928",0.013,10.131,"4.449e-08",17.006,4,"=0.001928",0.013,10.131,"4.449e-08"
10,"ex10","faces_ex10.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0841,0.0946,0.0813,0.0833,0.0852,0.227,0.256,0.219,0.225,0.229,0.114,0.128,0.11,0.112,0.115,73.624,4,"=3.893e-15",0.056,16.297,"4.895e-13",68.514,4,"=4.673e-14",0.052,17.296,"7.726e-14",68.514,4,"=4.673e-14",0.052,17.296,"7.726e-14"
11,"ex11","faces_ex11.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0649,0.0694,0.0557,0.0565,0.0565,0.176,0.187,0.15,0.153,0.153,0.0881,0.0937,0.0752,0.0763,0.0764,62.47,4,"=8.772e-13",0.047,17.927,"2.413e-14",58.941,4,"=4.843e-12",0.045,17.565,"4.704e-14",58.941,4,"=4.843e-12",0.045,17.565,"4.704e-14"
12,"ex12","faces_ex12.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0447,0.0498,0.0393,0.0398,0.0408,0.122,0.134,0.106,0.108,0.111,0.0608,0.0671,0.0532,0.0539,0.0555,64.71,4,"=2.961e-13",0.049,10.243,"3.613e-08",58.087,4,"=7.316e-12",0.044,9.1623,"2.663e-07",58.087,4,"=7.316e-12",0.044,9.1623,"2.663e-07"
13,"ex13","faces_ex13.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0815,0.1003,0.079,0.0808,0.081,0.219,0.27,0.213,0.218,0.218,0.11,0.135,0.106,0.109,0.109,37.913,4,"=1.168e-07",0.029,34.402,"<",42.083,4,"=1.603e-08",0.032,32.984,"<",42.083,4,"=1.603e-08",0.032,32.984,"<"
14,"ex14","faces_ex14.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0602,0.0694,0.055,0.0557,0.0554,0.163,0.187,0.148,0.15,0.149,0.0813,0.0936,0.074,0.0751,0.0747,50.713,4,"=2.563e-10",0.038,24.498,"<",39.915,4,"=4.507e-08",0.03,23.562,"<",39.915,4,"=4.507e-08",0.03,23.562,"<"
15,"ex15","faces_ex15.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0525,0.0505,0.0413,0.0417,0.0413,0.142,0.136,0.111,0.112,0.111,0.0708,0.0682,0.0556,0.0561,0.0556,29.736,4,"=5.54e-06",0.023,10.581,"1.934e-08",29.268,4,"=6.897e-06",0.022,10.385,"2.78e-08",29.268,4,"=6.897e-06",0.022,10.385,"2.78e-08"
16,"ex16","faces_ex16.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0853,0.0983,0.0836,0.0858,0.0853,0.23,0.265,0.226,0.231,0.23,0.115,0.132,0.113,0.116,0.115,46.742,4,"=1.726e-09",0.035,16.465,"3.59e-13",45.234,4,"=3.555e-09",0.034,16.382,"4.186e-13",45.234,4,"=3.555e-09",0.034,16.382,"4.186e-13"
17,"ex17","faces_ex17.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0728,0.076,0.0633,0.0642,0.0638,0.197,0.205,0.171,0.173,0.172,0.0986,0.1024,0.0853,0.0865,0.086,25.721,4,"=3.602e-05",0.019,14.307,"1.947e-11",27.372,4,"=1.672e-05",0.021,14.045,"3.162e-11",27.372,4,"=1.672e-05",0.021,14.045,"3.162e-11"
18,"ex18","faces_ex18.lst",1,"Poisson","(iv)","(iii)","(iv)",0.0534,0.0543,0.043,0.0428,0.0446,0.144,0.146,0.116,0.116,0.12,0.0721,0.073,0.058,0.0578,0.0601,50.17,4,"=3.328e-10",0.038,9.1108,"2.928e-07",42.558,4,"=1.278e-08",0.032,8.7364,"5.841e-07",42.558,4,"=1.278e-08",0.032,8.7364,"5.841e-07"
19,"ex19","faces_ex19.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0723,0.0859,0.0717,0.0728,0.0724,0.195,0.23,0.193,0.196,0.195,0.0973,0.1151,0.0963,0.0979,0.0975,61.445,4,"=1.441e-12",0.047,20.691,"<",54.339,4,"=4.468e-11",0.041,21.13,"<",54.339,4,"=4.468e-11",0.041,21.13,"<"
20,"ex20","faces_ex20.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0624,0.0602,0.0514,0.0517,0.0516,0.169,0.161,0.139,0.139,0.139,0.0846,0.0805,0.0693,0.0696,0.0695,33.142,4,"=1.117e-06",0.025,13.781,"5.157e-11",30.364,4,"=4.127e-06",0.023,13.533,"8.169e-11",30.364,4,"=4.127e-06",0.023,13.533,"8.169e-11"
21,"ex21","faces_ex21.lst",1,"Poisson","(v)","(iv)","(iii)",0.0478,0.0487,0.0369,0.0369,0.0368,0.1304,0.1327,0.0999,0.0997,0.0997,0.0652,0.0663,0.0499,0.0499,0.0499,16.211,4,"=0.002749",0.012,7.7254,"3.751e-06",14.432,4,"=0.006038",0.011,7.6451,"4.346e-06",14.432,4,"=0.006038",0.011,7.6451,"4.346e-06"
22,"ex22","faces_ex22.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0744,0.0832,0.0734,0.0741,0.0744,0.2,0.224,0.197,0.199,0.2,0.0999,0.1118,0.0985,0.0994,0.0999,46.844,4,"=1.644e-09",0.035,15.767,"1.305e-12",48.744,4,"=6.602e-10",0.037,15.561,"1.911e-12",48.744,4,"=6.602e-10",0.037,15.561,"1.911e-12"
23,"ex23","faces_ex23.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0657,0.0621,0.0518,0.0522,0.0522,0.179,0.168,0.14,0.141,0.141,0.0894,0.0838,0.0701,0.0706,0.0704,39.709,4,"=4.971e-08",0.03,19.204,"2.292e-15",32.478,4,"=1.528e-06",0.025,18.841,"4.471e-15",32.478,4,"=1.528e-06",0.025,18.841,"4.471e-15"
24,"ex24","faces_ex24.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0438,0.0442,0.0382,0.0383,0.0384,0.119,0.119,0.103,0.103,0.103,0.0593,0.0594,0.0515,0.0516,0.0517,25.944,4,"=3.247e-05",0.02,6.5135,"3.442e-05",22.272,4,"=0.000177",0.017,6.2271,"5.795e-05",22.272,4,"=0.000177",0.017,6.2271,"5.795e-05"
25,"ex25","faces_ex25.lst",1,"Poisson","(iii)","(iii)","(iii)",0.077,0.0878,0.0755,0.0765,0.0769,0.207,0.237,0.204,0.206,0.207,0.104,0.118,0.102,0.103,0.104,44.992,4,"=3.992e-09",0.034,22.829,"<",46.155,4,"=2.286e-09",0.035,23.048,"<",46.155,4,"=2.286e-09",0.035,23.048,"<"
26,"ex26","faces_ex26.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0645,0.0604,0.0534,0.0537,0.0537,0.176,0.163,0.145,0.145,0.145,0.088,0.0815,0.0723,0.0727,0.0726,29.096,4,"=7.475e-06",0.022,13.336,"1.177e-10",29.079,4,"=7.535e-06",0.022,13.362,"1.121e-10",29.079,4,"=7.535e-06",0.022,13.362,"1.121e-10"
27,"ex27","faces_ex27.lst",1,"Poisson","(iii)","(iii)","(iii)",0.044,0.0447,0.0352,0.0353,0.0355,0.1188,0.121,0.0945,0.0947,0.0952,0.0594,0.0605,0.0473,0.0473,0.0476,25.971,4,"=3.207e-05",0.02,7.4713,"5.978e-06",25.428,4,"=4.126e-05",0.019,7.7675,"3.472e-06",25.428,4,"=4.126e-05",0.019,7.7675,"3.472e-06"
28,"ex28","faces_ex28.lst",1,"Poisson","(iii)","(iii)","(iii)",0.11,0.137,0.108,0.11,0.11,0.296,0.369,0.292,0.298,0.298,0.148,0.185,0.146,0.149,0.149,53.028,4,"=8.408e-11",0.04,49.98,"<",52.528,4,"=1.069e-10",0.04,49.074,"<",52.528,4,"=1.069e-10",0.04,49.074,"<"
29,"ex29","faces_ex29.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0795,0.096,0.0769,0.078,0.0778,0.215,0.258,0.207,0.21,0.21,0.107,0.129,0.103,0.105,0.105,39.292,4,"=6.063e-08",0.03,34.13,"<",39.595,4,"=5.248e-08",0.03,31.905,"<",39.595,4,"=5.248e-08",0.03,31.905,"<"
30,"ex30","faces_ex30.lst",1,"Poisson","(v)","(iii)","(v)",0.0579,0.0727,0.0554,0.0558,0.0553,0.157,0.197,0.15,0.151,0.15,0.0786,0.0983,0.075,0.0753,0.0749,57.857,4,"=8.177e-12",0.044,26.056,"<",60.521,4,"=2.254e-12",0.046,25.351,"<",60.521,4,"=2.254e-12",0.046,25.351,"<"
31,"ex31","faces_ex31.lst",1,"Poisson","(iii)","(iii)","(iii)",0.109,0.13,0.107,0.11,0.109,0.294,0.352,0.287,0.297,0.293,0.147,0.176,0.143,0.148,0.146,52.434,4,"=1.119e-10",0.04,27.881,"<",52.187,4,"=1.261e-10",0.04,28.762,"<",52.187,4,"=1.261e-10",0.04,28.762,"<"
32,"ex32","faces_ex32.lst",1,"Poisson","(iii)","(iii)","(i)",0.0772,0.0961,0.0767,0.0788,0.0773,0.209,0.259,0.207,0.213,0.209,0.104,0.13,0.104,0.107,0.104,50.844,4,"=2.407e-10",0.039,39.743,"<",42.041,4,"=1.636e-08",0.032,39.154,"<",42.041,4,"=1.636e-08",0.032,39.154,"<"
33,"ex33","faces_ex33.lst",1,"Poisson","(iii)","(i)","(iii)",0.0545,0.0736,0.0544,0.0549,0.0546,0.147,0.198,0.147,0.148,0.147,0.0735,0.0992,0.0733,0.0741,0.0736,121.42,4,"<2.2e-16",0.092,74.163,"<",118.29,4,"<2.2e-16",0.09,73.708,"<",118.29,4,"<2.2e-16",0.09,73.708,"<"
34,"ex34","faces_ex34.lst",1,"Poisson","(iii)","(iii)","(iii)",0.115,0.139,0.113,0.114,0.115,0.309,0.374,0.305,0.307,0.31,0.155,0.187,0.153,0.154,0.155,26.669,4,"=2.319e-05",0.02,31.232,"<",26.16,4,"=2.938e-05",0.02,31.889,"<",26.16,4,"=2.938e-05",0.02,31.889,"<"
35,"ex35","faces_ex35.lst",1,"Poisson","(i)","(i)","(i)",0.0873,0.1063,0.0881,0.0876,0.0873,0.233,0.285,0.236,0.235,0.234,0.117,0.142,0.118,0.118,0.117,47.239,4,"=1.36e-09",0.036,32.404,"<",45.333,4,"=3.389e-09",0.034,32.695,"<",45.333,4,"=3.389e-09",0.034,32.695,"<"
36,"ex36","faces_ex36.lst",1,"Poisson","(v)","(v)","(v)",0.0579,0.0745,0.0569,0.0573,0.0562,0.156,0.2,0.153,0.155,0.151,0.0779,0.1002,0.0767,0.0773,0.0756,70.795,4,"=1.542e-14",0.054,34.68,"<",64.812,4,"=2.819e-13",0.049,33.135,"<",64.812,4,"=2.819e-13",0.049,33.135,"<"
37,"ex37","faces_ex37.lst",1,"Poisson","(i)","(i)","(i)",0.102,0.128,0.102,0.104,0.102,0.276,0.343,0.276,0.281,0.277,0.138,0.171,0.138,0.141,0.139,78.349,4,"=3.896e-16",0.059,50.809,"<",66.339,4,"=1.343e-13",0.05,46.617,"<",66.339,4,"=1.343e-13",0.05,46.617,"<"
38,"ex38","faces_ex38.lst",1,"Poisson","(v)","(v)","(v)",0.0765,0.0886,0.0746,0.0751,0.0744,0.207,0.238,0.201,0.203,0.2,0.103,0.119,0.101,0.101,0.1,29.835,4,"=5.288e-06",0.023,21.72,"<",24.684,4,"=5.824e-05",0.019,20.473,"<",24.684,4,"=5.824e-05",0.019,20.473,"<"
39,"ex39","faces_ex39.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0574,0.0666,0.0512,0.052,0.0513,0.155,0.179,0.138,0.14,0.138,0.0774,0.0896,0.0689,0.07,0.0692,69.016,4,"=3.662e-14",0.052,20.381,"2.628e-16",68.305,4,"=5.172e-14",0.052,19.78,"7.925e-16",68.305,4,"=5.172e-14",0.052,19.78,"7.925e-16"
40,"ex40","faces_ex40.lst",1,"Poisson","(iii)","(iii)","(iii)",0.102,0.121,0.101,0.103,0.102,0.276,0.324,0.271,0.278,0.275,0.138,0.162,0.136,0.139,0.138,51.04,4,"=2.19e-10",0.039,35.657,"<",53.765,4,"=5.894e-11",0.041,33.748,"<",53.765,4,"=5.894e-11",0.041,33.748,"<"
41,"ex41","faces_ex41.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0719,0.0885,0.069,0.0699,0.0694,0.194,0.239,0.185,0.188,0.187,0.097,0.1196,0.0926,0.094,0.0936,69.67,4,"=2.664e-14",0.053,28.877,"<",86.407,4,"<2.2e-16",0.065,29.114,"<",86.407,4,"<2.2e-16",0.065,29.114,"<"
42,"ex42","faces_ex42.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0505,0.0627,0.0489,0.0493,0.0493,0.136,0.168,0.131,0.132,0.132,0.0681,0.0841,0.0656,0.0661,0.0662,88.752,4,"<2.2e-16",0.067,31.189,"<",81.481,4,"<2.2e-16",0.062,30.134,"<",81.481,4,"<2.2e-16",0.062,30.134,"<"
43,"ex43","faces_ex43.lst",1,"Poisson","(i)","(iii)","(iii)",0.104,0.125,0.104,0.105,0.105,0.281,0.337,0.28,0.283,0.282,0.141,0.168,0.14,0.141,0.141,28.796,4,"=8.598e-06",0.022,31.22,"<",35.117,4,"=4.394e-07",0.027,30.624,"<",35.117,4,"=4.394e-07",0.027,30.624,"<"
44,"ex44","faces_ex44.lst",1,"Poisson","(v)","(v)","(v)",0.0816,0.0933,0.0784,0.0781,0.0774,0.219,0.25,0.211,0.21,0.208,0.11,0.125,0.105,0.105,0.104,35.886,4,"=3.054e-07",0.027,21.675,"<",33.459,4,"=9.618e-07",0.025,20.758,"<",33.459,4,"=9.618e-07",0.025,20.758,"<"
45,"ex45","faces_ex45.lst",1,"Poisson","(iv)","(iv)","(iv)",0.0554,0.0698,0.0535,0.0527,0.053,0.149,0.188,0.144,0.142,0.143,0.0745,0.0938,0.0721,0.0711,0.0713,58.398,4,"=6.297e-12",0.044,27.983,"<",56.599,4,"=1.502e-11",0.043,28.212,"<",56.599,4,"=1.502e-11",0.043,28.212,"<"
46,"ex46","faces_ex46.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0976,0.1094,0.0958,0.0961,0.0972,0.264,0.295,0.259,0.26,0.263,0.132,0.148,0.129,0.13,0.131,38.405,4,"=9.245e-08",0.029,18.3,"1.213e-14",35.328,4,"=3.977e-07",0.027,17.966,"2.244e-14",35.328,4,"=3.977e-07",0.027,17.966,"2.244e-14"
47,"ex47","faces_ex47.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0681,0.0829,0.0649,0.0654,0.0653,0.184,0.223,0.175,0.176,0.176,0.0918,0.1114,0.0873,0.0881,0.088,85.636,4,"<2.2e-16",0.065,41.675,"<",77.384,4,"=6.236e-16",0.059,40.429,"<",77.384,4,"=6.236e-16",0.059,40.429,"<"
48,"ex48","faces_ex48.lst",1,"Poisson","(iv)","(iii)","(iv)",0.0525,0.0633,0.0487,0.0485,0.049,0.142,0.17,0.131,0.131,0.132,0.0708,0.0848,0.0655,0.0653,0.0658,41.641,4,"=1.98e-08",0.032,24.7,"<",41.576,4,"=2.042e-08",0.031,24.048,"<",41.576,4,"=2.042e-08",0.031,24.048,"<"
49,"ex49","faces_ex49.lst",1,"Poisson","(iii)","(iii)","(iii)",0.097,0.1145,0.0967,0.0978,0.0975,0.262,0.308,0.261,0.264,0.263,0.131,0.154,0.13,0.132,0.132,57.382,4,"=1.029e-11",0.043,32.072,"<",61.302,4,"=1.545e-12",0.046,31.304,"<",61.302,4,"=1.545e-12",0.046,31.304,"<"
50,"ex50","faces_ex50.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0757,0.0856,0.068,0.0681,0.0682,0.205,0.229,0.183,0.183,0.184,0.1023,0.1147,0.0915,0.0916,0.0918,56.405,4,"=1.649e-11",0.043,26.616,"<",54.434,4,"=4.269e-11",0.041,24.947,"<",54.434,4,"=4.269e-11",0.041,24.947,"<"
51,"ex51","faces_ex51.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0516,0.0578,0.0464,0.0464,0.0467,0.139,0.156,0.125,0.125,0.126,0.0697,0.078,0.0626,0.0626,0.063,28.206,4,"=1.133e-05",0.021,11.638,"2.733e-09",28.633,4,"=9.282e-06",0.022,11.218,"5.952e-09",28.633,4,"=9.282e-06",0.022,11.218,"5.952e-09"
52,"ex52","faces_ex52.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0946,0.1041,0.0937,0.0949,0.0944,0.255,0.281,0.253,0.257,0.255,0.128,0.141,0.127,0.128,0.127,47.156,4,"=1.415e-09",0.036,9.831,"7.745e-08",39.072,4,"=6.733e-08",0.03,9.579,"1.234e-07",39.072,4,"=6.733e-08",0.03,9.579,"1.234e-07"
53,"ex53","faces_ex53.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0744,0.0854,0.0706,0.0706,0.0709,0.2,0.23,0.19,0.19,0.19,0.1001,0.115,0.0949,0.0952,0.0951,46.036,4,"=2.42e-09",0.035,23.662,"<",48.259,4,"=8.333e-10",0.037,23.458,"<",48.259,4,"=8.333e-10",0.037,23.458,"<"
54,"ex54","faces_ex54.lst",1,"Poisson","(iii)","(iii)","(iv)",0.0519,0.0643,0.0503,0.0503,0.0508,0.14,0.173,0.135,0.135,0.137,0.0699,0.0867,0.0675,0.0674,0.0683,93.377,4,"<2.2e-16",0.071,40.465,"<",100.11,4,"<2.2e-16",0.076,40.596,"<",100.11,4,"<2.2e-16",0.076,40.596,"<"
55,"ex55","faces_ex55.lst",1,"Poisson","(i)","(i)","(i)",0.15,0.176,0.152,0.153,0.151,0.404,0.473,0.408,0.414,0.407,0.202,0.236,0.204,0.207,0.203,16.01,4,"=0.003006",0.012,18.467,"8.907e-15",19.37,4,"=0.0006648",0.015,18.462,"8.989e-15",19.37,4,"=0.0006648",0.015,18.462,"8.989e-15"
56,"ex56","faces_ex56.lst",1,"Poisson","(i)","(i)","(i)",0.108,0.136,0.109,0.109,0.109,0.291,0.365,0.293,0.295,0.293,0.146,0.182,0.147,0.147,0.146,55.423,4,"=2.649e-11",0.042,37.296,"<",49.232,4,"=5.224e-10",0.037,35.973,"<",49.232,4,"=5.224e-10",0.037,35.973,"<"
57,"ex57","faces_ex57.lst",1,"Poisson","(iii)","(iii)","(i)",0.0859,0.1128,0.0857,0.0863,0.0858,0.232,0.304,0.231,0.233,0.232,0.116,0.152,0.116,0.117,0.116,86.526,4,"<2.2e-16",0.066,63.736,"<",82.659,4,"<2.2e-16",0.063,61.726,"<",82.659,4,"<2.2e-16",0.063,61.726,"<"
58,"ex58","faces_ex58.lst",1,"Poisson","(iii)","(i)","(iii)",0.154,0.182,0.153,0.155,0.154,0.413,0.49,0.413,0.418,0.414,0.207,0.245,0.206,0.209,0.207,15.389,4,"=0.003959",0.012,21.992,"<",24.703,4,"=5.772e-05",0.019,22.808,"<",24.703,4,"=5.772e-05",0.019,22.808,"<"
59,"ex59","faces_ex59.lst",1,"Poisson","(i)","(i)","(i)",0.113,0.148,0.118,0.116,0.114,0.304,0.398,0.318,0.311,0.308,0.152,0.199,0.159,0.156,0.154,78.095,4,"=4.411e-16",0.059,40.236,"<",77.675,4,"=5.412e-16",0.059,40.716,"<",77.675,4,"=5.412e-16",0.059,40.716,"<"
60,"ex60","faces_ex60.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0798,0.1084,0.0792,0.0809,0.0794,0.215,0.292,0.212,0.218,0.214,0.107,0.146,0.106,0.109,0.107,94.208,4,"<2.2e-16",0.071,71.607,"<",93.641,4,"<2.2e-16",0.071,71.322,"<",93.641,4,"<2.2e-16",0.071,71.322,"<"
61,"ex61","faces_ex61.lst",1,"Poisson","(iii)","(iii)","(iii)",0.155,0.188,0.154,0.155,0.156,0.419,0.505,0.416,0.418,0.42,0.21,0.252,0.208,0.209,0.21,29.321,4,"=6.726e-06",0.022,29.846,"<",28.701,4,"=8.992e-06",0.022,28.557,"<",28.701,4,"=8.992e-06",0.022,28.557,"<"
62,"ex62","faces_ex62.lst",1,"Poisson","(i)","(i)","(i)",0.111,0.141,0.114,0.111,0.111,0.299,0.38,0.307,0.3,0.3,0.15,0.19,0.153,0.15,0.15,59.789,4,"=3.213e-12",0.045,37.453,"<",63.867,4,"=4.458e-13",0.048,37.248,"<",63.867,4,"=4.458e-13",0.048,37.248,"<"
63,"ex63","faces_ex63.lst",1,"Poisson","(i)","(i)","(i)",0.0852,0.1097,0.0876,0.0873,0.0858,0.23,0.295,0.237,0.236,0.231,0.115,0.147,0.118,0.118,0.116,29.423,4,"=6.413e-06",0.022,38.987,"<",29.612,4,"=5.87e-06",0.022,37.279,"<",29.612,4,"=5.87e-06",0.022,37.279,"<"
64,"ex64","faces_ex64.lst",1,"Poisson","(iii)","(iii)","(iii)",0.151,0.172,0.148,0.148,0.15,0.405,0.463,0.398,0.398,0.404,0.202,0.231,0.199,0.199,0.202,17.851,4,"=0.00132",0.014,16.322,"4.673e-13",16.847,4,"=0.00207",0.013,17.279,"7.981e-14",16.847,4,"=0.00207",0.013,17.279,"7.981e-14"
65,"ex65","faces_ex65.lst",1,"Poisson","(iv)","(iv)","(i)",0.108,0.133,0.108,0.107,0.108,0.289,0.356,0.29,0.288,0.288,0.144,0.178,0.145,0.144,0.144,43.246,4,"=9.2e-09",0.033,35.925,"<",46.366,4,"=2.067e-09",0.035,34.734,"<",46.366,4,"=2.067e-09",0.035,34.734,"<"
66,"ex66","faces_ex66.lst",1,"Poisson","(i)","(i)","(i)",0.0814,0.1055,0.0826,0.0831,0.0827,0.22,0.284,0.222,0.224,0.223,0.11,0.142,0.111,0.112,0.112,94.805,4,"<2.2e-16",0.072,59.522,"<",101.28,4,"<2.2e-16",0.077,58.7,"<",101.28,4,"<2.2e-16",0.077,58.7,"<"
67,"ex67","faces_ex67.lst",1,"Poisson","(i)","(i)","(i)",0.15,0.173,0.151,0.151,0.151,0.403,0.467,0.407,0.407,0.406,0.201,0.233,0.204,0.203,0.203,11.862,4,"=0.01841",0.009,16.13,"6.666e-13",14.71,4,"=0.005341",0.011,16.026,"8.088e-13",14.71,4,"=0.005341",0.011,16.026,"8.088e-13"
68,"ex68","faces_ex68.lst",1,"Poisson","(v)","(v)","(v)",0.107,0.138,0.108,0.107,0.106,0.288,0.372,0.288,0.288,0.287,0.144,0.186,0.144,0.144,0.143,93.583,4,"<2.2e-16",0.071,58.082,"<",96.8,4,"<2.2e-16",0.073,58.541,"<",96.8,4,"<2.2e-16",0.073,58.541,"<"
69,"ex69","faces_ex69.lst",1,"Poisson","(i)","(iii)","(i)",0.0825,0.1022,0.0828,0.0834,0.083,0.223,0.275,0.222,0.224,0.224,0.111,0.138,0.111,0.112,0.112,50.16,4,"=3.344e-10",0.038,41.536,"<",58.793,4,"=5.202e-12",0.045,42.699,"<",58.793,4,"=5.202e-12",0.045,42.699,"<"
70,"ex70","faces_ex70.lst",1,"Poisson","(iii)","(v)","(v)",0.153,0.178,0.152,0.154,0.152,0.41,0.48,0.41,0.414,0.409,0.205,0.24,0.205,0.207,0.204,16.444,4,"=0.002478",0.012,22.047,"<",17.724,4,"=0.001397",0.013,22.456,"<",17.724,4,"=0.001397",0.013,22.456,"<"
71,"ex71","faces_ex71.lst",1,"Poisson","(i)","(i)","(i)",0.104,0.127,0.106,0.106,0.105,0.281,0.341,0.287,0.287,0.283,0.14,0.17,0.143,0.143,0.141,33.275,4,"=1.049e-06",0.025,29.759,"<",30.061,4,"=4.757e-06",0.023,28.139,"<",30.061,4,"=4.757e-06",0.023,28.139,"<"
72,"ex72","faces_ex72.lst",1,"Poisson","(iii)","(iii)","(iii)",0.081,0.1014,0.0792,0.0816,0.081,0.219,0.273,0.213,0.22,0.219,0.109,0.136,0.107,0.11,0.109,52.502,4,"=1.083e-10",0.04,41.192,"<",49.544,4,"=4.495e-10",0.038,40.595,"<",49.544,4,"=4.495e-10",0.038,40.595,"<"
