"GEN","Nsamp","FIT","conv_rate_mean","conv_rate_sd","rmse_p_mean","rmse_p_sd","theta_hat_mean","theta_hat_sd","bias_p1","bias_p2","bias_p3"
"DMstrong",25,"DM",0.885,0.319822501023308,0.118937606366563,0.0711744739166342,6209.20285979778,18812.260604497,0.00547477694261153,0.011841339450371,-0.0173161163929825
"MN",25,"DM",0.635,0.482638268781561,0.0547655428713434,0.0304474281884379,13898.8307064166,25387.6599568311,0.00404232425832455,-0.00148045475026278,-0.00256186950806177
"DMstrong",125,"DM",0.995,0.0707106781186548,0.108679776210285,0.0764438441511947,1.90450209721558e+214,Inf,0.0155541692600836,0.00184772768536029,-0.0174018969454439
"MN",125,"DM",1,0,0.0270264573260939,0.0143606481923066,11045.0153652819,19499.6396776078,-0.00142233601398696,-0.000574191905502766,0.00199652791948973
"DMstrong",250,"DM",1,0,0.11143488783696,0.074732046577946,6.86304260322085e+60,9.70580792861929e+61,0.00923954486408577,0.0275242001004309,-0.0367637449645167
"MN",250,"DM",1,0,0.0191336327380883,0.00925337191734865,63607670739144.1,899548306174272,0.000151495226777242,0.00237516675107082,-0.00252666197784807
