"GEN","Nsamp","rep","theta","nll_cond","theta_hat","hit_upper"
"MN",25,1,1e-06,102.207232309058,10000,TRUE
"MN",25,1,1.80472176682717e-06,99.8456518206953,10000,TRUE
"MN",25,1,3.25702065565979e-06,97.4841077422104,10000,TRUE
"MN",25,1,5.87801607227492e-06,95.1226293684442,10000,TRUE
"MN",25,1,1.06081835513945e-05,92.7612695571978,10000,TRUE
"MN",25,1,1.91448197616996e-05,90.4001236655114,10000,TRUE
"MN",25,1,3.45510729459222e-05,88.0393636672355,10000,TRUE
"MN",25,1,6.23550734127392e-05,85.6792995399592,10000,TRUE
"MN",25,1,0.000112533558260077,83.320489448082,10000,TRUE
"MN",25,1,0.000203091762090474,80.9639366388489,10000,TRUE
"MN",25,1,0.000366524123707963,78.6114384858898,10000,TRUE
"MN",25,1,0.000661474064123015,76.2661962723617,10000,TRUE
"MN",25,1,0.00119377664171444,73.9338522030781,10000,TRUE
"MN",25,1,0.00215443469003188,71.6241660903926,10000,TRUE
"MN",25,1,0.00388815518030809,69.353470802933,10000,TRUE
"MN",25,1,0.00701703828670383,67.1475676179525,10000,TRUE
"MN",25,1,0.012663801734674,65.0433924948734,10000,TRUE
"MN",25,1,0.0228546386413499,63.0857909844893,10000,TRUE
"MN",25,1,0.0412462638290135,61.316057982262,10000,TRUE
"MN",25,1,0.0744380301325169,59.7565492819001,10000,TRUE
"MN",25,1,0.13433993325989,58.4058177099017,10000,TRUE
"MN",25,1,0.242446201708233,57.2521635946529,10000,TRUE
"MN",25,1,0.437547937507418,56.2912077793135,10000,TRUE
"MN",25,1,0.789652286849972,55.5276007225096,10000,TRUE
"MN",25,1,1.425102670303,54.9604688436049,10000,TRUE
"MN",25,1,2.57191380905935,54.5699983034873,10000,TRUE
"MN",25,1,4.64158883361278,54.3191882935319,10000,TRUE
"MN",25,1,8.37677640068292,54.1665642106449,10000,TRUE
"MN",25,1,15.1177507061566,54.0770846118962,10000,TRUE
"MN",25,1,27.2833337648677,54.0258472374749,10000,TRUE
"MN",25,1,49.2388263170673,53.9969194381783,10000,TRUE
"MN",25,1,88.862381627434,53.9807204149661,10000,TRUE
"MN",25,1,160.371874375133,53.9716913720531,10000,TRUE
"MN",25,1,289.426612471675,53.9666718892677,10000,TRUE
"MN",25,1,522.334507426684,53.9638854989898,10000,TRUE
"MN",25,1,942.668455117885,53.9623399885895,10000,TRUE
"MN",25,1,1701.25427985259,53.9614831367508,10000,TRUE
"MN",25,1,3070.29062975785,53.9610082050785,10000,TRUE
"MN",25,1,5541.0203300095,53.9607449992327,10000,TRUE
"MN",25,1,10000,53.9605991416611,10000,TRUE
"DMpure",25,1,1e-06,77.718169652315,3.73736993910899,FALSE
"DMpure",25,1,1.80472176682717e-06,75.9469873391288,3.73736993910899,FALSE
"DMpure",25,1,3.25702065565979e-06,74.1758347901012,3.73736993910899,FALSE
"DMpure",25,1,5.87801607227492e-06,72.4047359530626,3.73736993910899,FALSE
"DMpure",25,1,1.06081835513945e-05,70.6337340380749,3.73736993910899,FALSE
"DMpure",25,1,1.91448197616996e-05,68.8629069976248,3.73736993910899,FALSE
"DMpure",25,1,3.45510729459222e-05,67.0923954177482,3.73736993910899,FALSE
"DMpure",25,1,6.23550734127392e-05,65.3224527031805,3.73736993910899,FALSE
