"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","hit_upper","p1_hat","p2_hat","p3_hat"
"MN",250,2,"DM",TRUE,0.0133666269488047,10000,TRUE,0.181999556712416,0.313999032009332,0.504001411278251
"DMpure",250,2,"MN",TRUE,0.0170489491367259,NA,NA,0.19,0.324,0.486
"DMpure",250,2,"DM",TRUE,0.017068743922497,1656.27144940008,FALSE,0.189996594971345,0.324027000002466,0.485976405026189
"DMstrong",250,2,"MN",TRUE,0.0695317673201729,NA,NA,0.102,0.342,0.556
"DMstrong",250,2,"DM",TRUE,0.0301753185954419,0.0223343128462952,FALSE,0.157681371251411,0.316397484459866,0.525921144288723
"MN",25,3,"MN",TRUE,0.0432049379893858,NA,NA,0.14,0.34,0.52
"MN",25,3,"DM",TRUE,0.0432083331441129,10000,TRUE,0.139995357154399,0.340003431729555,0.520001211116045
"DMpure",25,3,"MN",TRUE,0.101980390271856,NA,NA,0.24,0.4,0.36
"DMpure",25,3,"DM",TRUE,0.103168494255966,3.53850431746193,FALSE,0.23748494028468,0.403371274986763,0.359143784728557
"DMstrong",25,3,"MN",TRUE,0.214165045389453,NA,NA,0.16,0.06,0.78
"DMstrong",25,3,"DM",TRUE,0.211742693638473,1.89781089524886,FALSE,0.151676378123923,0.0682300365517825,0.780093585324295
"MN",125,3,"MN",TRUE,0.0117756811551038,NA,NA,0.216,0.288,0.496
"MN",125,3,"DM",TRUE,0.0117736149558964,10000,TRUE,0.215998135145716,0.288004463036652,0.495997401817632
"DMpure",125,3,"MN",TRUE,0.00864098759787716,NA,NA,0.188,0.304,0.508
"DMpure",125,3,"DM",TRUE,0.00864928862368942,10000,TRUE,0.187987051650199,0.304010955569979,0.508001992779822
"DMstrong",125,3,"MN",TRUE,0.172541782379419,NA,NA,0.076,0.18,0.744
"DMstrong",125,3,"DM",TRUE,0.171951966253144,0.273958920527881,FALSE,0.0888455437980187,0.16826803666257,0.742886419539411
"MN",250,3,"MN",TRUE,0.00993310961716757,NA,NA,0.192,0.314,0.494
"MN",250,3,"DM",TRUE,0.00993306378959811,10000,TRUE,0.191998932595937,0.313999824910366,0.494001242493697
"DMpure",250,3,"MN",TRUE,0.0155777619273972,NA,NA,0.218,0.28,0.502
"DMpure",250,3,"DM",TRUE,0.0155798142209948,10000,TRUE,0.217997717915328,0.279993982956741,0.50200829912793
"DMstrong",250,3,"MN",TRUE,0.122409149984795,NA,NA,0.07,0.266,0.664
"DMstrong",250,3,"DM",TRUE,0.105166038796246,0.0261430564934286,FALSE,0.114806338825037,0.237020442858764,0.648173218316199
"MN",25,4,"MN",TRUE,0.0748331477354788,NA,NA,0.3,0.28,0.42
"MN",25,4,"DM",TRUE,0.0748327618870963,10000,TRUE,0.299999590846751,0.279999783745974,0.420000625407275
"DMpure",25,4,"MN",TRUE,0.155777619273972,NA,NA,0.1,0.18,0.72
"DMpure",25,4,"DM",TRUE,0.155777473782315,10000,TRUE,0.100001597095212,0.179998696837353,0.719999706067435
"DMstrong",25,4,"MN",TRUE,0.14142135623731,NA,NA,0.1,0.5,0.4
"DMstrong",25,4,"DM",TRUE,0.126266575742777,0.165116907149232,FALSE,0.0978356086209222,0.47791555122079,0.424248840158288
"MN",125,4,"MN",TRUE,0.0259229627936314,NA,NA,0.188,0.276,0.536
"MN",125,4,"DM",TRUE,0.0259201655327878,10000,TRUE,0.187999784150461,0.276003798376026,0.535996417473513
"DMpure",125,4,"MN",TRUE,0.0282842712474619,NA,NA,0.18,0.28,0.54
"DMpure",125,4,"DM",TRUE,0.0282823317112273,10000,TRUE,0.179999774116051,0.280002968844926,0.539997257039023
"DMstrong",125,4,"MN",TRUE,0.0340978982734518,NA,NA,0.228,0.252,0.52
"DMstrong",125,4,"DM",TRUE,0.0404516489640402,0.213995580993149,FALSE,0.229128931664789,0.242795964975176,0.528075103360034
"MN",250,4,"MN",TRUE,0.012328828005938,NA,NA,0.214,0.302,0.484
"MN",250,4,"DM",TRUE,0.012333747664424,1450.2361992141,FALSE,0.214015039668527,0.3019850323336,0.483999927997873
"DMpure",250,4,"MN",TRUE,0.012328828005938,NA,NA,0.184,0.302,0.514
"DMpure",250,4,"DM",TRUE,0.0123286320213202,10000,TRUE,0.183999213192254,0.302002571513764,0.513998215293982
"DMstrong",250,4,"MN",TRUE,0.0972830920561225,NA,NA,0.33,0.196,0.474
"DMstrong",250,4,"DM",TRUE,0.101021660389734,0.196941680929674,FALSE,0.333058376004068,0.188419005894124,0.478522618101807
"MN",25,5,"MN",TRUE,0.0489897948556636,NA,NA,0.14,0.36,0.5
"MN",25,5,"DM",TRUE,0.0489900497089677,10000,TRUE,0.140000534216335,0.360001158441076,0.499998307342589
"DMpure",25,5,"MN",TRUE,0.0565685424949238,NA,NA,0.24,0.22,0.54
"DMpure",25,5,"DM",TRUE,0.0565680074289098,10000,TRUE,0.24000040805795,0.220000756702767,0.539998835239283
"DMstrong",25,5,"MN",TRUE,0.101980390271856,NA,NA,0.1,0.26,0.64
"DMstrong",25,5,"DM",TRUE,0.101979306654571,10000,TRUE,0.100001264480473,0.26000015582159,0.639998579697937
"MN",125,5,"MN",TRUE,0.0259229627936314,NA,NA,0.236,0.276,0.488
"MN",125,5,"DM",TRUE,0.0259226009868799,10000,TRUE,0.235999597595516,0.276000735175322,0.487999667229162
"DMpure",125,5,"MN",TRUE,0.0401331118487798,NA,NA,0.256,0.264,0.48
"DMpure",125,5,"DM",TRUE,0.0401328713518947,10000,TRUE,0.255999704828178,0.264000407665806,0.479999887506017
"DMstrong",125,5,"MN",TRUE,0.0828170674841042,NA,NA,0.128,0.416,0.456
"DMstrong",125,5,"DM",TRUE,0.0829884433603691,0.946974857410158,FALSE,0.129573687975611,0.416519512024799,0.453906799999591
"MN",250,5,"MN",TRUE,0.0198662192343351,NA,NA,0.228,0.288,0.484
"MN",250,5,"DM",TRUE,0.0198666705879602,10000,TRUE,0.228000651870612,0.287999554433965,0.483999793695423
"DMpure",250,5,"MN",TRUE,0.0432974210163454,NA,NA,0.188,0.254,0.558
"DMpure",250,5,"DM",TRUE,0.0432420861962937,8.01578370719316,FALSE,0.187822113236548,0.254189123214466,0.557988763548986
"DMstrong",250,5,"MN",TRUE,0.0922749514584899,NA,NA,0.088,0.414,0.498
"DMstrong",250,5,"DM",TRUE,0.0324415969102924,0.0141497168602869,FALSE,0.185935997278322,0.344851820050493,0.469212182671185
"MN",25,6,"MN",TRUE,0.090921211313239,NA,NA,0.3,0.18,0.52
"MN",25,6,"DM",TRUE,0.0909200209683866,10000,TRUE,0.299999420307201,0.180001987916956,0.519998591775843
"DMpure",25,6,"MN",TRUE,0.0816496580927726,NA,NA,0.1,0.3,0.6
"DMpure",25,6,"DM",TRUE,0.0816485692723284,10000,TRUE,0.100001333432934,0.300000000188642,0.599998666378424
"DMstrong",25,6,"MN",TRUE,0.0864098759787715,NA,NA,0.08,0.34,0.58
"DMstrong",25,6,"DM",TRUE,0.0923814846061413,1.04166844482878,FALSE,0.0704925180722543,0.349841761195813,0.579665720731933
"MN",125,6,"MN",TRUE,0.00565685424949238,NA,NA,0.204,0.292,0.504
"MN",125,6,"DM",TRUE,0.00565679927230434,10000,TRUE,0.204000141595878,0.292000077752199,0.503999780651923
"DMpure",125,6,"MN",TRUE,0.0267332502076846,NA,NA,0.192,0.272,0.536
"DMpure",125,6,"DM",TRUE,0.0267331800099876,10000,TRUE,0.191999999531859,0.272000088288068,0.535999912180073
"DMstrong",125,6,"MN",TRUE,0.0772183052563747,NA,NA,0.188,0.4,0.412
"DMstrong",125,6,"DM",TRUE,0.0768357531092918,0.644114423422022,FALSE,0.183338934986674,0.401321962855241,0.415339102158085
"MN",250,6,"MN",TRUE,0.0146969384566991,NA,NA,0.218,0.282,0.5
