"mesh_id","sim_id","p1","p2","p3","rmse_i","L1_norm_i","Linf_norm_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","L1_norm_ii","Linf_norm_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","L1_norm_iii","Linf_norm_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","L1_norm_iv","Linf_norm_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","L1_norm_v","Linf_norm_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3"
1,1,0.91304347826087,0.0434782608695652,0.0434782608695652,0.232129477816361,0.607064750797878,0.303532375398939,0.652985026200309,4.3375311867618e-06,0.347010636268504,0.49953183179259,1.26475575286055,0.632377876430276,0.3241427095135,1.15318665882525e-06,0.675856137299841,0.227567531539762,0.595789741751916,0.297894870875958,0.658623503524749,3.3647297276381e-06,0.341373131745523,0.269277522485333,0.698757763975155,0.349378881987578,0.607142857142857,0,0.392857142857143,0.244815051644246,0.638401193462641,0.319200596731321,0.637318899263901,2.24313521263766e-06,0.362678857600886,26,25,0,1,30,9,0,21
1,2,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0614875249302447,0.173912983346212,0.0869564916731058,0.999999969933975,1.50330123262836e-08,1.50330123262836e-08,0.0614875461691793,0.17391304341899,0.0869565217094953,0.999999999970365,1.07471530820312e-12,2.85605244154899e-11,0.0614875453595687,0.173913041129066,0.086956520564533,0.999999998825402,5.85721362582182e-11,1.11602537603769e-09,0.0614875461901346,0.173913043478261,0.0869565217391305,1,0,0,0.0614875461877237,0.173913043471442,0.086956521735721,0.999999999996591,1.26798865004499e-13,3.28270856335851e-12,12,12,0,0,5,5,0,0
1,3,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0614875437837708,0.173913036672036,0.0869565183360183,0.999999996596888,1.70155617700065e-09,1.70155617700065e-09,0.0614875438156665,0.173913036762251,0.0869565183811255,0.999999996641995,1.58472964347093e-10,3.19953193861508e-09,0.0614875459862604,0.173913042901618,0.0869565214508089,0.999999999711678,1.43587476080361e-11,2.73962880360339e-10,0.0614875461901346,0.173913043478261,0.0869565217391305,1,0,0,0.0614875461901346,0.173913043478261,0.0869565217391305,1,2.84830494480479e-53,3.94565249461804e-50,31,31,0,0,37,37,0,0
1,4,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0614875379073746,0.173913020051078,0.0869565100255389,0.999999988286408,5.85679574403147e-09,5.85679574403147e-09,0.0614875428722772,0.173913034093943,0.0869565170469716,0.999999995307841,2.18279441407153e-10,4.47387945850979e-09,0.0614875456778729,0.173913042029366,0.0869565210146831,0.999999999275553,3.64187697129693e-11,6.88028526011681e-10,0.0614875461901346,0.173913043478261,0.0869565217391305,1,0,0,0.0614875461102695,0.173913043252368,0.0869565216261842,0.999999999887054,5.02558391530138e-12,1.07920628064995e-10,16,16,0,0,16,16,0,0
1,5,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0614875457059106,0.173913042108669,0.0869565210543343,0.999999999315204,3.42398071409374e-10,3.42398071409374e-10,0.0614875461901346,0.173913043478261,0.0869565217391305,1,3.54548860303416e-119,1.42203799390571e-114,0.0614875454144051,0.173913041284167,0.0869565206420834,0.999999998902953,5.46652605640394e-11,1.04238195222279e-09,0.0614875461901346,0.173913043478261,0.0869565217391305,1,0,0,0.0614875461557361,0.173913043380967,0.0869565216904836,0.999999999951353,2.00975055002087e-12,4.66370941067869e-11,7,7,0,0,11,11,0,0
1,6,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0482906456593105,0.134696909433769,0.0673484547168843,0.980391932977754,7.66836529159279e-09,0.0196080593538809,0.0477891398688121,0.133098400907286,0.0665492004536429,0.979592678714512,4.36968973867806e-07,0.0204068843165137,0.0313692651485777,0.0869306174819602,0.0434653087409801,0.927087088738839,1.29521285851475e-05,0.0728999591325762,0.0482907876665784,0.134697357203751,0.0673486786018755,0.980392156862745,0,0.0196078431372549,0.0482906928085796,0.134697268751448,0.067348634375724,0.980392112636594,4.95120473300852e-07,0.0196073922429332,48,47,0,1,3,3,0,0
1,7,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0869448523849692,0.242745611837489,0.121372805918744,0.791670672342125,0.0871178892975424,0.121211438360333,0.0968226920154406,0.271447091119569,0.135723545559784,0.777319932701085,0.0956464069434947,0.12703366035542,0.106093989809635,0.290321325401928,0.145160662700964,0.767882815559906,0.0831923707494669,0.148924813690627,0.0869474757741405,0.242753623188406,0.121376811594203,0.791666666666667,0.0871212121212121,0.121212121212121,0.0871370734472929,0.24231090638206,0.12115545319103,0.79188802506984,0.0845541548590026,0.123557820071158,33,30,0,3,231,179,23,29
1,8,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0540626726319495,0.152407403233474,0.0762037016167368,0.989247179877606,2.98076477004812e-09,0.0107528171416289,0.0533848529455106,0.15038282219194,0.0751914110959698,0.988234889356839,1.61330326121538e-07,0.0117649493128345,0.0359887192075996,0.0893148089640542,0.0446574044820272,0.957700882742897,5.55158159768949e-06,0.0422935656755057,0.0540627614504449,0.152407667134175,0.0762038335670875,0.989247311827957,0,0.010752688172043,0.0540627197796914,0.152407582430755,0.0762037912153773,0.989247269476247,1.99502850112623e-07,0.0107525310209029,84,83,0,1,9,9,0,0
1,9,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0307419724808625,0.0869481814714248,0.0434740907357123,0.934455125336707,0.0655407045294399,4.1701338528997e-06,0.0704541217367723,0.198757392318074,0.0993786961590369,0.857142772290578,0.142856957028602,2.70680820396321e-07,0.0344557637585026,0.0869505205452986,0.0434752602726493,0.915722624920231,0.0842743744828526,3.00059691594127e-06,0.0366349681613393,0.0922803904170364,0.0461401952085182,0.959183673469388,0.0408163265306122,0,0.0363371765985359,0.090933707858092,0.045466853929046,0.958510332189916,0.0414851207901332,4.54701995124117e-06,36,36,0,0,13,11,2,0
1,10,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0614875453510228,0.173913041104894,0.0869565205524473,0.999999998813317,5.93341619205681e-10,5.93341619205681e-10,0.061487546168426,0.17391304341686,0.0869565217084299,0.999999999969299,1.10140162649407e-12,2.95991108624453e-11,0.0614875450744855,0.173913040322729,0.0869565201613643,0.999999998422234,7.84717647879494e-11,1.49929430058873e-09,0.0614875461901346,0.173913043478261,0.0869565217391305,1,0,0,0.0614875461065904,0.173913043241962,0.0869565216209812,0.999999999881851,4.9860211644542e-12,1.13163217149138e-10,8,8,0,0,4,4,0,0
