"mesh_id","sim_id","p1","p2","p3","rmse_i","L1_norm_i","Linf_norm_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","L1_norm_ii","Linf_norm_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","L1_norm_iii","Linf_norm_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","L1_norm_iv","Linf_norm_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","L1_norm_v","Linf_norm_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3"
1,1,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0639964839772974,0.173908679946636,0.0869543399733179,0.847828506820563,0.0217388923365541,0.130432600842883,0.0639974134595113,0.173906882026278,0.086953441013139,0.847822155751909,0.0217461423653869,0.130431701882704,0.0905720686772381,0.227912406057713,0.113956203028857,0.805415230841952,0.0371503052596259,0.157434463898422,0.0639982671473032,0.173913043478261,0.0869565217391304,0.847826086956522,0.0217391304347826,0.130434782608696,0.0639982492951406,0.173912811379673,0.0869564056898368,0.847825875668193,0.0217394577724053,0.130434666559402,24,21,0,3,22,18,1,3
1,2,0.91304347826087,0.0434782608695652,0.0434782608695652,0.116085740250218,0.305198604897674,0.152599302448837,0.784313508486417,0.196077563318402,0.0196089281951807,0.0962877059450596,0.253531913046318,0.126765956523159,0.806593370139967,0.170244217392724,0.0231624124673087,0.129535392933973,0.326373803343594,0.163186901671797,0.759362210313426,0.206665162541362,0.0339726271452121,0.116086114772114,0.305200341005968,0.152600170502984,0.784313725490196,0.196078431372549,0.0196078431372549,0.116178675734065,0.305473933641169,0.152736966820584,0.784236542663108,0.19621522769015,0.0195482296467423,26,22,3,1,25,18,7,0
1,3,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0347210860429947,0.0965334418634262,0.048266720931713,0.864776757329156,0.0754265725113835,0.05979667015946,0.0990604593707176,0.277698268742306,0.138849134371153,0.774194343889717,0.129032004394699,0.096773651715585,0.044673040625241,0.125316058588218,0.0626580292941088,0.850385448966761,0.0818072299300854,0.0678073211031539,0.0424920867305031,0.117753623188406,0.0588768115942029,0.854166666666667,0.0833333333333333,0.0625,0.0418264039393345,0.116983395307386,0.0584916976536929,0.854551780607177,0.0803538592949436,0.0650943600978798,30,23,4,3,18,18,0,0
1,4,0.91304347826087,0.0434782608695652,0.0434782608695652,0.0614875424375638,0.173913032864388,0.086956516432194,0.999999994693064,2.65346823006132e-09,2.65346823006131e-09,0.0614875461901346,0.173913043478261,0.0869565217391305,1,8.46170059180872e-47,7.31565313239327e-44,0.0614875425570496,0.173913033202345,0.0869565166011724,0.999999994862042,2.98847722478444e-10,4.83911037929291e-09,0.0614875461901346,0.173913043478261,0.0869565217391305,1,0,0,0.0614875461901346,0.173913043478261,0.0869565217391305,1,1.19793482361099e-30,2.41462873149419e-28,31,31,0,0,21,21,0,0
1,5,0.91304347826087,0.0434782608695652,0.0434782608695652,0.061487541746016,0.173913030908395,0.0869565154541977,0.999999993715067,3.14246643575236e-09,3.14246643575236e-09,0.0614875461901346,0.173913043478261,0.0869565217391305,1,3.92674897873272e-30,6.07636142331393e-28,0.0614875421716474,0.173913032112263,0.0869565160561313,0.999999994317001,3.30537467330366e-10,5.35246168131049e-09,0.0614875461901346,0.173913043478261,0.0869565217391305,1,0,0,0.0614875460985225,0.173913043219143,0.0869565216095715,0.999999999870441,5.93315577191148e-12,1.23625849547396e-10,23,23,0,0,24,24,0,0
2,1,0.869565217391304,0.0869565217391304,0.0434782608695652,0.111257532469277,0.303846072092098,0.151923036046049,0.758150897847929,0.0464478052364575,0.195401296915614,0.0768278192018949,0.204496565505486,0.102248282752743,0.786617543675406,0.0676559127022862,0.145726543622308,0.117755022739401,0.318302131774616,0.159151065887308,0.747532980139195,0.0498376931039314,0.202629326756873,0.110213504481007,0.300140252454418,0.150070126227209,0.758064516129032,0.0483870967741935,0.193548387096774,0.110023125718219,0.300397780380058,0.150198890190029,0.759282646675145,0.0470402022652612,0.193677151059594,34,27,3,4,28,20,0,8
2,2,0.869565217391304,0.0869565217391304,0.0434782608695652,0.145678944514894,0.368711582241532,0.184355791120766,0.685209426270538,0.258778871109164,0.056011702620298,0.0608941081752913,0.17000594211889,0.085002971059445,0.784562246331859,0.141416677721561,0.0740210759465793,0.146409391666265,0.373351018357637,0.186675509178818,0.682889708212486,0.25786847085707,0.0592418209304442,0.150271759251831,0.373276776246023,0.186638388123012,0.682926829268293,0.268292682926829,0.0487804878048781,0.144021730855538,0.364964289892914,0.182482144946457,0.687083072444847,0.256546739196479,0.0563701883586735,21,17,2,2,20,11,9,0
2,3,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0600958229245326,0.169961343423493,0.0849806717117467,0.954545889103051,0.0454541008747498,1.00221991631786e-08,0.046073901912819,0.127536314751468,0.0637681573757337,0.933333374767038,0.0666665465045646,7.87283972546313e-08,0.051509770151873,0.144713410811985,0.0723567054059926,0.941921922797297,0.0580764577904225,1.61941228048789e-06,0.0600955181649565,0.1699604743083,0.0849802371541503,0.954545454545455,0.0454545454545455,0,0.0600954346131326,0.169960240108309,0.0849801200541543,0.954545337445459,0.045454534937115,1.27617426331111e-07,15,15,0,0,29,27,2,0
2,4,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0660960240631859,0.186799678888732,0.0933998394443658,0.96296505683567,0.0370349426204738,5.43856122064581e-10,0.066094481442702,0.186795407893369,0.0933977039466847,0.962962921337989,0.0370370504332529,2.82287581225815e-08,0.047310153620841,0.131565953199784,0.065782976599892,0.935348193991196,0.0646398121926574,1.19938161462321e-05,0.0660945106117817,0.186795491143317,0.0933977455716586,0.962962962962963,0.037037037037037,0,0.0660942047701613,0.186794600204903,0.0933973001024516,0.962962517493756,0.0370369857104972,4.96795746778911e-07,25,24,1,0,29,28,1,0
2,5,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0506320291348906,0.141806519479109,0.0709032597395544,0.79866195765175,0.113750820599666,0.087587221748584,0.0695360221861253,0.196266178011183,0.0981330890055915,0.814993202529905,0.043395447594938,0.141611349875157,0.0432217739326413,0.12094746963639,0.060473734818195,0.809091482573109,0.124899111741243,0.0660094056856473,0.0722490601829193,0.20066889632107,0.100334448160535,0.769230769230769,0.153846153846154,0.0769230769230769,0.0537056343541121,0.151901663942459,0.0759508319712296,0.793614385420075,0.12471726535831,0.0816683492216155,30,22,8,0,22,18,0,4
3,1,0.826086956521739,0.130434782608696,0.0434782608695652,0.0418786186601172,0.116972999040076,0.0584864995200378,0.847254001619991,0.0719482830886578,0.0807977152913508,0.0741828062195914,0.207195795189406,0.103597897594703,0.788614201161174,0.0643096403745576,0.147076158464268,0.0331160683798846,0.0897015590737923,0.0448507795368961,0.836836873768214,0.0855840030717995,0.0775791231599863,0.0531314878438704,0.145484949832776,0.072742474916388,0.846153846153846,0.0576923076923077,0.0961538461538462,0.0418774610837071,0.11696868654259,0.0584843432712948,0.847250216453443,0.0719504393374009,0.0807993442091563,26,24,2,0,26,20,1,5
3,2,0.826086956521739,0.130434782608696,0.0434782608695652,0.11726550513443,0.307825584915837,0.153912792457919,0.979999748979658,4.95318308180316e-09,0.0200002460671591,0.107246714573265,0.264492782475262,0.132246391237631,0.95833334775937,1.90771117531811e-07,0.0416664614695126,0.110052404274949,0.277510513916082,0.138755256958041,0.96484221347978,3.6404721766118e-06,0.0351541460480433,0.117265633215616,0.307826086956522,0.153913043478261,0.98,0,0.02,0.117265020198006,0.307824304974972,0.153912152487486,0.979999109009225,5.38571357617856e-07,0.0200003524194171,27,27,0,0,23,22,0,1
3,3,0.826086956521739,0.130434782608696,0.0434782608695652,0.0635843566523914,0.160650770365468,0.0803253851827339,0.745761571339005,0.13559276140632,0.118645667254675,0.0635846271839842,0.160652430547867,0.0803262152739335,0.745760741247806,0.135593867962307,0.118645390789888,0.0872151694701905,0.232822864788681,0.11641143239434,0.709675524127399,0.153341596776277,0.136982879096324,0.0635832585161168,0.160648489314665,0.0803242446573323,0.745762711864407,0.135593220338983,0.11864406779661,0.0635826356474659,0.160643584486831,0.0803217922434156,0.745765164278324,0.13558947068209,0.118645365039586,36,27,4,5,23,17,4,2
