"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.945945945945946,0.027027027027027,0.027027027027027,0.00682113416404166,0.0382219881722458,0.00681743171180078,0.00681745866907813,622
0.918918918918919,0.0540540540540541,0.027027027027027,0.0188249725655455,0.0188253524064886,0.0188261243480089,0.0188249740565667,251
0.891891891891892,0.0810810810810811,0.027027027027027,0.007478672590921,0.00747947866124921,0.00747889039011641,0.0074792921087876,460
0.864864864864865,0.108108108108108,0.027027027027027,0.0271240591970271,0.0271264886317997,0.0271258811596821,0.0271265979801949,573
0.837837837837838,0.135135135135135,0.027027027027027,0.045788194866829,0.0457855140465189,0.04577468824074,0.0457865701408616,69
0.810810810810811,0.162162162162162,0.027027027027027,0.0233211104194192,0.0233137569951436,0.0233123511518865,0.0233123075034926,623
0.783783783783784,0.189189189189189,0.027027027027027,0.0795656251191158,0.079564015108478,0.0795573563106643,0.0795654132101608,74
0.756756756756757,0.216216216216216,0.027027027027027,0.073141245527547,0.180692509117673,0.0731407554946671,0.0731413978500913,303
0.72972972972973,0.243243243243243,0.027027027027027,0.0310123314587246,0.0310128205861648,0.0310108458827991,0.0310124785456869,396
0.702702702702703,0.27027027027027,0.027027027027027,0.0664971206517971,0.0664852689617889,0.0664862055858409,0.0664965254341596,719
0.675675675675676,0.297297297297297,0.027027027027027,0.010009861796416,0.0100099332575083,0.0100108490354279,0.0100098826944816,453
0.648648648648649,0.324324324324324,0.027027027027027,0.0773721136069807,0.0773717672306705,0.0773791689661184,0.0773715602061426,53
0.621621621621622,0.351351351351351,0.027027027027027,0.297807849124681,0.104169994512918,0.104195003387025,0.104170623138722,221
0.594594594594595,0.378378378378378,0.027027027027027,0.0154164044907812,0.0154076803434884,0.0154075223658535,0.015407590445479,466
0.567567567567568,0.405405405405405,0.027027027027027,0.0564722893197389,0.0564753203182197,0.0564718206431747,0.0564717344661586,922
0.540540540540541,0.432432432432432,0.027027027027027,0.0700999598946995,0.0701155376079606,0.0701155972529021,0.0701155536872325,128
