"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","N1"
0.945945945945946,0.027027027027027,0.027027027027027,0.0159842076120397,0.0159840746744003,0.0158486922367307,0.01598416505852,0.0159846259166903,622
0.918918918918919,0.0540540540540541,0.027027027027027,0.0384566748972977,0.0384566646385994,0.0478686778833207,0.0384566629209721,0.0384567388802859,251
0.891891891891892,0.0810810810810811,0.027027027027027,0.0464748239594536,0.0464799657162718,0.0356286216089346,0.0464742775512815,0.0464742451059081,460
0.864864864864865,0.108108108108108,0.027027027027027,0.0467900460815282,0.0467904966366785,0.0375617948840301,0.0467904834823723,0.046790363092075,573
0.837837837837838,0.135135135135135,0.027027027027027,0.0328385612648863,0.0328348970493062,0.0112252864047384,0.0328386775234035,0.0328384420015202,69
0.810810810810811,0.162162162162162,0.027027027027027,0.0682210878145869,0.0682220649048603,0.0730240654277091,0.0682216883416451,0.0682211807349162,623
0.783783783783784,0.189189189189189,0.027027027027027,0.0795656251191158,0.079564015108478,0.050143699707683,0.0795654132101608,0.0795573563106643,74
0.756756756756757,0.216216216216216,0.027027027027027,0.121714904136011,0.121715180975749,0.111896832454686,0.121715539937214,0.121715429313588,303
0.72972972972973,0.243243243243243,0.027027027027027,0.0340669487706908,0.0340631482330814,0.0295371598145227,0.034063462516864,0.0340612730525357,396
0.702702702702703,0.27027027027027,0.027027027027027,0.0094203675047514,0.231709725402584,0.011117914752365,0.00942191301740932,0.00942219175633031,719
0.675675675675676,0.297297297297297,0.027027027027027,0.0673370300927394,0.163765234037038,0.0709172460003838,0.0673108458207254,0.0673113476411755,453
0.648648648648649,0.324324324324324,0.027027027027027,0.0513656726725735,0.0513619432301252,0.0632503097078894,0.0513619255641,0.0513631359034181,53
0.621621621621622,0.351351351351351,0.027027027027027,0.516056605171106,0.161349799223206,0.160054246681447,0.161349658323407,0.161349569536529,221
0.594594594594595,0.378378378378378,0.027027027027027,0.04564795029161,0.045643562231864,0.0501525953701836,0.0456494046269283,0.0456494525309075,466
0.567567567567568,0.405405405405405,0.027027027027027,0.0747916306486724,0.0747917021008212,0.0723817449479941,0.074791856481571,0.0747914086240977,922
0.540540540540541,0.432432432432432,0.027027027027027,0.364614528736001,0.0609998499675958,0.0538959022539279,0.0609982097475263,0.0609961028722219,128
0.513513513513513,0.459459459459459,0.027027027027027,0.144301162551461,0.144302341567191,0.138162516031201,0.144300830339064,0.144272956395183,180
0.486486486486487,0.486486486486487,0.027027027027027,0.147997838139096,0.147998477236039,0.139156907367633,0.147996946204815,0.148015806065913,160
0.459459459459459,0.513513513513513,0.027027027027027,0.43073993109466,0.112130810849907,0.108686687891319,0.112130511556946,0.112130598618579,217
0.432432432432432,0.540540540540541,0.027027027027027,0.120685567635482,0.120686836531849,0.103400804602567,0.120687100333871,0.120681438289106,80
