example_id,inp_file,design_block,dist_code,factor1,level1_code,factor2,level2_code,factor3,level3_code,factor4,level4_code,factor5,level5_code,K,G,h,theta_true,theta_CV,Nmin,Nmax,nsims,random.seed,od_mult,sigma,mean_nsamp,ln_sd,nb_size,N_range_label,p_lbound,p_ubound
50,hake_ex50.inp,Poisson,1,mean_nsamp,-1,sigma,0,theta_true,1,theta_CV,0,G,0,3,4,0.05,2.0,0.2,50,100,10,2356,1.0,0.5,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
51,hake_ex51.inp,Poisson,1,mean_nsamp,-1,sigma,0,theta_true,1,theta_CV,0,G,1,3,8,0.05,2.0,0.2,50,100,10,2356,1.0,0.5,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
52,hake_ex52.inp,Poisson,1,mean_nsamp,-1,sigma,0,theta_true,1,theta_CV,1,G,-1,3,2,0.05,2.0,0.6,50,100,10,2356,1.0,0.5,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
53,hake_ex53.inp,Poisson,1,mean_nsamp,-1,sigma,0,theta_true,1,theta_CV,1,G,0,3,4,0.05,2.0,0.6,50,100,10,2356,1.0,0.5,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
54,hake_ex54.inp,Poisson,1,mean_nsamp,-1,sigma,0,theta_true,1,theta_CV,1,G,1,3,8,0.05,2.0,0.6,50,100,10,2356,1.0,0.5,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
55,hake_ex55.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,-1,G,-1,3,2,0.05,0.5,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
56,hake_ex56.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,-1,G,0,3,4,0.05,0.5,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
57,hake_ex57.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,-1,G,1,3,8,0.05,0.5,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
58,hake_ex58.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,0,G,-1,3,2,0.05,0.5,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
59,hake_ex59.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,0,G,0,3,4,0.05,0.5,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
60,hake_ex60.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,0,G,1,3,8,0.05,0.5,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
61,hake_ex61.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,1,G,-1,3,2,0.05,0.5,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
62,hake_ex62.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,1,G,0,3,4,0.05,0.5,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
63,hake_ex63.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,-1,theta_CV,1,G,1,3,8,0.05,0.5,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
64,hake_ex64.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,-1,G,-1,3,2,0.05,1.0,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
65,hake_ex65.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,-1,G,0,3,4,0.05,1.0,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
66,hake_ex66.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,-1,G,1,3,8,0.05,1.0,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
67,hake_ex67.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,0,G,-1,3,2,0.05,1.0,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
68,hake_ex68.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,0,G,0,3,4,0.05,1.0,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
69,hake_ex69.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,0,G,1,3,8,0.05,1.0,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
70,hake_ex70.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,1,G,-1,3,2,0.05,1.0,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
71,hake_ex71.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,1,G,0,3,4,0.05,1.0,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
72,hake_ex72.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,0,theta_CV,1,G,1,3,8,0.05,1.0,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
73,hake_ex73.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,-1,G,-1,3,2,0.05,2.0,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
74,hake_ex74.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,-1,G,0,3,4,0.05,2.0,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
75,hake_ex75.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,-1,G,1,3,8,0.05,2.0,0.0,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
