"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","factor5","level5_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","N_range_label","p_lbound","p_ubound"
24,"faces_ex24.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"theta_CV",0,"G",1,3,8,0.1,2,0.2,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
25,"faces_ex25.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"theta_CV",1,"G",-1,3,2,0.1,2,0.6,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
26,"faces_ex26.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"theta_CV",1,"G",0,3,4,0.1,2,0.6,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
27,"faces_ex27.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"theta_CV",1,"G",1,3,8,0.1,2,0.6,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
28,"faces_ex28.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
29,"faces_ex29.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",-1,"G",0,3,4,0.1,0.5,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
30,"faces_ex30.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",-1,"G",1,3,8,0.1,0.5,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
31,"faces_ex31.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",0,"G",-1,3,2,0.1,0.5,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
32,"faces_ex32.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",0,"G",0,3,4,0.1,0.5,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
33,"faces_ex33.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",0,"G",1,3,8,0.1,0.5,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
34,"faces_ex34.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",1,"G",-1,3,2,0.1,0.5,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
35,"faces_ex35.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",1,"G",0,3,4,0.1,0.5,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
36,"faces_ex36.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"theta_CV",1,"G",1,3,8,0.1,0.5,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
37,"faces_ex37.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",-1,"G",-1,3,2,0.1,1,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
38,"faces_ex38.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",-1,"G",0,3,4,0.1,1,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
39,"faces_ex39.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",-1,"G",1,3,8,0.1,1,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
40,"faces_ex40.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",0,"G",-1,3,2,0.1,1,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
41,"faces_ex41.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",0,"G",0,3,4,0.1,1,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
42,"faces_ex42.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",0,"G",1,3,8,0.1,1,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
