comparison,term,rows_analyzed,residual_response_rank,manova_responses,dropped_responses,Df,Pillai,approx F,num Df,den Df,Pr(>F)
iv_vs_ii,design_block,9477,2,rmse;L1,Linf,2,0.0090052368556778,21.3982358732721,4,18924,1.24497020798604e-17
iv_vs_ii,G,9477,2,rmse;L1,Linf,2,0.00900649925102781,21.4012491455063,4,18924,1.23769298800178e-17
iv_vs_ii,theta_true,9477,2,rmse;L1,Linf,2,0.00249818404947942,5.91684505301091,4,18924,9.37034999326688e-05
iv_vs_ii,theta_CV,9477,2,rmse;L1,Linf,2,0.000195868671164052,0.463372721738196,4,18924,0.762681407248942
iv_vs_ii,sigma,9477,2,rmse;L1,Linf,2,0.0390472082262604,94.2053999940214,4,18924,1.76658022108227e-79
iv_vs_ii,mean_nsamp,9477,2,rmse;L1,Linf,2,0.00702276943723476,16.6708990439273,4,18924,1.20125032597145e-13
iv_vs_ii,p1,9477,2,rmse;L1,Linf,1,0.00388636735609519,18.4561883057577,2,9461,1.00040283359664e-08
iv_vs_ii,p2,9477,2,rmse;L1,Linf,1,0.0002231647309631,1.05591640312097,2,9461,0.347914481332318
iv_vs_ii,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
v_vs_ii,design_block,9477,2,rmse;L1,Linf,2,0.00381424995402613,9.03984838689587,4,18924,2.72499321267318e-07
v_vs_ii,G,9477,2,rmse;L1,Linf,2,0.0106367533199305,25.2957724239509,4,18924,6.26916108168043e-21
v_vs_ii,theta_true,9477,2,rmse;L1,Linf,2,0.00311553058610223,7.3812859124373,4,18924,6.17569405368245e-06
v_vs_ii,theta_CV,9477,2,rmse;L1,Linf,2,0.000379771224057788,0.898519446423703,4,18924,0.46374105587098
v_vs_ii,sigma,9477,2,rmse;L1,Linf,2,0.0415255386236851,100.311404158211,4,18924,1.19383468295046e-84
v_vs_ii,mean_nsamp,9477,2,rmse;L1,Linf,2,0.00420308865760827,9.96334462997541,4,18924,4.73019673547276e-08
v_vs_ii,p1,9477,2,rmse;L1,Linf,1,0.00673411893020632,32.0717244057864,2,9461,1.31350287486424e-14
v_vs_ii,p2,9477,2,rmse;L1,Linf,1,0.00158224636336472,7.49667801342085,2,9461,0.000558227436022007
v_vs_ii,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
iv_vs_iii,design_block,9477,2,rmse;L1,Linf,2,0.000648783516955476,1.53519541409817,4,18924,0.188926264608819
iv_vs_iii,G,9477,2,rmse;L1,Linf,2,0.00345532297777412,8.18771209879988,4,18924,1.36024843625851e-06
iv_vs_iii,theta_true,9477,2,rmse;L1,Linf,2,0.00871277479612761,20.7002470757374,4,18924,4.83876373782541e-17
iv_vs_iii,theta_CV,9477,2,rmse;L1,Linf,2,0.000283200041047021,0.670004569757557,4,18924,0.612724104886748
iv_vs_iii,sigma,9477,2,rmse;L1,Linf,2,0.00944881727535188,22.4572746069767,4,18924,1.58470314297027e-18
iv_vs_iii,mean_nsamp,9477,2,rmse;L1,Linf,2,0.00751140521834063,17.8352127992299,4,18924,1.26004078229871e-14
iv_vs_iii,p1,9477,2,rmse;L1,Linf,1,0.111916196202557,596.136945491406,2,9461,1.45013862718259e-244
iv_vs_iii,p2,9477,2,rmse;L1,Linf,1,0.00428598551967669,20.3621262792131,2,9461,1.49905951549057e-09
iv_vs_iii,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
v_vs_iii,design_block,9477,2,rmse;L1,Linf,2,0.0102026528242088,24.2581238636395,4,18924,4.74316067473852e-20
v_vs_iii,G,9477,2,rmse;L1,Linf,2,0.00781172513417677,18.5510938278559,4,18924,3.14433486968974e-15
v_vs_iii,theta_true,9477,2,rmse;L1,Linf,2,0.000648936275219651,1.53555699835153,4,18924,0.18882326065601
v_vs_iii,theta_CV,9477,2,rmse;L1,Linf,2,0.000602220544937827,1.42498177570118,4,18924,0.222752570131476
v_vs_iii,sigma,9477,2,rmse;L1,Linf,2,0.00870675593776142,20.6858846452561,4,18924,4.97579101357142e-17
v_vs_iii,mean_nsamp,9477,2,rmse;L1,Linf,2,0.0014523399534023,3.43800673704527,4,18924,0.00814518281959431
v_vs_iii,p1,9477,2,rmse;L1,Linf,1,0.0209344292151155,101.147788623304,2,9461,3.42861848013909e-44
v_vs_iii,p2,9477,2,rmse;L1,Linf,1,0.00768906020377333,36.654941344715,2,9461,1.38777777806473e-16
v_vs_iii,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
v_vs_iv,design_block,9477,2,rmse;L1,Linf,2,0.0120300690905995,28.6293348720777,4,18924,9.34544287010446e-24
v_vs_iv,G,9477,2,rmse;L1,Linf,2,0.00693152006987747,16.4535347283903,4,18924,1.82920429718717e-13
v_vs_iv,theta_true,9477,2,rmse;L1,Linf,2,0.000966274498535343,2.28682717767753,4,18924,0.057561868105792
v_vs_iv,theta_CV,9477,2,rmse;L1,Linf,2,0.00066877777463387,1.58252300400288,4,18924,0.175864127378227
v_vs_iv,sigma,9477,2,rmse;L1,Linf,2,0.00208039885876881,4.9263078430249,4,18924,0.000573341957060774
v_vs_iv,mean_nsamp,9477,2,rmse;L1,Linf,2,0.00417913788765904,9.90645088537109,4,18924,5.27023808120947e-08
v_vs_iv,p1,9477,2,rmse;L1,Linf,1,0.00592539251171196,28.1971484489243,2,9461,6.17286354690622e-13
v_vs_iv,p2,9477,2,rmse;L1,Linf,1,0.00842598531027054,40.1978298339202,2,9461,4.13105437784497e-18
v_vs_iv,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
