comparison,metric,complete_paired_rows,mean_log_difference,error_ratio,percent_error_change,Hotelling_T2,Pillai,approx_F,p_value
ii_vs_i,rmse,9477,0.191849898272282,1.21148865677599,21.1488656775985,2299.96847811031,0.195310346014053,766.494349290033,0
ii_vs_i,L1,9477,0.190117842774028,1.20939210738104,20.9392107381037,2299.96847811031,0.195310346014053,766.494349290033,0
ii_vs_i,Linf,9477,0.190121335335631,1.20939633126485,20.939633126485,2299.96847811031,0.195310346014053,766.494349290033,0
iii_vs_i,rmse,9477,-0.0475276964440791,0.953584061879235,-4.64159381207654,343.906092269716,0.0350213218984284,114.611169205125,6.66948178969449e-73
iii_vs_i,L1,9477,-0.0490561283050596,0.952127686885427,-4.78723131145735,343.906092269716,0.0350213218984284,114.611169205125,6.66948178969449e-73
iii_vs_i,Linf,9477,-0.049068403704662,0.952115999209333,-4.7884000790667,343.906092269716,0.0350213218984284,114.611169205125,6.66948178969449e-73
iv_vs_i,rmse,9477,-0.0292813222498292,0.971143221837718,-2.88567781622824,122.969842609145,0.0128107333000767,40.9812962177797,2.64441779230743e-26
iv_vs_i,L1,9477,-0.0302365382202103,0.970216013235425,-2.97839867645752,122.969842609145,0.0128107333000767,40.9812962177797,2.64441779230743e-26
iv_vs_i,Linf,9477,-0.0301031317258789,0.970345454986488,-2.96545450135121,122.969842609145,0.0128107333000767,40.9812962177797,2.64441779230743e-26
v_vs_i,rmse,9477,-0.0357591601497308,0.964872645285633,-3.51273547143673,222.158568579521,0.022907293895903,74.037226632981,2.49987725577736e-47
v_vs_i,L1,9477,-0.0364675665931332,0.964189365335184,-3.58106346648158,222.158568579521,0.022907293895903,74.037226632981,2.49987725577736e-47
v_vs_i,Linf,9477,-0.0364527037365054,0.964203696049981,-3.57963039500193,222.158568579521,0.022907293895903,74.037226632981,2.49987725577736e-47
iii_vs_ii,rmse,9477,-0.239377594716361,0.787117614800384,-21.2882385199616,4350.23415429364,0.314636227460585,1449.77199865548,0
iii_vs_ii,L1,9477,-0.239173971079088,0.787277906871145,-21.2722093128855,4350.23415429364,0.314636227460585,1449.77199865548,0
iii_vs_ii,Linf,9477,-0.239189739040293,0.787265493201522,-21.2734506798479,4350.23415429364,0.314636227460585,1449.77199865548,0
iv_vs_ii,rmse,9477,-0.221131220522111,0.80161148551083,-19.838851448917,3903.61894045505,0.291758603726145,1300.93168150665,0
iv_vs_ii,L1,9477,-0.220354380994238,0.802234450939528,-19.7765549060472,3903.61894045505,0.291758603726145,1300.93168150665,0
iv_vs_ii,Linf,9477,-0.22022446706151,0.802338679142221,-19.7661320857779,3903.61894045505,0.291758603726145,1300.93168150665,0
v_vs_ii,rmse,9477,-0.227609058422013,0.796435558755748,-20.3564441244252,4095.62457318789,0.301778504931474,1364.92005087878,0
v_vs_ii,L1,9477,-0.226585409367161,0.797251246680579,-20.2748753319421,4095.62457318789,0.301778504931474,1364.92005087878,0
v_vs_ii,Linf,9477,-0.226574039072136,0.797260311713998,-20.2739688286002,4095.62457318789,0.301778504931474,1364.92005087878,0
iv_vs_iii,rmse,9477,0.0182463741942499,1.01841385637663,1.84138563766252,308.386468203925,0.0315182223439436,102.773793434782,1.80359803740185e-65
iv_vs_iii,L1,9477,0.0188195900848493,1.01899779472769,1.89977947276887,308.386468203925,0.0315182223439436,102.773793434782,1.80359803740185e-65
iv_vs_iii,Linf,9477,0.018965271978783,1.01914625507007,1.91462550700683,308.386468203925,0.0315182223439436,102.773793434782,1.80359803740185e-65
v_vs_iii,rmse,9477,0.0117685362943483,1.01183805797273,1.18380579727304,104.753017089182,0.0109336935105554,34.9103026559348,1.97910011203621e-22
v_vs_iii,L1,9477,0.0125885617119264,1.0126681311928,1.26681311927959,104.753017089182,0.0109336935105554,34.9103026559348,1.97910011203621e-22
v_vs_iii,Linf,9477,0.0126156999681566,1.01269561361293,1.2695613612927,104.753017089182,0.0109336935105554,34.9103026559348,1.97910011203621e-22
v_vs_iv,rmse,9477,-0.00647783789990159,0.993543098061047,-0.645690193895288,40.9357585750855,0.00430135913633765,13.6423728978598,7.06674359335376e-09
v_vs_iv,L1,9477,-0.00623102837292284,0.993788344226413,-0.621165577358729,40.9357585750855,0.00430135913633765,13.6423728978598,7.06674359335376e-09
v_vs_iv,Linf,9477,-0.00634957201062643,0.993670543923357,-0.632945607664315,40.9357585750855,0.00430135913633765,13.6423728978598,7.06674359335376e-09
